Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.0,0.0471470309213084,0.12448824029129177,-0.07734120936998337,0.15515102219360857,0.024071839687721617,0.5947049488558657,0.4764098561962582,0.3848241467268046,0.9179332287305602,0.9823237264677831,0.8674996564143629,0.8626141882848334,0.13738581171516667,3.726217404689597e-19,0.0,"{'sigma': 0.06897378073314984, 'lam': -0.4145089466486196}","{'sigma': 0.024461995203518994, 'mu': -0.07574011695782445, 'w0': 0.2237747920377215, 'delta': 1.6600611996153702e-09, 'psi': 0.2}",{'sigma': 0.0744060651588175},0.004822312023964594,0.20033001575796977,0.7464498447630167
0.1,10.445143372954453,10.477288852935805,-0.03214547998135231,0.24136388216277116,0.05825652361268409,0.7391654996528341,0.6343411612997534,0.5631603664387821,0.02273470510628028,-0.0668884425596215,-0.02929624430386923,7.670828879866304e-09,0.9999999923291713,4.410519745363256e-24,0.005209745080760154,"{'sigma': 0.09162219393378426, 'lam': -0.3905436170504677}","{'sigma': 0.03366524649843328, 'mu': -0.07354538365194285, 'w0': 0.21729043478189417, 'delta': 1.7723642553590935e-09, 'psi': 0.2}",{'sigma': 0.10005388011895798},0.010419490161520308,0.17885533697125194,0.905347285047381
0.2,34.42515074597117,34.40584213048429,0.019308615486885117,0.22280590642013026,0.04964247193569585,0.6655830818273908,0.5712962576937554,0.46031448169396183,0.006474850696804856,0.01929771742152981,0.13158674408674328,6.453893703358063e-11,0.999999999935461,8.658374937333886e-24,0.004938762210896842,"{'sigma': 0.09300507122919711, 'lam': -0.4167201530628928}","{'sigma': 0.03320602099073944, 'mu': -0.07424604445073824, 'w0': 0.2193605415700952, 'delta': 5.428606453250495e-10, 'psi': 0.2}",{'sigma': 0.09867752073745134},0.009877524421793684,0.19897325891805892,0.8193622230677599
0.30000000000000004,56.71067747550292,56.94976474734599,-0.23908727184306855,0.189942212584279,0.03607804412141144,0.5389497979982418,0.40312013240483374,0.2768958751290227,0.003339516731218698,0.0995882648923025,0.4400045071186795,0.9999999869314067,1.3068592287912537e-08,1.1255220765886004e-15,0.0024179384732519573,"{'sigma': 0.10908735057522327, 'lam': -0.6558087550766607}","{'sigma': 0.035540964533852915, 'mu': -0.12469410825074112, 'w0': 0.36840975505211476, 'delta': 1.2037926211405647e-11, 'psi': 0.2}",{'sigma': 0.08986471427464181},0.0048358769465039145,0.13403933234933707,0.7202075865864014
0.4,78.16547719494699,78.04487671735954,0.12060047758744474,0.17602620114037146,0.030985223487910513,0.4162079264305672,0.2959716528745022,0.16599633840217123,0.002259682816068274,0.046497505097048294,0.5247403003577893,0.9999999999997544,1.1894908260507948e-13,1.2658787310053598e-13,0.0017867113036912471,"{'sigma': 0.11523858976088713, 'lam': -0.843606524365522}","{'sigma': 0.029596522738315256, 'mu': -0.12425273296772033, 'w0': 0.36710570868732945, 'delta': 5.038327532957965e-10, 'psi': 0.2}",{'sigma': 0.08370204288193649},0.0035734226073824943,0.11532666881608049,0.6814544758608437
0.5,97.31250990886647,97.37994458495052,-0.06743467608404785,0.16428264043929924,0.026988785949708077,0.3572495501462757,0.23556345144754576,0.13476980474045125,0.0016889356175046042,-0.07579263446370187,-0.05095062028362426,0.9999999961841664,3.4792562323417816e-09,3.3657753671067906e-10,0.0014335825808052388,"{'sigma': 0.12134642861437579, 'lam': -1.0290096007334149}","{'sigma': 0.028485698058546394, 'mu': -0.12845353515319058, 'w0': 0.3795170137383126, 'delta': 1.3975345325434319e-09, 'psi': 0.2}",{'sigma': 0.07746713733988222},0.0028671651616104777,0.10623542559318012,0.6433617083246547
0.6000000000000001,115.17569427433158,115.01177353874084,0.16392073559073594,0.1585532192919169,0.02513912334783069,0.28135980865002974,0.1748785707122006,0.09078481440407556,0.0013782935676248953,-0.07849555847090227,0.0685437476194084,0.9999999998616163,3.2104812342180525e-21,1.3838375375370033e-10,0.0009773303139419222,"{'sigma': 0.16150945959952878, 'lam': -1.612661559278172}","{'sigma': 0.10063561167695956, 'mu': -0.8662968721527899, 'w0': 2.559486070550503, 'delta': 4.929548821586138e-06, 'psi': 0.2}",{'sigma': 0.07555404514749706},0.0019546606278838443,0.07775373074226617,0.5804245892317275
0.7000000000000001,131.17936597964035,131.08742654448648,0.09193943515387559,0.15788991838387487,0.024929226327266664,0.2600505728202767,0.10097129400120791,0.06541146739307548,0.001204262856370081,-0.1239898010753917,-0.17033207059133024,0.9999999975482392,1.3439102095611278e-21,2.451760745648386e-09,0.0010092559772201459,"{'sigma': 0.18957743935815538, 'lam': -2.003791897679598}","{'sigma': 0.09831534752556936, 'mu': -0.8363682707657742, 'w0': 2.4710657608239446, 'delta': 8.915567743850161e-06, 'psi': 0.2}",{'sigma': 0.07565012142738593},0.0020185119544402917,0.08096969909702004,0.5554843329091548
0.8,145.72756103907568,145.59817953626617,0.12938150280950822,0.14522965025186096,0.021091651312277856,0.1654003280126763,0.10348363066092504,0.012395993158439264,0.0009977939475129096,-0.05531960438160703,-0.031743605654661215,0.9999994289445729,1.5957759056577286e-20,5.710554269628392e-07,0.000718417053125113,"{'sigma': 0.2071793378307963, 'lam': -2.4763674604259034}","{'sigma': 0.08420900226937711, 'mu': -0.7464610986253977, 'w0': 2.2054253758356896, 'delta': 4.96074070710506e-10, 'psi': 0.2}",{'sigma': 0.07055229289884295},0.001436834106250226,0.0681233576725127,0.46813049442464094
0.9,158.46297772558557,158.44302851434549,0.01994921124008897,0.14125716704721683,0.01995358724220532,0.1339999529984063,-0.03647525941641178,-0.03244786305343238,0.0008916974208227317,-0.030544420617772197,0.053743726819302416,0.999985296187111,1.7527320836905461e-06,1.2951080805271298e-05,0.00048673145782063553,"{'sigma': 0.24079170612565146, 'lam': -3.1415926455555234}","{'sigma': 1232.5502128899318, 'mu': -909.4974378391714, 'w0': 18115.767569626343, 'delta': 15428.650006620594, 'psi': 0.2}",{'sigma': 0.06795190038910241},0.0009734629156412711,0.048786361260506936,0.45014690485109005
