Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Breeding,0.7,-0.2,45.058554530735215,43.381826499535684,1.6767280311995307,1.4648284073304885,2.1457222629223756,0.46230000886567346,0.20850936769070935,0.08129716533848387,0.033753878293497755,-0.058762265388316,0.03447310358667115,0.17210685769044906,0.08020928927495369
Non-breeding,0.7,-0.1,63.00393746366334,60.693801666234734,2.3101357974286074,1.366379125499508,1.8669919146008003,0.36331697409020924,0.12447583287679331,0.033371046723054784,0.022494797313208595,-0.023103562097283876,0.1993145519053605,0.14345186620421968,0.0768358261663348
Breeding,0.7,-0.1,54.48072679390455,52.69010683039046,1.7906199635140894,1.6358849870784289,2.6761196909485916,0.3685897602231633,0.12164964538254212,0.02711681300903237,0.031021553531179292,-0.024385710625986375,0.09517262294546384,0.18698255286566007,0.06987077353008125
Non-breeding,0.7,0.0,67.26507087867105,64.98071205913425,2.2843588195368056,1.4299442246631169,2.0447404856474027,0.27296074448924607,0.05638148321699801,0.0010697397335424873,0.021984030050635785,0.02438839321263607,0.15476921708035318,0.13858169537878043,0.0677747109481734
Breeding,0.7,0.0,64.12172143275019,62.1577227605646,1.963998672185589,1.8285793570339093,3.3437024649705447,0.27634178809240956,0.05276432934848697,-0.0038471354720633747,0.02938342803451789,0.0009432779882291373,0.1679861164306694,0.20551082752149588,0.06146205581222559
Non-breeding,0.8,-0.7,18.357708277129113,16.1744738449526,2.183234432176512,1.3797955830155983,1.9038358509093547,0.8857217823450646,0.8002624813870481,0.7223505623187759,0.08596145024547351,-0.020673897904750386,0.0955338272080857,0.2668929013458548,0.14018692904557667
Breeding,0.8,-0.7,8.92100841612015,7.951767266418978,0.9692411497011726,0.7341177477145582,0.5389288675094956,0.8870098193797334,0.8005938102294576,0.7229552960390723,0.093214837893621,0.012994776808415487,-0.001751235653000181,0.07507535762067954,0.13930476199506375
Non-breeding,0.8,-0.6,32.921886505038046,30.309111981197557,2.612774523840489,1.5713694996501015,2.4692021044306105,0.7656414156076453,0.6087817611833796,0.4780150516984669,0.05195181857129348,-0.1669445645113726,0.19545684445247602,0.34316765490400813,0.1389791683265803
Breeding,0.8,-0.6,17.558077227349724,16.3115052955102,1.2465719318395223,0.9959921222588797,0.9920003076017471,0.7702365238390732,0.6104067501455909,0.4810169650336638,0.06129722261881564,-0.11045832917124195,0.011701786586999777,0.1376267538295669,0.1387366039858318
Non-breeding,0.8,-0.5,45.041303820173106,42.24059756664667,2.8007062535264353,1.587144638797078,2.5190281044623073,0.654131795598531,0.4487648569960305,0.2950237568113699,0.037594903371620456,-0.18139073525611588,0.18024054313522303,0.27774213549044996,0.11025765651381436
Breeding,0.8,-0.5,26.368293559308867,24.916193602222055,1.452099957086812,1.1972168660843594,1.433328224436855,0.6622139397656389,0.45120318121796493,0.2991176987928634,0.04814486418945928,-0.12075274615344372,-0.0359242094193488,0.15899041195104732,0.11092393859299993
Non-breeding,0.8,-0.4,54.87321028632089,52.134382368594636,2.7388279177262547,1.5372617826874806,2.363173788511491,0.5517595269199884,0.3197523343824789,0.16907203865584217,0.029484005848105514,-0.15648930337119804,0.21107857223447024,0.22052053934329735,0.09331541354061743
Breeding,0.8,-0.4,35.29894453472124,33.75371506364615,1.5452294710750891,1.3686659434984332,1.8732464648924565,0.561973874009602,0.3214158457539589,0.17088156015721248,0.0405897378204321,-0.10133436760782567,-0.04066762204159088,0.17291006444551002,0.092305026426641
Non-breeding,0.8,-0.3,62.74207981847456,60.16265588076543,2.57942393770913,1.4785729002828403,2.18617782145081,0.45552516203266097,0.2147763869455973,0.08660007231913233,0.024567714822296877,-0.10903438641141941,0.23817377759331493,0.18213699910929348,0.08331298457159454
Breeding,0.8,-0.3,44.39754007187048,42.79741646294172,1.6001236089287616,1.5247562229378266,2.3248815393876274,0.4663675745602471,0.2154150611319117,0.0843108250742031,0.03563518853432194,-0.06974104627391549,-0.008808289568536689,0.18504521938155763,0.0795933970168211
Non-breeding,0.8,-0.2,68.92970886990342,66.49053103414283,2.4391778357605887,1.4496205440388945,2.1013997216996207,0.36316258831653797,0.12863020077701856,0.03457375387689404,0.021790586176777187,-0.04790190787115702,0.2210545140646821,0.15628715762819448,0.07437288394698595
Breeding,0.8,-0.2,53.70748415352182,52.033326540158946,1.6741576133628726,1.6785718317457663,2.8176033943303374,0.3730592684531019,0.12890971591597336,0.029033565284493856,0.032247616786905985,-0.03531817175083241,0.044726881132250464,0.19464092242113923,0.06908031230115683
Non-breeding,0.8,-0.1,73.65427815236046,71.28633001684003,2.367948135520436,1.4719872592820447,2.1667464914886656,0.27344287185547217,0.05987955747558033,0.0028270917494606397,0.020634144365755423,0.009624856243460175,0.1721565677799597,0.14341787533784134,0.06619042693790446
Breeding,0.8,-0.1,63.24726108784282,61.440231223084915,1.807029864757908,1.8445243969815512,3.402270251060155,0.28107894303922387,0.05999446245817366,-0.0026679805714627633,0.029995476689832754,-0.006444635587976117,0.11483922630428818,0.21091141125281002,0.0619913750787697
Non-breeding,0.8,0.0,77.09428715859914,74.71627890247815,2.3780082561209923,1.5499195368596759,2.4022505707393123,0.18495066199732768,0.009038864204851227,-0.01576179595722579,0.020723071716858946,0.043269189293751065,0.13084260583122093,0.13981719907403198,0.05820258751400862
Breeding,0.8,0.0,73.01765422615098,71.00430387454897,2.013350351602014,2.0381564410228186,4.154081678082803,0.19003742549612757,0.008045921207383042,-0.017292848208169193,0.028669857158700126,0.01041807786199387,0.19110454846213992,0.2255675010226729,0.05430020844625691
Non-breeding,0.9,-0.8,20.109330802977475,17.525666346365814,2.583664456611661,1.6353421141480624,2.6743438303062543,0.886557122107903,0.8020132450382125,0.7247280850996127,0.09423592225212224,-0.014534117509597561,0.015466895290277278,0.37503974081475816,0.14023617179089878
Breeding,0.9,-0.8,8.826840753923817,7.788626137582707,1.0382146163411097,0.786996273678878,0.6193631347844395,0.8880210288707352,0.8025237961047376,0.7254033749041889,0.10225500785382467,0.02247201407315013,-0.06538276424809575,0.08639043764260937,0.13948269244774525
Non-breeding,0.9,-0.7,35.935599952745136,32.932318398606824,3.0032815541383115,1.8596196329510806,3.458185179257111,0.7671939121337172,0.612278887256392,0.4823120129338348,0.05665323036657443,-0.16587156803377887,0.12341204004743936,0.48346571041379444,0.13980330299074753
Breeding,0.9,-0.7,17.29916723972907,16.008427438599128,1.2907398011299414,1.0682042562428387,1.1410603330553162,0.772454170867909,0.6144475034106588,0.48554527433488875,0.06707398525501448,-0.10474542135781126,-0.035023213227826,0.15945127040920992,0.1397395613448952
Non-breeding,0.9,-0.6,49.14593439005313,45.990681756155574,3.155252633897554,1.8617414056724986,3.466081061595411,0.6556552326644889,0.45298198708346804,0.2992612647079405,0.040534997488230445,-0.19072561451817122,0.1279246500243561,0.38587482380315313,0.11132885150283758
Breeding,0.9,-0.6,25.952711460076568,24.48666456452431,1.4660468955522568,1.2799638376413571,1.6383074256695902,0.665314069324203,0.45653102042155097,0.30406297897390633,0.05242434264331818,-0.12178485577485222,-0.06733135593154989,0.18400325818949778,0.11231302215107404
