Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
x,0,119.95569604758694,105.23891115913379,14.716784888453098,,,,,,,,,,,
x,1,118.43856523471162,104.3019050440994,14.136660190612215,,,,,,,,,,,
x,2,115.60863912857423,103.3659517174188,12.242687411155412,,,,,,,,,,,
x,3,113.37584866483965,102.43109345809933,10.94475520674034,,,,,,,,,,,
x,4,110.77149320964331,101.49737012610723,9.274123083536077,,,,,,,,,,,
x,5,108.76721485399466,100.56481810425201,8.20239674974272,,,,,,,,,,,
x,6,106.87615722986656,99.6334691697696,7.242688060097014,,,,,,,,,,,
x,7,102.5747001561045,98.70335112712448,3.871349028980053,,,,,,,,,,,
x,8,105.2419154487969,97.77448830405032,7.467427144746544,,,,,,,,,,,
x,9,101.17143183383956,96.84690083030196,4.324531003537553,,,,,,,,,,,
x,10,100.37705924275251,95.92060464302574,4.456454599726776,,,,,,,,,,,
x,11,96.11853969906366,94.99561284254993,1.1229268565137434,,,,,,,,,,,
x,12,95.63518647443158,94.07193341078673,1.5632530636447686,,,,,,,,,,,
x,13,94.84755010390894,93.14956814058742,1.6979819633215294,,,,,,,,,,,
x,14,90.92674794500705,92.22851457088686,-1.301766625879871,,,,,,,,,,,
x,15,89.84461917920714,91.30876623467404,-1.464147055466893,,,,,,,,,,,
x,16,90.3394755571577,90.39031432222382,-0.050838765066145444,,,,,,,,,,,
x,17,87.37894178963717,89.47314623155039,-2.094204441913244,,,,,,,,,,,
x,18,85.4885996305643,88.55724433539996,-3.068644704835634,,,,,,,,,,,
x,19,84.78282393883941,87.64258621594081,-2.8597622771013875,,,,,,,,,,,
x,20,83.91484236584442,86.72914477754058,-2.8143024116961697,,,,,,,,,,,
x,21,82.269888473057,85.81688792895089,-3.5469994558939124,,,,,,,,,,,
x,22,80.95881514276188,84.90577785193085,-3.946962709168965,,,,,,,,,,,
x,23,80.22137271779006,83.99577091574677,-3.7743981979567436,,,,,,,,,,,
x,24,77.88382356748883,83.08681716897638,-5.20299360148757,,,,,,,,,,,
x,25,76.68991077197543,82.17885975306665,-5.488948981091256,,,,,,,,,,,
x,26,75.84766391730076,81.271833776806,-5.42416985950521,,,,,,,,,,,
x,27,75.86663482134244,80.36566476359654,-4.499029942254099,,,,,,,,,,,
x,28,74.35148616848183,79.46026734197467,-5.108781173492847,,,,,,,,,,,
x,29,73.18308307977402,78.55554472265013,-5.3724616428760665,,,,,,,,,,,
x,30,72.5075809849963,77.65138443090886,-5.1438034459125515,,,,,,,,,,,
x,31,71.39451003534964,76.74765959076113,-5.353149555411538,,,,,,,,,,,
x,32,71.22821598188955,75.84423153614877,-4.616015554259206,,,,,,,,,,,
x,33,68.97256614857487,74.94095913256739,-5.9683929839925325,,,,,,,,,,,
x,34,68.66817245248579,74.03772434382142,-5.369551891335621,,,,,,,,,,,
x,35,67.3888033401,73.13448263972869,-5.745679299628705,,,,,,,,,,,
x,36,66.69926231616085,72.23135390211007,-5.532091585949221,,,,,,,,,,,
x,37,67.11508736254652,71.32876667696331,-4.213679314416836,,,,,,,,,,,
x,38,65.187823354892,70.42763823443757,-5.239814879545551,,,,,,,,,,,
x,39,63.52176857885365,69.52946447918126,-6.0076959003276205,,,,,,,,,,,
x,40,63.85477956538444,68.69953995771249,-4.844760392328054,,,,,,,,,,,
x,41,61.90449197942419,67.87877938723321,-5.974287407809028,,,,,,,,,,,
x,42,62.31547848647967,67.06741001674949,-4.751931530269815,,,,,,,,,,,
x,43,60.214683082819256,66.26564336329334,-6.050960280474104,,,,,,,,,,,
x,44,60.82691898267265,65.473705936165,-4.646786953492322,,,,,,,,,,,
x,45,60.35526775660556,64.69184375095762,-4.336575994352081,,,,,,,,,,,
x,46,59.21136077431615,63.920332049344005,-4.708971275027862,,,,,,,,,,,
x,47,58.50547648421678,63.159489627491524,-4.654013143274737,,,,,,,,,,,
x,48,57.74670471090027,62.40966747929418,-4.66296276839393,,,,,,,,,,,
x,49,57.69383179739127,61.671218554245335,-3.9773867568540284,,,,,,,,,,,
x,50,57.22227446168778,60.94447194387954,-3.722197482191765,,,,,,,,,,,
x,51,56.24739674808482,60.22976476687978,-3.9823680187949764,,,,,,,,,,,
x,52,55.1997897688909,59.527402522199345,-4.32761275330847,,,,,,,,,,,
x,53,54.46923857338609,58.83768308463192,-4.368444511245836,,,,,,,,,,,
x,54,53.571941818917914,58.160846061532794,-4.5889042426148805,,,,,,,,,,,
x,55,53.57659784706227,57.4970285132622,-3.9204306661999353,,,,,,,,,,,
x,56,53.26617424843672,56.84629438365369,-3.5801201352169483,,,,,,,,,,,
x,57,52.53168160069741,56.20860374925344,-3.676922148556035,,,,,,,,,,,
x,58,53.76247588078286,55.58390483083005,-1.8214289500471816,,,,,,,,,,,
x,59,51.584013687663735,54.972103330023636,-3.3880896423598945,,,,,,,,,,,
x,60,50.83763926359097,54.373019534055835,-3.535380270464872,,,,,,,,,,,
x,61,50.79835836062259,53.78646179957527,-2.988103438952708,,,,,,,,,,,
x,62,50.02976457381158,53.21220492226681,-3.1824403484552217,,,,,,,,,,,
x,63,49.770949610902534,52.649978654673575,-2.879029043771031,,,,,,,,,,,
x,64,50.250598606164864,52.09945005035108,-1.8488514441862742,,,,,,,,,,,
x,65,48.21837110040864,51.5603145135547,-3.3419434131460988,,,,,,,,,,,
x,66,49.64498064749524,51.03227976091564,-1.3872991134204185,,,,,,,,,,,
x,67,46.82769085055322,50.51500619414975,-3.6873153435965196,,,,,,,,,,,
x,68,47.38411707797568,50.0081286597856,-2.6240115818099072,,,,,,,,,,,
x,69,46.712784449367355,49.51128904823097,-2.798504598863629,,,,,,,,,,,
