Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Variance,Lag-3 AC,Smax/Var,Standard deviation,Skewness,Smax,Lag-1 AC
1,x,0,-0.7434301521438452,-0.32828492392807745,-0.2633471645919779,-0.9872752420470264,-0.702420470262794,0.1333333333333333,-0.9872752420470264,0.3995159059474412,-0.8733333333333332,-0.46881051175656985
2,x,0,-0.5643845089903181,-0.409820193637621,-0.47385892116182576,-0.9822959889349931,-0.5605809128630707,0.11999999999999998,-0.9822959889349931,0.41293222683264175,-0.9199999999999998,-0.3992392807745505
3,x,0,-0.6353388658367912,-0.5737897648686031,-0.3474412171507607,-0.9826417704011066,0.18575380359612728,-0.3666666666666666,-0.9826417704011066,0.5479944674965422,-0.9199999999999998,0.23215767634854773
4,x,0,-0.8823651452282159,-0.6656984785615492,-0.2937759336099585,-0.9866528354080223,0.14156293222683267,-0.05333333333333332,-0.9866528354080223,0.007123098201936377,-0.9133333333333332,-0.36396957123098206
5,x,0,-0.6227524204702629,-0.5081604426002767,-0.29910096818810517,-0.9764177040110651,0.24045643153526972,0.16666666666666663,-0.9764177040110651,0.2455739972337483,-0.8866666666666665,-0.24993084370677732
6,x,0,-0.15311203319502076,-0.5915629322268328,-0.1955739972337483,-0.9810511756569847,0.4540110650069156,0.3999999999999999,-0.9810511756569847,0.4391424619640388,-0.8933333333333332,-0.47026279391424625
7,x,0,-0.6221991701244814,0.459612724757953,-0.21984785615491012,-0.9872752420470264,-0.3239280774550485,0.3199999999999999,-0.9872752420470264,0.6921853388658369,-0.94,-0.04100968188105118
8,x,0,-0.10179806362378978,-0.5299446749654219,0.07697095435684648,-0.9783540802213002,0.1269709543568465,0.3533333333333333,-0.9783540802213002,0.1757261410788382,-0.9066666666666665,-0.5316044260027663
9,x,0,0.07095435684647304,-0.1463347164591978,-0.24840940525587832,-0.9862378976486862,-0.8242738589211619,0.5266666666666665,-0.9862378976486862,0.39502074688796684,-0.8799999999999999,-0.6856846473029046
10,x,0,0.15193637621023515,-0.28990318118948827,-0.30968188105117567,-0.9717842323651453,0.1851313969571231,0.4866666666666665,-0.9717842323651453,0.2829875518672199,-0.8066666666666665,-0.40076071922544954
11,x,0,-0.7284923928077456,-0.15809128630705396,-0.41556016597510376,-0.977524204702628,-0.18423236514522823,0.2666666666666666,-0.977524204702628,0.4218533886583679,-0.9133333333333332,-0.1955739972337483
12,x,0,0.6062932226832642,-0.615076071922545,-0.13250345781466114,-0.9794605809128631,-0.5533886583679115,-0.05333333333333332,-0.9794605809128631,-0.2569156293222683,-0.9266666666666664,-0.2780774550484094
13,x,0,-0.5294605809128631,-0.5813278008298756,-0.5115491009681882,-0.9716459197786999,-0.3566390041493776,-0.23333333333333328,-0.9716459197786999,0.4607883817427386,-0.8666666666666665,-0.1963347164591978
14,x,0,-0.08291839557399724,-0.24633471645919783,-0.11161825726141081,-0.9859612724757955,-0.513762102351314,0.20666666666666664,-0.9859612724757955,0.13692946058091288,-0.8733333333333332,-0.4278008298755187
15,x,0,-0.6047717842323652,0.3115491009681881,-0.12392807745504841,-0.9874135546334717,0.23229598893499312,0.4466666666666666,-0.9874135546334717,0.0013831258644536654,-0.8733333333333332,-0.021230982019363763
16,x,0,-0.7153526970954358,-0.43810511756569853,-0.40919778699861686,-0.9881051175656986,-0.17372060857538035,-0.20666666666666664,-0.9881051175656986,0.5800138312586446,-0.9333333333333331,-0.17669432918395575
17,x,0,0.5691562932226832,0.2829183955739973,-0.3881051175656985,-0.9764177040110651,-0.7134854771784233,0.4133333333333333,-0.9764177040110651,0.27786998616874137,-0.8866666666666665,-0.5121023513139696
18,x,0,-0.5664591977869987,-0.2966113416320885,-0.448271092669433,-0.9867911479944675,-0.41756569847856156,0.20666666666666664,-0.9867911479944675,0.417911479944675,-0.9599999999999999,0.18035961272475798
19,x,0,-0.023513139695712313,-0.2729598893499309,-0.32309820193637623,-0.9836791147994468,-0.4857538035961273,-0.1533333333333333,-0.9836791147994468,-0.09017980636237899,-0.9466666666666665,-0.372268326417704
20,x,0,-0.6553941908713693,-0.4682572614107884,0.002558782849239281,-0.9816044260027663,-0.6730982019363763,0.43999999999999995,-0.9816044260027663,0.4821576763485478,-0.8933333333333332,0.06479944674965422
21,x,0,-0.35850622406639004,-0.5502766251728908,-0.5975795297372061,-0.9715076071922546,-0.7326417704011066,0.23333333333333328,-0.9715076071922546,0.1529737206085754,-0.9133333333333332,0.061479944674965425
22,x,0,-0.4283540802213001,-0.18457814661134164,-0.4630013831258645,-0.9793914246196406,-0.7089903181189489,0.23999999999999996,-0.9793914246196406,0.684716459197787,-0.8799999999999999,0.04370677731673583
23,x,0,-0.7114107883817429,-0.4872060857538036,-0.4029737206085754,-0.9807053941908714,0.1905947441217151,0.5999999999999999,-0.9807053941908714,0.015076071922544952,-0.8799999999999999,-0.6670124481327802
24,x,0,-0.34073305670816045,-0.5132780082987553,-0.36147994467496547,-0.9746887966804981,-0.19038727524204702,0.5799999999999998,-0.9746887966804981,0.6769017980636238,-0.8933333333333332,-0.6082295988934994
25,x,0,-0.5098893499308437,0.49640387275242054,-0.2468188105117566,-0.9598893499308437,-0.7130705394190872,0.5066666666666665,-0.9598893499308437,0.41846473029045644,-0.7866666666666665,-0.648478561549101
26,x,0,-0.31251728907330567,-0.2909405255878285,-0.04239280774550484,-0.9667358229598894,-0.07572614107883818,0.7466666666666665,-0.9667358229598894,0.01687413554633472,-0.8666666666666665,-0.8273858921161827
27,x,0,-0.1724066390041494,-0.7216459197787,-0.09405255878284925,-0.9809820193637622,0.09813278008298756,0.08666666666666664,-0.9809820193637622,0.17109266943291843,-0.9066666666666665,0.47033195020746893
28,x,0,-0.36687413554633475,-0.4490318118948825,-0.28713692946058095,-0.9737206085753805,-0.25857538035961275,0.15999999999999995,-0.9737206085753805,0.25781466113416324,-0.9533333333333331,-0.19681881051175656
