Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.1,0.0,8.777943553956998,7.3213494178726375,1.4565941360843606,1.1544316967460604,1.3327125424519881,0.8801665245521376,0.7859422242671693,0.7044554316782187,0.15493300983538627,0.19088537833123895,0.5103349022269178,0.18552235381199048,0.1392065789901381
Breeding,0.1,0.0,8.585478657602085,7.28868340039626,1.296795257205825,1.1950632750788592,1.428176231442209,0.8806514754906964,0.7856881876422529,0.7041472972670179,0.16148461499377476,0.22561012672204284,0.4452978032364156,0.19496350435490156,0.13651221751395654
Non-breeding,0.2,-0.1,9.710093307313077,7.956145878406674,1.753947428906403,1.2598765077011034,1.5872888146571282,0.8820575173067104,0.7902195576659945,0.7101432478346408,0.1564032240269963,0.20011627381878574,0.4995579480115907,0.21884598739215244,0.13787408149752858
Breeding,0.2,-0.1,8.58037911324143,7.166070865737534,1.4143082475038957,1.1890732549291283,1.4138952055877516,0.8833243689305617,0.7904233464603831,0.7102858882351032,0.16435183158978403,0.23788299683747643,0.41658658806630006,0.19173471521680918,0.13560744421444282
Non-breeding,0.2,0.0,18.234649993549464,15.309802526206411,2.924847467343053,1.6266434258272315,2.645968834786952,0.7600771572411441,0.5899602943247746,0.4572444823876488,0.10506545583893108,-0.032694948922296914,0.4512448807008933,0.36671203551671094,0.1385927266774621
Breeding,0.2,0.0,17.804848644029448,15.152675866467405,2.6521727775620434,1.7424558278384448,3.03615231196816,0.7627678979113048,0.5890107467216261,0.4580758315127394,0.11391189495704869,0.012670259576382785,0.3202419835455775,0.41301660709209215,0.13603290107153998
Non-breeding,0.3,-0.2,10.7113516520234,8.617755045939635,2.0935966060837643,1.3975938216754076,1.9532684903852708,0.883941793942048,0.7944720034747264,0.7158603459738107,0.16101637424957832,0.20647405072705668,0.4386945705685598,0.26736259726215167,0.1368795936545395
Breeding,0.3,-0.2,8.550377289276524,7.020760028681391,1.529617260595133,1.2018879817654786,1.4445347207122956,0.8860126266785502,0.7951962980079272,0.7165155045746252,0.17049163771988063,0.24731092668745988,0.3497700035608185,0.19500617991550878,0.13499584130407874
Non-breeding,0.3,-0.1,19.82823639125994,16.602277595426596,3.2259587958333427,1.7557999478038606,3.0828334567080398,0.7615469679617545,0.5945845637129515,0.4627785869104978,0.10484494472627905,-0.035125593714829664,0.45112992235040233,0.4257518148734941,0.1381040594155635
Breeding,0.3,-0.1,17.48655566731274,14.855493632576984,2.6310620347357556,1.731369199403191,2.997639304642046,0.7666689546590156,0.5954463830565255,0.465378460515336,0.11576476854644599,0.02045391580735163,0.2751630629297645,0.4082919507589598,0.13620449602682091
Non-breeding,0.3,0.0,27.42003572307318,23.377865026984185,4.042170696088995,2.0192907772625768,4.077535243137702,0.6525545425128435,0.4352432575087259,0.28524037402763297,0.08570359825823408,-0.015407943256099515,0.3038868872281763,0.4709111133108766,0.11548915833490284
Breeding,0.3,0.0,26.660399166971132,22.99888990186451,3.6615092651066234,2.238419826199103,5.010523318321223,0.6593325738616119,0.43377705372917275,0.2857421223608807,0.09667133512116911,0.017722653019262877,0.16102867272147414,0.5545499444083819,0.11067705091415161
Non-breeding,0.4,-0.3,11.786718919173556,9.300555789728106,2.4861631294454494,1.5736536112616049,2.4763856882366904,0.8858403719825674,0.7986669586148348,0.72157076613817,0.16884131031169,0.20999122004481813,0.3456428050139639,0.3370010241543175,0.13608583903353075
