Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.5,0.0,50.3156235165,48.10707988761646,2.2085436288835396,1.235782530592449,1.5271584629174775,0.4579801002256478,0.20474930755901585,0.0841484913159426,0.02565305564083054,-0.037081126480263515,0.2039954319247686,0.1416461613548253,0.0927514496984321
Breeding,0.5,0.0,48.497973274306446,46.549161193775106,1.94881208053134,1.4822396194615397,2.1970342895014903,0.44786003899238025,0.19338851785170913,0.07523796133041755,0.03179788608494752,-0.036013743148840004,0.12310611531442404,0.1818993897906303,0.08279315013872791
Non-breeding,1.0,-0.5,80.80769663345681,77.5723990706898,3.235297562767016,1.9822293675125733,3.9292332654292967,0.4604737211354227,0.22696477023873807,0.09217839695943568,0.025561735862450724,-0.17010047867473757,0.2293132651157253,0.3148427960477754,0.0801283036102405
Breeding,1.0,-0.5,46.23251116778908,44.66536065750858,1.5671505102804986,1.8244854764332814,3.328747253715978,0.45397227399761597,0.22201655906489098,0.08781508275566904,0.040900823197175556,-0.08287577209259407,-0.07167784033158373,0.2597151400078024,0.07802188637718732
Non-breeding,1.0,0.0,102.20594157036459,99.5478580861222,2.6580834842423826,1.896348479003536,3.5961375538190246,0.02211389533276918,-0.03366941953778086,-0.027320189716430167,0.01902759106894874,0.022984608416993964,0.13909142314608516,0.17684305200647818,0.04917583083513435
Breeding,1.0,0.0,95.20509740885171,93.03375561821981,2.1713417906318995,2.603720322285109,6.779359516680471,0.001893755222953627,-0.030521303337118322,-0.01761856878499176,0.027948513896997457,0.015275877968006496,0.2128432906945053,0.29830530353609686,0.044001989096775725
Non-breeding,1.5,-1.0,129.04380986654996,122.89050648771553,6.153303378834437,4.90546772154329,24.063613567103115,0.476298603898352,0.2537278637719377,0.10893979866194865,0.04004379401955786,-0.2968847692814867,0.1460145731937993,1.9212227146816496,0.07983932709541658
Breeding,1.5,-1.0,43.2809585368402,41.63344164681051,1.6475168900296921,2.764592171383362,7.642969874074174,0.46940602767891604,0.24765396063528605,0.10523454857243777,0.0667145997429521,-0.09693662918839312,-0.12547390217843588,0.6218758687763986,0.08136573596683568
Non-breeding,1.5,-0.5,166.48682321851928,163.5252193313523,2.961603887166973,1.9529673845153823,3.814081604980853,0.04693781310200758,-0.025147564217217772,-0.016269190952109845,0.011937740720898649,0.02307753954629494,0.11201447039532457,0.17414304702370417,0.045657923730915664
Breeding,1.5,-0.5,90.00208622830161,88.82950072574063,1.1725855025609775,3.3648293464818604,11.322076530945543,0.022187816902967124,0.0032129081817077443,-0.022467211695226773,0.037882265816617834,-0.00901568388452177,-0.058261138586536365,0.5214078725348213,0.04605231832780032
