Realisation number,Variable,index,Lag-2 AC,Lag-1 AC,Coefficient of variation,Smax/Mean,Skewness,Kurtosis,Standard deviation,Smax,Variance,Lag-3 AC,Smax/Var,Cross correlation
18,Breeding,0,-0.01532567049808429,0.9310344827586206,0.02770409666961391,-0.7333333333333333,0.5234305923961096,0.21691718243442376,-0.985558502799882,-0.8666666666666666,-0.985558502799882,0.2051282051282051,-0.06666666666666665,0.322742474916388
19,Non-breeding,0,0.7936928971411729,0.931329207191276,0.9157088122605364,-0.06666666666666665,0.04067197170645446,0.23342175066312995,-0.9728853521956969,-0.7333333333333333,-0.9728853521956969,0.783082817565576,0.2,-0.05509104422147901
19,Breeding,0,-0.16887709991158265,0.8611847922192749,0.7362216327733568,-0.06666666666666665,-0.699086354258768,0.8346595932802828,-0.985558502799882,-0.9999999999999999,-0.985558502799882,0.6495726495726495,0.7333333333333333,-0.05509104422147901
20,Non-breeding,0,0.6430887120542292,0.7989979369289713,0.8862363689949896,0.4666666666666666,-0.05629236663719421,0.4662540524609489,-0.9752431476569406,-0.6,-0.9752431476569406,0.6035956380783967,0.7333333333333333,0.269137866963954
20,Breeding,0,0.6501620984379605,0.9254347185381667,0.5514294134983789,0.4666666666666666,0.18508694370763332,0.53639846743295,-0.9876215738284702,-0.6,-0.9876215738284702,0.7928087238432066,0.7333333333333333,0.269137866963954
21,Non-breeding,0,0.5019157088122604,0.8980253463012083,0.8576480990274093,-0.3333333333333333,0.5841438255231358,0.18155025051576773,-0.9708222811671087,-0.9999999999999999,-0.9708222811671087,-0.4895372826407308,-0.06666666666666665,-0.19351542177629136
21,Breeding,0,0.3563218390804597,0.7898614795166518,0.042440318302387266,-0.4666666666666666,-0.05422929560860594,0.5337459475390509,-0.9882110226937812,-0.8666666666666666,-0.9882110226937812,-0.22074860005894484,0.3333333333333333,-0.19351542177629136
22,Non-breeding,0,0.318007662835249,0.9608016504568228,0.6811081638667845,-0.3333333333333333,0.689655172413793,-0.012083701738874152,-0.9236663719422339,-0.7333333333333333,-0.9236663719422339,0.38933097553787205,0.2,-0.21683389074693424
22,Breeding,0,0.46419098143236065,0.8927203065134097,0.2967875036840554,0.4666666666666666,-0.3236074270557029,0.47008547008547,-0.9802534630120837,-0.9999999999999999,-0.9802534630120837,0.268788682581786,0.6,-0.21683389074693424
23,Non-breeding,0,0.19805481874447392,0.8588269967580312,0.7241379310344827,-0.2,0.505452402004126,-0.08045977011494251,-0.9722959033303861,-0.7333333333333333,-0.9722959033303861,0.43619216033009134,-0.06666666666666665,-0.2614269788182832
23,Breeding,0,0.16357206012378422,0.9160035366931917,0.14765694076038902,-0.8666666666666666,0.02947244326554671,-0.15089890951959917,-0.986147951665193,-0.9999999999999999,-0.986147951665193,0.33009136457412314,0.3333333333333333,-0.2614269788182832
24,Non-breeding,0,0.4102564102564102,0.9277925139994104,-0.17801355732390214,-0.06666666666666665,0.4865900383141762,-0.48600058944886526,-0.9793692897141172,-0.9999999999999999,-0.9793692897141172,-0.12142646625405244,0.7333333333333333,-0.6349869936826459
24,Breeding,0,-0.4182139699381078,0.9039198349543176,-0.23784261715296195,-0.6,-0.07486000589448864,-0.09283819628647214,-0.986147951665193,-0.9999999999999999,-0.986147951665193,-0.6707928087238432,0.7333333333333333,-0.6349869936826459
25,Non-breeding,0,0.2186855290303566,0.9442970822281166,0.49808429118773945,-0.4666666666666666,0.5007368110816386,-0.44326554671382257,-0.9068670792808722,-0.8666666666666666,-0.9068670792808722,0.5567344532861773,-0.06666666666666665,-0.1326644370122631
25,Breeding,0,0.2885352195697023,0.9006778661951074,0.9174771588564691,-0.2,-0.6153846153846153,0.5349248452696728,-0.9790745652814616,-0.9999999999999999,-0.9790745652814616,0.6256999705275567,-0.2,-0.1326644370122631
26,Non-breeding,0,0.524314765694076,0.9369289714117298,0.9260241674034776,0.06666666666666665,0.33628057765988795,-0.4462127910403772,-0.9218980253463012,-0.6,-0.9218980253463012,0.8234600648393752,0.4666666666666666,0.11584912671869195
26,Breeding,0,0.8222811671087531,0.8393751842027704,0.9242558208075449,0.8666666666666666,0.3032714412024756,0.33392278219864424,-0.9731800766283524,-0.2,-0.9731800766283524,0.627173592690834,0.8666666666666666,0.11584912671869195
27,Non-breeding,0,0.4668435013262599,0.8977306218685528,0.8950781019746537,-0.06666666666666665,-0.10020630710285881,0.35425876805187145,-0.962864721485411,-0.9999999999999999,-0.962864721485411,0.7910403772472736,-0.06666666666666665,0.37402452619843923
27,Breeding,0,0.33362805776598875,0.842322428529325,0.3368700265251989,-0.2,-0.21691718243442376,-0.5048629531388151,-0.9784851164161507,-0.6,-0.9784851164161507,0.8137341585617446,0.2,0.37402452619843923
28,Non-breeding,0,0.41143530798703204,0.931329207191276,0.6407309165929855,0.2,-0.6943707633362806,0.5467138225758915,-0.8953728264073091,-0.7333333333333333,-0.8953728264073091,0.8659003831417623,0.4666666666666666,0.18868450390189523
28,Breeding,0,0.28411435307987026,0.8084291187739463,0.7509578544061302,-0.2,-0.6457412319481284,-0.15443560271146475,-0.9681697612732094,-0.8666666666666666,-0.9681697612732094,0.7155909224874741,0.4666666666666666,0.18868450390189523
29,Non-breeding,0,0.3071028588269967,0.9298555850279987,0.5107574417919245,-0.3333333333333333,-0.44473916887709986,-0.6015325670498084,-0.9587385794282346,-0.8666666666666666,-0.9587385794282346,0.7312113174182139,0.06666666666666665,-0.7516722408026756
29,Breeding,0,0.2976716769820218,0.8818155025051575,0.3754789272030651,-0.4666666666666666,0.550839964633068,-0.143236074270557,-0.9749484232242851,-0.9999999999999999,-0.9749484232242851,0.3513115237253168,-0.2,-0.7516722408026756
30,Non-breeding,0,0.4989684644857058,0.8918361332154434,0.9646330680813439,0.2,-0.15473032714412022,-0.23695844385499554,-0.908045977011494,-0.3333333333333333,-0.908045977011494,0.5334512231063955,0.3333333333333333,-0.08862876254180603
30,Breeding,0,0.7052755673445328,0.7421161214264662,0.9257294429708223,0.06666666666666665,-0.2516946654877689,0.7945770704391394,-0.9693486590038313,-0.7333333333333333,-0.9693486590038313,0.7323902151488357,0.4666666666666666,-0.08862876254180603
31,Non-breeding,0,0.711759504862953,0.9216033009136456,0.9251399941055112,0.9999999999999999,-0.2911877394636015,0.5019157088122604,-0.9758325965222516,-0.8666666666666666,-0.9758325965222516,0.017094017094017092,0.8666666666666666,0.21553325901151987
31,Breeding,0,0.1119952844090775,0.9210138520483346,0.4167403477748305,-0.6,0.2655467138225759,-0.16946654877689357,-0.9622752726201002,-0.8666666666666666,-0.9622752726201002,0.3796050692602416,0.3333333333333333,0.21553325901151987
32,Non-breeding,0,-0.12584733274388446,0.8549955791335101,0.6292366637194222,-0.06666666666666665,0.22192749778956675,-0.18302387267904507,-0.9593280282935455,-0.9999999999999999,-0.9593280282935455,0.645446507515473,0.3333333333333333,-0.44751021924934975
32,Breeding,0,0.08517536103743,0.8938992042440318,0.7533156498673739,-0.4666666666666666,0.47303271441202466,0.3710580607132331,-0.9802534630120837,-0.8666666666666666,-0.9802534630120837,0.7474211612142645,-0.06666666666666665,-0.44751021924934975
