Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var
0.0,0.024067741403446613,0.15503569044734936,-0.13096794904390274,0.15668631823463547,0.02455060232192546,0.8537956619610522,0.7060792554598446,0.5717589527221408,1.0098405879061887,1.270530460131201,1.5045672491359103,2.7459910995269485e-11,0.9999999999725402,5.949245326116107e-29,0.0,"{'sigma': 0.06586596671489484, 'lam': -0.3772695503435406}","{'sigma': 0.025405862742095664, 'mu': -0.07520917565544671, 'w0': 0.22220612001959023, 'delta': 2.975863999665762e-11, 'psi': 0.2}",{'sigma': 0.06851166901627577},0.0054032723105685255,0.2200871587473442
0.05,0.2314454460769957,0.39562967365948987,-0.16418422758249418,0.29113185340439657,0.08475775606667905,0.947873331496277,0.9011209762283524,0.8573542283580509,0.73628307834595,0.5600578854221788,-0.5094776854799216,1.0790465157714243e-25,1.0,1.379428900050801e-38,0.0046906886401112445,"{'sigma': 0.07109532578037929, 'lam': -0.32718329684528635}","{'sigma': 0.02851447912462124, 'mu': -0.06957020938801817, 'w0': 0.2055457484115572, 'delta': 3.3551605937987006e-11, 'psi': 0.2}",{'sigma': 0.07923157190425448},0.009381377280222489,0.11068458764814568
0.1,8.658417174321743,8.803138978165002,-0.14472180384325917,0.3764891943489679,0.1417441134615349,0.966428937764478,0.928662743502889,0.8898573829347152,0.04276833681090838,-0.6451763864100535,1.744822255375398,8.715247402089694e-47,1.0,6.211781931841082e-58,0.008325544746378302,"{'sigma': 0.09119357906120912, 'lam': -0.32111471185665996}","{'sigma': 0.03748439318299979, 'mu': -0.0692344229156221, 'w0': 0.20455366453176424, 'delta': 1.2223333456518048e-11, 'psi': 0.2}",{'sigma': 0.09958343132139555},0.016651089492756604,0.11747288184405069
0.15000000000000002,19.877098486428334,19.70553687019536,0.1715616162329745,0.24903234605486954,0.0620171093815923,0.91454048323916,0.8253358731943957,0.7361814775753129,0.012637888430319601,0.010531698673299818,-0.2564367512416061,2.685339885936607e-19,1.0,1.687443261168788e-33,0.005167830419768674,"{'sigma': 0.08849098586479079, 'lam': -0.38166014013963645}","{'sigma': 0.03401882134537071, 'mu': -0.0742825035214223, 'w0': 0.21946825970406694, 'delta': 5.6537219350616397e-11, 'psi': 0.2}",{'sigma': 0.08996060357453597},0.010335660839537348,0.1666582164599426
0.2,30.505639603521814,30.13003758538053,0.3756020181412829,0.2241099366428671,0.0502252637020699,0.9029899884575916,0.7913954065942485,0.6897379333560453,0.007438021500131615,0.10340951761131287,0.34391860609307195,2.7811562308847457e-14,0.9999999999999722,5.7844904116169395e-31,0.004244171500358789,"{'sigma': 0.07944530670632048, 'lam': -0.36755705240615866}","{'sigma': 0.031016864883330886, 'mu': -0.07427574167334972, 'w0': 0.2194482818007749, 'delta': 8.826539499295905e-11, 'psi': 0.2}",{'sigma': 0.0833421564900627},0.008488343000717578,0.16900544417386013
0.25,40.034222930302874,39.86347675927117,0.17074617103170198,0.20182700833764394,0.04073414129452339,0.8646623949347624,0.7233507234630643,0.5942564073508507,0.005062986838381862,-0.017203458818854597,-0.03431232673730862,1.244580196434608e-05,0.9999875541980356,1.6159655737837987e-20,0.0030729754457466765,"{'sigma': 0.0871080712385592, 'lam': -0.4754943475182314}","{'sigma': 0.029147101061711922, 'mu': -0.07845742070301509, 'w0': 0.23180308650764003, 'delta': 1.5690826415948322e-10, 'psi': 0.2}",{'sigma': 0.0793677252493456},0.006145950891493353,0.1508795986898504
0.30000000000000004,49.29753070829034,49.213321160705206,0.08420954758513233,0.18849999832266726,0.035532249367645555,0.8493943285303045,0.708661575517151,0.6034928551178774,0.0038302604402342677,-0.07090250489582524,-0.08892905178772713,5.094572206516429e-08,0.9999999490542778,1.7096748577490018e-22,0.002891968803624393,"{'sigma': 0.0752869184858864, 'lam': -0.442414160054283}","{'sigma': 0.025623654215464642, 'mu': -0.07458211115370994, 'w0': 0.22035345334716586, 'delta': 5.17956122436658e-10, 'psi': 0.2}",{'sigma': 0.07309341023182535},0.005783937607248786,0.16277994526615702
0.35000000000000003,58.08390127121212,58.00385994800447,0.08004132320765223,0.19596688617975175,0.038403020478987776,0.8591519844028271,0.7138622429110306,0.5881712879023481,0.0033784975933174323,-0.08833854590585152,0.23534503506160073,1.064030659241985e-14,0.9999999999999893,9.48568116263312e-28,0.0037369026776845555,"{'sigma': 0.08202854765044053, 'lam': -0.42489371776168294}","{'sigma': 0.02944625183974381, 'mu': -0.07513680774263842, 'w0': 0.22199230855959448, 'delta': 1.556066386854127e-10, 'psi': 0.2}",{'sigma': 0.08009593658216724},0.007473805355369111,0.19461503970653574
0.4,66.4531884458527,66.35134282521877,0.10184562063393798,0.16701484698233632,0.027893959112533215,0.7939774203042425,0.5908977091624835,0.42747055423061425,0.002517134551996455,-0.11828045248679883,-0.0004959656112320794,0.9999999999742006,2.579947127671057e-11,4.178822561313141e-20,0.002222306725467759,"{'sigma': 0.08330391650495564, 'lam': -0.5186289696087925}","{'sigma': 0.03138903114704861, 'mu': -0.12208514054800523, 'w0': 0.3607015388788678, 'delta': 9.500444875243375e-11, 'psi': 0.2}",{'sigma': 0.07375686647075633},0.004444613450935518,0.15933964171254844
0.45,74.20521005745721,74.20928308692295,-0.004073029465743616,0.1587230757978267,0.025193014790722643,0.7700646732857657,0.5493393099747599,0.3949771580074149,0.0021388630164717324,-0.026086272620569416,-0.006065361962314021,0.9997612214022161,0.0002387785977830993,7.649582679301812e-16,0.0016134277478140194,"{'sigma': 0.08335511575608327, 'lam': -0.6257541790379988}","{'sigma': 0.02853035188182962, 'mu': -0.12369975123767141, 'w0': 0.3654719191861507, 'delta': 1.2951861805277076e-11, 'psi': 0.2}",{'sigma': 0.06681098800365634},0.003226855495628039,0.1280853253345579
