Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Variance,Lag-3 AC,Smax/Var,Standard deviation,Skewness,Smax,Lag-1 AC,Cross correlation
14,Total,0,0.8563829787234043,0.7624113475177307,0.3510638297872341,-0.948581560283688,0.6276595744680852,0.5555555555555555,-0.948581560283688,0.09574468085106384,-0.6,0.2641843971631206,0.5070921985815603
15,Non-breeding,0,0.797872340425532,-0.34751773049645396,0.4308510638297873,-0.9273049645390072,0.033687943262411355,0.1111111111111111,-0.9273049645390072,0.6187943262411348,-0.8222222222222221,0.5265957446808511,0.6790780141843972
15,Breeding,0,0.7960992907801419,-0.6879432624113476,0.7960992907801419,-0.897163120567376,0.6117021276595745,-0.4666666666666666,-0.897163120567376,0.3794326241134752,-0.7777777777777777,-0.34219858156028377,0.6790780141843972
15,Total,0,0.8120567375886525,-0.5301418439716312,0.6365248226950355,-0.9042553191489363,0.35815602836879434,-0.24444444444444444,-0.9042553191489363,0.5673758865248227,-0.7777777777777777,-0.014184397163120569,0.6790780141843972
16,Non-breeding,0,0.8652482269503546,0.17553191489361705,-0.09751773049645392,-0.9609929078014184,0.33687943262411346,0.3333333333333333,-0.9609929078014184,-0.597517730496454,-0.5111111111111111,0.8368794326241136,0.7358156028368795
16,Breeding,0,0.7624113475177307,-0.019503546099290784,0.3617021276595745,-0.9078014184397164,0.07269503546099292,-0.19999999999999998,-0.9078014184397164,0.7180851063829788,-0.911111111111111,0.8067375886524824,0.7358156028368795
16,Total,0,0.8634751773049646,0.1046099290780142,0.8315602836879434,-0.9432624113475178,0.13120567375886524,0.15555555555555553,-0.9432624113475178,0.39007092198581567,-0.6444444444444444,0.822695035460993,0.7358156028368795
17,Non-breeding,0,0.6613475177304965,-0.6932624113475179,0.3794326241134752,-0.9166666666666667,0.2712765957446809,-0.28888888888888886,-0.9166666666666667,-0.42198581560283693,-0.7777777777777777,-0.5195035460992908,0.3138297872340426
17,Breeding,0,0.5390070921985817,-0.14184397163120568,0.37056737588652483,-0.9202127659574469,-0.05141843971631206,-0.6,-0.9202127659574469,-0.3085106382978724,-0.9555555555555554,0.07624113475177306,0.3138297872340426
17,Total,0,0.6028368794326241,-0.4893617021276596,0.16666666666666669,-0.9042553191489363,0.09929078014184398,-0.6,-0.9042553191489363,-0.43794326241134757,-0.911111111111111,-0.35992907801418444,0.3138297872340426
18,Non-breeding,0,0.9397163120567377,0.8989361702127661,-0.03546099290780142,-0.6595744680851064,0.8262411347517732,0.7777777777777777,-0.6595744680851064,0.5939716312056738,0.6888888888888888,0.9379432624113476,0.8918439716312057
18,Breeding,0,0.8900709219858156,0.47695035460992913,0.8421985815602838,-0.6773049645390071,0.8067375886524824,0.022222222222222223,-0.6773049645390071,0.8421985815602838,-0.5555555555555555,0.8634751773049646,0.8918439716312057
18,Total,0,0.9645390070921986,0.8882978723404256,0.6648936170212766,-0.546099290780142,0.7819148936170214,0.28888888888888886,-0.546099290780142,0.824468085106383,-0.06666666666666667,0.921985815602837,0.8918439716312057
19,Non-breeding,0,0.9663120567375888,-0.7287234042553192,-0.11170212765957448,-0.44148936170212766,-0.5425531914893618,0.37777777777777777,-0.44148936170212766,0.001773049645390071,0.19999999999999998,-0.40602836879432624,0.8812056737588653
19,Breeding,0,0.874113475177305,-0.299645390070922,0.42198581560283693,-0.8687943262411348,0.2464539007092199,0.06666666666666667,-0.8687943262411348,0.3670212765957447,-0.3333333333333333,0.7517730496453902,0.8812056737588653
19,Total,0,0.946808510638298,-0.4556737588652483,-0.6294326241134752,-0.5336879432624113,-0.09751773049645392,0.24444444444444444,-0.5336879432624113,-0.4556737588652483,0.15555555555555553,0.30141843971631205,0.8812056737588653
20,Non-breeding,0,0.921985815602837,-0.3865248226950355,0.8262411347517732,-0.948581560283688,0.700354609929078,0.022222222222222223,-0.948581560283688,0.8209219858156028,-0.6444444444444444,0.4929078014184398,0.053191489361702135
20,Breeding,0,0.14893617021276595,-0.5265957446808511,-0.10106382978723405,-0.9592198581560284,0.7695035460992908,0.28888888888888886,-0.9592198581560284,0.13297872340425532,-0.24444444444444444,0.4343971631205674,0.053191489361702135
20,Total,0,0.4716312056737589,-0.5017730496453902,-0.19326241134751776,-0.9326241134751774,0.6471631205673759,0.24444444444444444,-0.9326241134751774,0.41489361702127664,-0.19999999999999998,0.7109929078014185,0.053191489361702135
21,Non-breeding,0,0.6418439716312058,0.49822695035460995,0.7109929078014185,-0.9609929078014184,-0.06205673758865249,0.06666666666666667,-0.9609929078014184,0.5230496453900709,-0.911111111111111,0.8014184397163121,0.6648936170212766
21,Breeding,0,0.7446808510638299,-0.6613475177304965,0.4290780141843972,-0.9432624113475178,0.24290780141843976,-0.022222222222222223,-0.9432624113475178,0.07446808510638298,-0.911111111111111,0.8829787234042553,0.6648936170212766
21,Total,0,0.8191489361702128,0.2198581560283688,0.7836879432624114,-0.9556737588652483,0.04255319148936171,0.24444444444444444,-0.9556737588652483,0.4964539007092199,-0.911111111111111,0.8563829787234043,0.6648936170212766
22,Non-breeding,0,0.7925531914893618,0.6028368794326241,0.43794326241134757,-0.9131205673758866,0.05141843971631206,-0.19999999999999998,-0.9131205673758866,0.18085106382978725,-0.9555555555555554,0.6755319148936171,0.6666666666666667
