Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean,Cross correlation
Non-breeding,0,12.58172527767765,1.6068380161058233,12.185533672087399,,,,,,,,,,,,
Non-breeding,2,13.314477276325443,1.5751116395969402,11.739791882203535,,,,,,,,,,,,
Non-breeding,4,12.415365281440959,1.5405008461924783,11.039487713727384,,,,,,,,,,,,
Non-breeding,6,2.9330623397669773,1.5033056938118756,2.549258137129255,,,,,,,,,,,,
Non-breeding,8,2.8415790422593252,1.4638858434014184,3.5391920838014013,,,,,,,,,,,,
Non-breeding,10,4.795061383775387,1.422495185284151,5.378368381555513,,,,,,,,,,,,
Non-breeding,12,17.20635396130246,1.3794955548843038,17.334318611655,,,,,,,,,,,,
Non-breeding,14,7.345174510592222,1.3353512368482954,8.674148949944088,,,,,,,,,,,,
Non-breeding,16,9.390331417910694,1.2903631638643842,8.798211861242168,,,,,,,,,,,,
Non-breeding,18,3.314180065010815,1.2448696919252014,4.103768375102321,,,,,,,,,,,,
Non-breeding,20,13.950188921158013,1.1991192579877525,12.797142202953777,,,,,,,,,,,,
Non-breeding,22,1.0847130854607807,1.1534034352352407,2.0696496239133757,,,,,,,,,,,,
Non-breeding,24,7.015770464505764,1.1078575417512897,8.123384296168945,,,,,,,,,,,,
Non-breeding,26,12.16202180745677,1.062703793929942,13.076762836126946,,,,,,,,,,,,
Non-breeding,28,6.971952449381687,1.0184188426066823,6.001099943867842,,,,,,,,,,,,
Non-breeding,30,3.1874986352132035,0.97558480614102,2.9362429810214032,,,,,,,,,,,,
Non-breeding,32,4.286272077458835,0.9347457466917592,3.3592799083963825,,,,,,,,,,,,
Non-breeding,34,2.4684987645682797,0.8966619072820518,1.7155165736290947,,,,,,,,,,,,
Non-breeding,36,4.373929419665011,0.8625832944328291,5.188938872930413,,,,,,,,,,,,
Non-breeding,38,9.234260923133242,0.8350730864554363,8.399440879820283,,,,,,,,,,,,
Non-breeding,40,7.883185589745178,0.8196198069185162,8.627600391581726,,,,,,,,,,,,
Non-breeding,42,2.1725276613683806,0.8254838491590094,2.1116341987374807,,,,,,,,,,,,
Non-breeding,44,15.229895616205793,0.769090415929188,14.602625722847359,,,,,,,,,,,,
Non-breeding,46,11.636275933030007,0.6860000369221112,10.981156972040045,,,,,,,,,,,,
Non-breeding,48,2.0605568366029012,0.5728354429975223,2.06876216153949,,,,,,,,,,,,
Non-breeding,50,3.9902373679289314,0.433896968403299,4.367374414311231,,,,,,,,,,,,
Non-breeding,52,3.1059560975631615,0.27650306031010136,2.9353104657809235,,,,,,,,,,,,
Non-breeding,54,1.0329993176944736,0.11348152670854453,1.141023832668585,,,,,,,,,,,,
Non-breeding,56,10.128719904288053,0.07138731486295953,10.172693703466598,,,,,,,,,,,,
Non-breeding,58,5.484787906536115,0.2245422651375737,5.705215074358204,,,,,,,,,,,,
Non-breeding,60,9.149400235306267,0.3697490567106392,9.25082641325359,,,,,,,,,,,,
Non-breeding,62,13.912482754598424,0.49627791220139933,14.373911078862095,,,,,,,,,,,,
Non-breeding,64,13.26268717272946,0.6044696626079471,13.485093509101379,,,,,,,,,,,,
Non-breeding,66,5.128267555242574,0.6981176369421129,5.240706740476946,,,,,,,,,,,,
Non-breeding,68,3.944562015318092,0.7820086919559893,4.527333427107347,,,,,,,,,,,,
Non-breeding,70,14.036572259358179,0.8640509646158014,13.17514991945067,,,,,,,,,,,,
Non-breeding,72,9.803516103273626,0.9510449248958126,8.890425504431883,,,,,,,,,,,,
Non-breeding,74,9.65596551710268,1.0459443368583121,9.530380744363761,,,,,,,,,,,,
Non-breeding,76,12.795933412391859,1.1500642930044482,11.680458806545488,,,,,,,,,,,,
Non-breeding,78,9.57962673876445,1.2633487408948925,9.396711013203554,1.05324250444919,18.434591863401668,0.16337592123955202,0.16454581189411405,0.37662096973189113,0.01148118375515444,0.4454484205875067,0.769316943525426,2.212285425463673,0.019065835823353708,0.023893020497763654,0.23309079565246205
Non-breeding,80,9.49863980860498,1.3834652779442362,8.41140776454528,0.9575055162378187,16.805552330048272,0.154613025571099,0.1767610730157002,0.35311928714360025,0.010249687670139887,0.23078791189226652,1.048420933700136,,,,0.22384237860562722
Non-breeding,82,8.076687573260699,1.506480388011662,6.701898923962037,0.6306448194048764,10.602840087858391,0.21608824051332945,0.22877307362022137,0.3500311465758927,0.007266955594227949,0.2702458568160361,1.0514691672389924,,,,0.21137129183595427
Non-breeding,84,5.373475298577487,1.6245705320748565,3.9787308415891096,0.39266516933892937,6.397921635548492,0.2516119666611251,0.22455250794508724,0.3499892866786492,0.005250820881470512,0.40118299581284517,1.0308910340606723,,,,0.20265932227862649
Non-breeding,86,5.769848504249324,1.7328010270944605,5.9783711042274295,0.48722680680290265,7.773262091584143,0.2394421151973611,0.21796991885088138,0.3200454621102121,0.006484853013456944,0.38378352564064033,1.2787649107380763,,,,0.18631958264138987
Non-breeding,88,1.7031956387821234,1.8271010141852313,3.1957607482016392,0.4968955724714294,7.929860282899429,0.2520719622449132,0.22703526882171118,0.3448936853546129,0.006751669221484873,0.4154897455956498,1.2885767033855449,1.5551114107470618,0.009911320620334107,0.01959708065451494,0.18523460549299928
Non-breeding,90,8.740266852474358,1.9012303050336543,7.5260030500666995,0.5317067865862504,8.499385704922386,0.24491036967438867,0.2129684959883324,0.34043127170146503,0.007406477268721736,0.39940015342815416,1.3291465787596777,,,,0.19008754291061955
