Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean,Cross correlation
Non-breeding,0,106.35626466160026,119.4122219850946,-13.055957323494349,,,,,,,,,,,,
Non-breeding,2,125.90397311422372,117.95440984450852,7.949563269715195,,,,,,,,,,,,
Non-breeding,4,125.64445725757584,116.49659571330544,9.147861544270407,,,,,,,,,,,,
Non-breeding,6,125.24329938670638,115.03890864319298,10.2043907435134,,,,,,,,,,,,
Non-breeding,8,111.80130484290089,113.58130374964078,-1.7799989067398865,,,,,,,,,,,,
Non-breeding,10,110.15386198931344,112.12346839482905,-1.9696064055156057,,,,,,,,,,,,
Non-breeding,12,116.36667005311638,110.66512026315739,5.701549789959003,,,,,,,,,,,,
Non-breeding,14,116.2556895248722,109.20609012675283,7.049599398119355,,,,,,,,,,,,
Non-breeding,16,106.3364422555044,107.74623312600208,-1.4097908704976827,,,,,,,,,,,,
Non-breeding,18,105.14907019722223,106.28534635127966,-1.1362761540574315,,,,,,,,,,,,
Non-breeding,20,105.78542072917908,104.82319453734198,0.9622261918371086,,,,,,,,,,,,
Non-breeding,22,100.85912868505625,103.35959853116636,-2.5004698461101262,,,,,,,,,,,,
Non-breeding,24,97.38749870495762,101.89449738445404,-4.506998679496415,,,,,,,,,,,,
Non-breeding,26,92.34773661454545,100.42801961864264,-8.080283004097192,,,,,,,,,,,,
Non-breeding,28,100.86008844011802,98.96049248470591,1.8995959554121242,,,,,,,,,,,,
Non-breeding,30,101.40257334299675,97.49242187047611,3.9101514725206385,,,,,,,,,,,,
Non-breeding,32,98.95671429503989,96.0244247550213,2.9322895400185964,,,,,,,,,,,,
Non-breeding,34,98.1720895083388,94.55711741494753,3.6149720933912683,,,,,,,,,,,,
Non-breeding,36,89.89364236462995,93.0910756681385,-3.1974333035085465,,,,,,,,,,,,
Non-breeding,38,93.29123106850075,91.62687304056975,1.6643580279310015,,,,,,,,,,,,
Non-breeding,40,86.1437853050894,90.16577289735467,-4.021987592265281,,,,,,,,,,,,
Non-breeding,42,87.84943930106044,88.71096995774194,-0.8615306566814951,,,,,,,,,,,,
Non-breeding,44,83.74723954377913,87.20536865011456,-3.4581291063354436,,,,,,,,,,,,
Non-breeding,46,90.1934749498522,85.68441031845305,4.509064631399156,,,,,,,,,,,,
Non-breeding,48,82.48479743153713,84.1464325434355,-1.6616351118983677,,,,,,,,,,,,
Non-breeding,50,77.91815430258386,82.59213175226091,-4.673977449677044,,,,,,,,,,,,
Non-breeding,52,70.71771438276596,81.02490778610189,-10.307193403335935,,,,,,,,,,,,
Non-breeding,54,83.85814272502475,79.44944996502385,4.408692760000908,,,,,,,,,,,,
Non-breeding,56,78.73302558728916,77.87215115086981,0.8608744364193418,,,,,,,,,,,,
Non-breeding,58,82.28701103134765,76.29687008983676,5.990140941510887,,,,,,,,,,,,
Non-breeding,60,74.59807851042318,74.72636417400538,-0.12828566358219953,,,,,,,,,,,,
Non-breeding,62,76.51243497689576,73.16384498893181,3.3485899879639427,,,,,,,,,,,,
Non-breeding,64,67.23647165595197,71.61240614656566,-4.375934490613669,,,,,,,,,,,,
Non-breeding,66,75.88519091295319,70.07258479634554,5.812606116607668,,,,,,,,,,,,
Non-breeding,68,64.55604155471751,68.543824996016,-3.9877834412984896,,,,,,,,,,,,
Non-breeding,70,62.2663392666035,67.02396997603958,-4.757630709436067,,,,,,,,,,,,
Non-breeding,72,57.8684229246193,65.50962685089942,-7.641203926280123,,,,,,,,,,,,
Non-breeding,74,64.65037062085626,63.99623232149221,0.6541382993640686,,,,,,,,,,,,
Non-breeding,76,64.12596334512051,62.48077194470807,1.6451914004124504,,,,,,,,,,,,
Non-breeding,78,59.700262305380846,60.96277081707837,-1.2625085116975328,8.969008252033307,81.18265554049383,0.18928127359453373,0.01660426245078961,-0.096699875030738,0.09910934271901749,0.046506196463694506,0.4813045602290176,7.577230901672384,0.09404512337385496,0.08364660402542407,0.6285482067516731
Non-breeding,80,57.48464966960362,59.44611848313602,-1.9614688135323892,8.658591816284458,75.5824234501121,0.21791072396725544,0.08492344668250955,-0.044134619178582496,0.09696744122853905,0.15227543888264777,0.17953063242885373,,,,0.6151491395488285
Non-breeding,82,57.079183257635954,57.93585124328297,-0.8566679856470168,8.48979304022909,72.34172779141711,0.1828319702872925,0.045973116420057004,-0.02688909373880082,0.09698138680510493,0.10448238954392268,0.13633822033243778,,,,0.6087290637366997
Non-breeding,84,54.882002830168936,56.437960050816706,-1.5559572206477696,8.249160306203057,68.15143638091075,0.15773504965663612,0.053155083127830176,-0.022179958673553574,0.09619621368904115,0.04627375117736615,0.12671187699595246,,,,0.5968920462089705
Non-breeding,86,53.99166295755768,54.956431769249896,-0.964768811692224,8.098164602015723,65.73852989551871,0.16293156584520674,0.04910504226201371,-0.05949363241525254,0.09644444886781994,0.09338984755328465,0.32202467125181455,,,,0.6062378881821031
Non-breeding,88,54.73861003015789,53.49366825830061,1.24494177185728,8.102092898089362,65.80851280256456,0.16431709307777642,0.07465311838424557,-0.05260881928949573,0.09816083933024145,0.06731581078405573,0.3295951542027891,8.320295422716539,0.125819672362569,0.10087017691221155,0.607934174433056
Non-breeding,90,47.80511437300913,52.05301712020505,-4.247902747195913,8.144746317511162,66.52536731454622,0.14776524587609655,0.08149429626871603,-0.057934132405863065,0.10058391377331927,0.07999158095990239,0.28006370398005004,,,,0.6096192027740762
