Realisation number,Variable,index,Standard deviation,Variance,Kurtosis,Lag-3 AC,Lag-1 AC,Smax,Coefficient of variation,Smax/Var,Skewness,Lag-2 AC
23,x,0,-0.9689625108979946,-0.9689625108979946,0.41923859343214176,0.7620459168846264,0.738913106655042,-0.9555555555555554,0.8591107236268525,0.24444444444444444,0.16791630340017433,0.8868933449578609
24,x,0,-0.9614065678581806,-0.9614065678581806,0.4135425748328973,0.44725370531822134,0.8979366463237429,-0.5555555555555555,0.8448125544899736,0.8666666666666666,0.477593722755013,0.7629758791049112
25,x,0,-0.9628015111886078,-0.9628015111886078,0.22510897994768958,0.5009590235396686,0.9131647776809065,-0.7333333333333333,0.7797151990700376,0.7333333333333333,-0.4273757628596337,0.8420226678291193
26,x,0,-0.982214472537053,-0.982214472537053,-0.1323452484742807,0.2805579773321708,0.8498111014240045,-0.8666666666666666,0.7391455972101132,0.8666666666666666,0.44853240337111294,0.714501598372566
27,x,0,-0.976983435047951,-0.976983435047951,0.2706771287416448,0.6162743388549838,0.9580354548096481,-0.7777777777777777,0.7783202557396105,0.5555555555555555,0.794129613484452,0.8684103458297006
28,x,0,-0.9761697181052017,-0.9761697181052017,0.10130775937227547,0.9325777390293517,0.9586166811973261,-0.24444444444444444,0.7680906713164776,0.6444444444444444,0.4083115373437953,0.8649229875036325
29,x,0,-0.9841906422551582,-0.9841906422551582,0.3539087474571345,0.8145887823307176,0.9093286835222317,-0.8666666666666666,0.8981691368788142,0.4666666666666666,-0.2995059575704736,0.8794536471955825
30,x,0,-0.9837256611450158,-0.9837256611450158,0.009473990119151407,0.09968032548677708,0.9070037779715197,-0.911111111111111,0.5457134553908746,0.8222222222222221,0.4689915722173786,0.8112176692821852
31,x,0,-0.9869805289160126,-0.9869805289160126,0.7306596919500143,-0.0014530659691950013,0.9358326068003485,-0.9555555555555554,0.8758500435919788,0.7333333333333333,0.3766928218541121,0.8528334786399301
32,x,0,-0.9884917175239755,-0.9884917175239755,0.21255448997384477,0.04039523394362103,0.8902644580063933,-0.7333333333333333,0.68427782621331,0.6444444444444444,0.19104911362975877,0.8024992734670152
33,x,0,-0.9680325486777098,-0.9680325486777098,0.7601859924440568,0.82667829119442,0.9216506829410053,-0.7333333333333333,0.8427201394943329,0.5555555555555555,0.7358907294391164,0.9523394362104038
34,x,0,-0.9867480383609414,-0.9867480383609414,0.3363557105492589,0.49433304272013945,0.9116535890729438,-0.911111111111111,0.6219703574542284,0.7777777777777777,-0.06306306306306304,0.5371113048532402
35,x,0,-0.9504795117698341,-0.9504795117698341,0.7721592560302236,0.8567858180761404,0.9423423423423422,-0.6444444444444444,0.9394362104039521,0.911111111111111,0.3968032548677709,0.8131938390002905
36,x,0,-0.9761697181052017,-0.9761697181052017,-0.03807032839290903,0.6604475443185119,0.9150247021214761,-0.8222222222222221,0.8424876489392616,0.8222222222222221,0.3704155768671897,0.8286544609125253
37,x,0,-0.9597791339726822,-0.9597791339726822,0.13885498401627433,-0.16326649229875032,0.9481546062191222,-0.37777777777777777,0.9287416448706769,0.9999999999999999,0.20848590526009877,0.6886951467596627
38,x,0,-0.979308340598663,-0.979308340598663,0.4250508573089217,0.849346120313862,0.811566405114792,-0.6444444444444444,0.7899447834931704,0.8222222222222221,0.6173205463528043,0.8409764603312988
39,x,0,-0.9875617553036905,-0.9875617553036905,-0.06759662888695146,0.4734088927637314,0.8681778552746293,-0.8666666666666666,0.9207207207207205,0.6888888888888888,0.4910781749491426,0.7969195001453064
40,x,0,-0.9804707933740189,-0.9804707933740189,0.725544899738448,0.7192676547515257,0.9261842487648937,-0.8222222222222221,0.9111886079628013,0.7333333333333333,0.45806451612903215,0.8877070619006101
41,x,0,-0.9861668119732635,-0.9861668119732635,0.7403080499854692,0.690671316477768,0.9773321708805578,-0.7777777777777777,0.9156059285091541,0.9555555555555554,0.38692240627724495,0.8422551583841904
42,x,0,-0.9895379250217958,-0.9895379250217958,0.76564952048823,0.5764022086602731,0.9047951176983433,-0.9555555555555554,0.3636733507701249,0.19999999999999998,0.005870386515547804,0.644754431851206
43,x,0,-0.9609415867480382,-0.9609415867480382,-0.15757047369950591,0.529904097646033,0.9116535890729438,-0.8222222222222221,0.9038651554780585,0.8222222222222221,0.3609997093868061,0.7879686137750653
44,x,0,-0.9772159256030223,-0.9772159256030223,0.32101133391455966,0.5408311537343794,0.9501307759372274,-0.9999999999999999,0.73658820110433,0.5555555555555555,0.18140075559430394,0.672072072072072
45,x,0,-0.9678000581226386,-0.9678000581226386,0.8293519325777389,0.8343504795117697,0.9206044754431849,-0.6888888888888888,0.8706190061028769,0.7777777777777777,0.5523394362104038,0.8574832897413541
46,x,0,-0.9750072653298458,-0.9750072653298458,-0.034350479511769824,0.6704446381865735,0.956059285091543,0.15555555555555553,0.9129322871258354,0.7333333333333333,0.28009299622202843,0.8887532693984306
47,x,0,-0.9586166811973261,-0.9586166811973261,-0.2646323743097936,0.8293519325777389,0.9430398140075557,-0.37777777777777777,0.8379540831153732,0.6,-0.15233943621040394,0.8503923278116825
