,rb,rnb,x,y,x_num,y_num
116,0.3,-0.7,Extinct,Extinct,,
117,0.3,-0.6,Extinct,Extinct,,
118,0.3,-0.5,Extinct,Extinct,,
119,0.3,-0.4,Extinct,Extinct,,
120,0.3,-0.3,0.061701474449216705,0.04570768128016319,0.061701474449216705,0.04570768128016319
121,0.3,-0.2,11.367507454466692,9.236103499059858,11.367507454466692,9.236103499059858
122,0.3,-0.1,20.845258435549596,18.599198633131067,20.845258435549596,18.599198633131067
123,0.3,0.0,28.621860263537474,28.076610990290284,28.621860263537474,28.076610990290284
124,0.4,-3.0,Extinct,Extinct,,
125,0.4,-2.9,Extinct,Extinct,,
126,0.4,-2.8,Extinct,Extinct,,
127,0.4,-2.7,Extinct,Extinct,,
128,0.4,-2.6,Extinct,Extinct,,
129,0.4,-2.5,Extinct,Extinct,,
130,0.4,-2.4,Extinct,Extinct,,
131,0.4,-2.3,Extinct,Extinct,,
132,0.4,-2.2,Extinct,Extinct,,
133,0.4,-2.1,Extinct,Extinct,,
134,0.4,-2.0,Extinct,Extinct,,
135,0.4,-1.9,Extinct,Extinct,,
136,0.4,-1.8,Extinct,Extinct,,
137,0.4,-1.7,Extinct,Extinct,,
138,0.4,-1.6,Extinct,Extinct,,
139,0.4,-1.5,Extinct,Extinct,,
140,0.4,-1.4,Extinct,Extinct,,
141,0.4,-1.3,Extinct,Extinct,,
142,0.4,-1.2,Extinct,Extinct,,
143,0.4,-1.1,Extinct,Extinct,,
144,0.4,-1.0,Extinct,Extinct,,
145,0.4,-0.9,Extinct,Extinct,,
146,0.4,-0.8,Extinct,Extinct,,
147,0.4,-0.7,Extinct,Extinct,,
148,0.4,-0.6,Extinct,Extinct,,
149,0.4,-0.5,Extinct,Extinct,,
150,0.4,-0.4,0.06762258889846229,0.045326717102774645,0.06762258889846229,0.045326717102774645
151,0.4,-0.3,12.471385390665388,9.161922901747309,12.471385390665388,9.161922901747309
152,0.4,-0.2,22.898258676224664,18.461237016957714,22.898258676224664,18.461237016957714
153,0.4,-0.1,31.476260172318593,27.8847953164202,31.476260172318593,27.8847953164202
154,0.4,0.0,38.397785260952986,37.41966883046397,38.397785260952986,37.41966883046397
155,0.5,-3.0,Extinct,Extinct,,
156,0.5,-2.9,Extinct,Extinct,,
157,0.5,-2.8,Extinct,Extinct,,
158,0.5,-2.7,Extinct,Extinct,,
159,0.5,-2.6,Extinct,Extinct,,
160,0.5,-2.5,Extinct,Extinct,,
161,0.5,-2.4,Extinct,Extinct,,
162,0.5,-2.3,Extinct,Extinct,,
163,0.5,-2.2,Extinct,Extinct,,
164,0.5,-2.1,Extinct,Extinct,,
165,0.5,-2.0,Extinct,Extinct,,
166,0.5,-1.9,Extinct,Extinct,,
167,0.5,-1.8,Extinct,Extinct,,
168,0.5,-1.7,Extinct,Extinct,,
169,0.5,-1.6,Extinct,Extinct,,
170,0.5,-1.5,Extinct,Extinct,,
171,0.5,-1.4,Extinct,Extinct,,
172,0.5,-1.3,Extinct,Extinct,,
173,0.5,-1.2,Extinct,Extinct,,
174,0.5,-1.1,Extinct,Extinct,,
175,0.5,-1.0,Extinct,Extinct,,
176,0.5,-0.9,Extinct,Extinct,,
177,0.5,-0.8,Extinct,Extinct,,
178,0.5,-0.7,Extinct,Extinct,,
179,0.5,-0.6,Extinct,Extinct,,
180,0.5,-0.5,0.07404016853569802,0.04490539794383572,0.07404016853569802,0.04490539794383572
181,0.5,-0.4,13.67260801907646,9.081200741118069,13.67260801907646,9.081200741118069
182,0.5,-0.3,25.1379794454031,18.310727781268927,25.1379794454031,18.310727781268927
183,0.5,-0.2,34.597477426381694,27.67504951694716,34.597477426381694,27.67504951694716
184,0.5,-0.1,42.25169680484218,37.16068597471462,42.25169680484218,37.16068597471462
185,0.5,0.0,48.296785556622275,46.754456010594986,48.296785556622275,46.754456010594986
186,0.6,-3.0,Extinct,Extinct,,
187,0.6,-2.9,Extinct,Extinct,,
188,0.6,-2.8,Extinct,Extinct,,
189,0.6,-2.7,Extinct,Extinct,,
190,0.6,-2.6,Extinct,Extinct,,
191,0.6,-2.5,Extinct,Extinct,,
192,0.6,-2.4,Extinct,Extinct,,
193,0.6,-2.3,Extinct,Extinct,,
194,0.6,-2.2,Extinct,Extinct,,
195,0.6,-2.1,Extinct,Extinct,,
196,0.6,-2.0,Extinct,Extinct,,
197,0.6,-1.9,Extinct,Extinct,,
198,0.6,-1.8,Extinct,Extinct,,
199,0.6,-1.7,Extinct,Extinct,,
200,0.6,-1.6,Extinct,Extinct,,
201,0.6,-1.5,Extinct,Extinct,,
202,0.6,-1.4,Extinct,Extinct,,
203,0.6,-1.3,Extinct,Extinct,,
204,0.6,-1.2,Extinct,Extinct,,
205,0.6,-1.1,Extinct,Extinct,,
206,0.6,-1.0,Extinct,Extinct,,
207,0.6,-0.9,Extinct,Extinct,,
208,0.6,-0.8,Extinct,Extinct,,
209,0.6,-0.7,Extinct,Extinct,,
210,0.6,-0.6,0.08098852174002534,0.044445024166422,0.08098852174002534,0.044445024166422
211,0.6,-0.5,14.97776144453979,8.993494430926937,14.97776144453979,8.993494430926937
212,0.6,-0.4,27.57815287629882,18.14674812671272,27.57815287629882,18.14674812671272
213,0.6,-0.3,38.00658072220301,27.44595777546796,38.00658072220301,27.44595777546796
214,0.6,-0.2,46.47065306935196,36.87717211373956,46.47065306935196,36.87717211373956
215,0.6,-0.1,53.17595353765223,46.42657592226977,53.17595353765223,46.42657592226977
216,0.6,0.0,58.32232969851759,56.08073944425962,58.32232969851759,56.08073944425962
217,0.7,-3.0,Extinct,Extinct,,
218,0.7,-2.9,Extinct,Extinct,,
219,0.7,-2.8,Extinct,Extinct,,
220,0.7,-2.7,Extinct,Extinct,,
221,0.7,-2.6,Extinct,Extinct,,
222,0.7,-2.5,Extinct,Extinct,,
223,0.7,-2.4,Extinct,Extinct,,
224,0.7,-2.3,Extinct,Extinct,,
225,0.7,-2.2,Extinct,Extinct,,
226,0.7,-2.1,Extinct,Extinct,,
227,0.7,-2.0,Extinct,Extinct,,
228,0.7,-1.9,Extinct,Extinct,,
229,0.7,-1.8,Extinct,Extinct,,
230,0.7,-1.7,Extinct,Extinct,,
231,0.7,-1.6,Extinct,Extinct,,
232,0.7,-1.5,Extinct,Extinct,,
233,0.7,-1.4,Extinct,Extinct,,
234,0.7,-1.3,Extinct,Extinct,,
235,0.7,-1.2,Extinct,Extinct,,
236,0.7,-1.1,Extinct,Extinct,,
237,0.7,-1.0,Extinct,Extinct,,
238,0.7,-0.9,Extinct,Extinct,,
239,0.7,-0.8,Extinct,Extinct,,
240,0.7,-0.7,0.08849955425045476,0.04394496447338704,0.08849955425045476,0.04394496447338704
