Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,2.0,-0.5,258.94972664931703,260.21013468976645,-1.2604080404494198,4.323488586393313,18.692553556673243,-0.2899686321855083,0.07145501025755328,-0.0011340659329666886,0.016623816617689594,-0.2838232751444964,0.13459065687990837,1.207823911091901,0.0646152441093693,0.004644083777078301
Breeding,2.0,-0.5,132.6369392884653,132.6047918495397,0.03214743892559113,5.50870709468318,30.345853855012802,-0.28940513918566707,0.06382454437034431,0.013933304519781387,0.04159816160101231,0.043221809935009375,0.06895715661762553,1.9546972826340245,0.06441398195526898,0.014760598457403778
Non-breeding,2.0,0.0,207.1187127512246,214.36203635276203,-7.2433236015374405,8.135055207328884,66.17912322628881,-0.738072973497579,0.531921774826842,-0.38036964914283156,0.03795239212422594,-0.08044541261762152,-0.042068994216305305,14.479228572492001,0.2187884617779329,0.06754980100742868
Breeding,2.0,0.0,180.67991447783353,185.69989296274218,-5.019978484908648,7.424370537461932,55.12127787753278,-0.7322380647851078,0.5211176037306148,-0.37164700671774775,0.04001412906951167,0.022952720436798232,-0.02898582106734588,12.107720908161633,0.21965602711646665,0.06525535123984089
Non-breeding,2.5,-2.0,162.54539445879342,275.4051622184466,-112.85976775965318,40.76858538486905,1662.077554283358,0.5662235961274071,0.33353553880258785,0.20440048453969867,0.1515541869551992,-0.22987030379826084,-0.06701430571015606,173.7112520501905,0.10451452858052102,0.6457586722939679
Breeding,2.5,-2.0,20.03894770623852,30.910658962990173,-10.871711256751652,6.507188916626465,42.343507596666306,0.5526035977838212,0.31889372828559875,0.1921434869463428,0.21522807758723295,0.2067231936669261,-0.08612622746220713,4.423246391383496,0.10446102938651537,0.1463007805228569
Non-breeding,2.5,-1.5,396.0320522610447,425.1129638911046,-29.08091163005986,15.799843219329087,249.63504575537934,0.19394007836244467,0.05178532708711955,0.039753515418985266,0.03742298209371763,-1.0465231242462003,1.7246656854382374,13.655988202689235,0.05470381036191095,0.03234511854877502
Breeding,2.5,-1.5,68.90349844582705,71.40900687934463,-2.5055084335175763,8.533676650658938,72.82363717800156,0.18705069100032498,0.04226008976209951,0.03026939793662167,0.12041273471099506,0.05713894530255494,0.029273266306300016,3.9840179048317808,0.05470775779976101,0.056215686473346856
Non-breeding,2.5,-1.0,440.4234812937396,439.66245971189664,0.7610215818429538,6.917653834434917,47.85393457307212,-0.16633549624801433,0.021492392943634853,0.021169675024129714,0.015757002658229803,-0.8997471691490868,1.0111524225048634,2.584734527621784,0.054012999154227116,0.005887497379504496
Breeding,2.5,-1.0,121.87469295530565,120.52704087823925,1.3476520770663996,8.828261425362625,77.93819979454571,-0.1673107194293628,0.018213345986668066,0.029169533622934774,0.0734423153185041,0.03741491684748472,0.049637875329109515,4.376201440565131,0.05614963460923288,0.03640562400790875
Non-breeding,2.5,-0.5,358.25044931995154,370.247111326742,-11.996662006790473,14.664650729165004,215.05198100839968,-0.5744586324164452,0.30948698630657945,-0.1482970497241802,0.03960924398956957,-0.14670160074828056,-0.012928261104800528,27.924423283952724,0.12984964450460945,0.07542390988708393
Breeding,2.5,-0.5,171.83673656762116,175.16820099976468,-3.3314644321435196,9.072387761682503,82.30821969832644,-0.5716594566526184,0.30332152583901056,-0.14352066135832134,0.051838517572617565,0.06583568723956032,0.025699691653215586,10.710480512883816,0.13012649954208147,0.06119837983813638
Non-breeding,2.5,0.0,362.6703769402035,286.0320573452201,76.63831959498339,107.38892569382942,11532.381361674818,-0.9954639490003875,0.992295636907363,-0.9885521525835069,0.37461702185745377,0.01930456273138689,-1.8560063183490119,11327.725196697338,0.9822537810223996,39.51579411181531
Breeding,2.5,0.0,285.28365585810417,230.98388739647962,54.29976846162455,72.02622302102006,5187.77680267372,-0.9949684595290244,0.9902878743561598,-0.9864459707222718,0.3122386984799653,-0.0017033948330507313,-1.8280536089541188,5077.822744115619,0.9788051678512012,22.012715622640915
Non-breeding,3.0,-2.0,447.04139287482013,638.5597910059199,-191.5183981310998,71.2069239111241,5070.426012884615,0.26885358469571613,0.08038377609789478,0.048781821395651535,0.11404071198674093,-1.0870786245000885,1.8193405786988874,315.7904775504214,0.06228085702226134,0.5057509708386232
Breeding,3.0,-2.0,46.187623191727006,56.003184832527126,-9.81556164080012,12.974550272659487,168.33895477776838,0.25619497398284946,0.06801185606963811,0.034834337422321705,0.23496276291161225,0.14006775231567484,0.02422263703586608,10.457037025740165,0.06211893758960876,0.18937182868021718
Non-breeding,3.0,-1.5,732.7007593320866,734.6647912325946,-1.9640319005079618,11.958557067717846,143.00708714186447,-0.006508666602577086,-0.00058332450077462,0.027980777287121245,0.016358943396101003,-3.257048121261039,18.67470780859359,5.965920156418403,0.04171765382858369,0.008161197842837389
Breeding,3.0,-1.5,102.4714241928114,100.38959098523411,2.08183320757729,14.484294625381013,209.7947907948413,-0.017346868416742118,-0.00033071185534222367,0.028591332245571123,0.14522588825182242,0.0334934606152674,0.03733265121538525,9.783071527857386,0.04663162269564771,0.09808936432255354
Non-breeding,3.0,-1.0,648.4255292771435,658.8815659598815,-10.456036682738045,32.017232877777936,1025.1032011498642,-0.33173226735479305,0.09470640370198424,0.0033023616241861,0.048656999062226085,-0.4161963782743085,0.12308218936262953,72.50732668322993,0.07073173374339095,0.11019031344457926
Breeding,3.0,-1.0,156.48844348979117,155.6716892515296,0.8167542382615522,13.814074683789004,190.82865936930028,-0.3300978691917861,0.0924560106190393,0.005351422469527688,0.08889362602928703,0.08554173311794389,0.05723986535489705,13.486915708822469,0.07067552511974617,0.08678835671241208
Non-breeding,3.0,-0.5,458.3343814635313,499.2370139858053,-40.90263252227396,41.98220701660487,1762.505705985067,-0.7723676965347859,0.580889160139221,-0.4308626965274631,0.08395852052051152,-0.005849291324958396,-0.10799660349001196,462.51027574443003,0.2624163281706554,0.9249556237402528
Breeding,3.0,-0.5,205.73296461977858,216.46281591251133,-10.729851292732747,15.725386995788508,247.28779616731433,-0.7705510965647502,0.5782748550799257,-0.428629937335011,0.0727114650616531,0.06713357886074385,-0.03784823039405432,64.82076524419806,0.26212682651084196,0.29971998835929403
Non-breeding,3.0,0.0,102.75427767633906,416.09099339325553,-313.3367157169165,314.1782223516557,98707.9554000464,-0.9978995122591773,0.9979793953459737,-0.9981386744715491,0.7527334331558619,-0.0014509765126973619,-1.9937985118139783,98500.62345842095,0.9978995417260426,235.9957094061752
Breeding,3.0,0.0,96.02217634551482,271.7957011884794,-175.7735248429646,175.85700905393338,30925.687633395206,-0.9956329015679256,0.9928215632547244,-0.9931178329549339,0.6471783407667241,0.002449935723509842,-1.9746119763876073,30724.068866616715,0.9934805405406484,113.06886212650976
