Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
11,Non-breeding,0,0.8875215889464595,0.5519214162348878,0.9557426597582038,0.5989853195164077,0.7157894736842105,0.26068652849740936,-0.9552029360967186,-0.9552029360967186,-0.1971070811744387,-0.24210526315789474,0.8401338514680484
11,Breeding,0,0.8479058721934369,0.5320595854922281,0.7723445595854922,0.7588514680483592,0.6421052631578947,0.636981865284974,-0.9838082901554405,-0.9838082901554405,-0.06336355785837652,-0.8210526315789474,0.8401338514680484
11,Total,0,0.9176381692573403,0.5832253886010363,0.9278929188255614,-0.05656303972366149,0.7263157894736842,0.6360103626943006,-0.8738126079447324,-0.8738126079447324,-0.1940846286701209,-0.5263157894736842,0.8401338514680484
12,Non-breeding,0,0.9558506044905007,0.8302029360967185,0.9652417962003453,-0.5875431778929188,0.8421052631578948,0.8441278065630398,-0.358160621761658,-0.358160621761658,0.6178756476683939,0.7578947368421053,0.9484024179620035
12,Breeding,0,0.9494818652849741,0.844667530224525,0.7310017271157168,0.26349309153713296,0.7578947368421053,0.7823834196891192,-0.9849956822107082,-0.9849956822107082,0.2518350604490501,-0.7999999999999999,0.9484024179620035
12,Total,0,0.967724525043178,0.903821243523316,0.957901554404145,-0.2411485319516408,0.7999999999999999,0.8408894645941278,-0.9114853195164077,-0.9114853195164077,-0.0705958549222798,0.6105263157894737,0.9484024179620035
13,Non-breeding,0,0.9709628670120898,0.5575345423143351,0.9915803108808291,0.6276986183074267,0.7263157894736842,-0.4685880829015544,-0.927353195164076,-0.927353195164076,0.5805267702936098,0.4842105263157895,0.834412780656304
13,Breeding,0,0.9462435233160622,0.4606001727115717,0.8275043177892919,0.6197107081174439,0.8736842105263158,-0.020941278065630398,-0.9827288428324699,-0.9827288428324699,0.7197754749568221,-0.7368421052631579,0.834412780656304
13,Total,0,0.9805699481865287,0.5250431778929189,0.9506692573402419,0.7117875647668394,0.9052631578947369,0.08721934369602764,-0.9091105354058723,-0.9091105354058723,0.4969775474956822,0.4631578947368421,0.834412780656304
14,Non-breeding,0,0.9548791018998274,0.8469343696027634,0.9726899827288428,-0.3055915371329879,0.9368421052631579,0.7191278065630397,-0.9159110535405872,-0.9159110535405872,0.3338730569948187,0.7789473684210527,0.8719775474956822
14,Breeding,0,0.9265975820379966,0.7642487046632125,0.8742443868739206,0.6346070811744386,0.6736842105263158,0.4897452504317789,-0.9794905008635578,-0.9794905008635578,0.31509067357512954,-0.6631578947368422,0.8719775474956822
