Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
x,0,141.67462632845437,140.032071167852,1.6425551606023432,,,,,,,,,,,
x,1,140.07606557797217,139.8707112278549,0.2053543501172186,,,,,,,,,,,
x,2,137.49868849587077,139.70935182323316,-2.21066332736244,,,,,,,,,,,
x,3,139.2884958800784,139.54799295529136,-0.2594970752129109,,,,,,,,,,,
x,4,138.98708350076618,139.38663462775386,-0.39955112698764167,,,,,,,,,,,
x,5,138.09558971794823,139.2252768470479,-1.1296871290996633,,,,,,,,,,,
x,6,137.99400954917874,139.06391962172637,-1.0699100725476407,,,,,,,,,,,
x,7,139.86758200344818,138.9025629558199,0.9650190476282898,,,,,,,,,,,
x,8,138.6447246276185,138.74120684852912,-0.09648222091064028,,,,,,,,,,,
x,9,138.93813309595686,138.57985129753982,0.3582817984170535,,,,,,,,,,,
x,10,138.55823681413486,138.41849629995667,0.13974051417820874,,,,,,,,,,,
x,11,137.74398467262313,138.25714185076606,-0.5131571781430061,,,,,,,,,,,
x,12,136.46520214165213,138.0957879456777,-1.6305858040255452,,,,,,,,,,,
x,13,137.54122754497266,137.93443458096462,-0.3932070359919572,,,,,,,,,,,
x,14,135.620063015955,137.77308175549615,-2.1530187395411913,,,,,,,,,,,
x,15,137.2387643191777,137.61172946837326,-0.3729651491955967,,,,,,,,,,,
x,16,137.25494568128443,137.45037771794657,-0.19543203666210304,,,,,,,,,,,
x,17,137.09791897864028,137.28902649932223,-0.19110752068184256,,,,,,,,,,,
x,18,135.9596097687583,137.1276758063137,-1.1680660375553122,,,,,,,,,,,
x,19,134.22804206085007,136.9663256297803,-2.7382835689302567,,,,,,,,,,,
x,20,138.23414006445768,136.80497595782768,1.4291641066300178,,,,,,,,,,,
x,21,133.9774496060921,136.64362678077032,-2.666177174678241,,,,,,,,,,,
x,22,138.4310840169313,136.48227808883559,1.9488059280956918,,,,,,,,,,,
x,23,137.38607556566086,136.32092987510293,1.065145690557863,,,,,,,,,,,
x,24,135.96577855387773,136.15958213237468,-0.193803578496951,,,,,,,,,,,
x,25,134.70720850915532,135.99823485055506,-1.2910263413997471,,,,,,,,,,,
x,26,134.46126221814254,135.83688802010246,-1.3756258019599488,,,,,,,,,,,
x,27,132.84723455373313,135.67554163384295,-2.828307080109734,,,,,,,,,,,
x,28,136.42077211141498,135.51419568475612,0.906576426658863,,,,,,,,,,,
x,29,134.47565900668963,135.35285016563978,-0.8771911589501723,,,,,,,,,,,
x,30,133.26901554524645,135.19150506627489,-1.9224895210284123,,,,,,,,,,,
x,31,132.4448665782326,135.03016037430942,-2.5852937960769227,,,,,,,,,,,
x,32,133.22729568919564,134.868816081777,-1.6415203925812585,,,,,,,,,,,
x,33,134.10259932522283,134.7074721853221,-0.6048728600992304,,,,,,,,,,,
x,34,135.34487754255116,134.546128683989,0.7987488585621655,,,,,,,,,,,
x,35,131.99850102581698,134.38478557694046,-2.3862845511234583,,,,,,,,,,,
x,36,134.74999733887037,134.2234428630225,0.5265544758478136,,,,,,,,,,,
x,37,134.93619840015705,134.062100542622,0.8740978575351059,,,,,,,,,,,
x,38,133.29670570569158,133.90075861801145,-0.6040529123199043,,,,,,,,,,,
x,39,132.91661561926884,133.73941709062385,-0.8228014713549172,,,,,,,,,,,
x,40,133.4529496519916,133.5780759617417,-0.12512630975014416,,,,,,,,,,,
x,41,132.1872187233268,133.41673523409037,-1.2295165107634158,,,,,,,,,,,
x,42,134.01233055058347,133.25539491215207,0.7569356384313701,,,,,,,,,,,
x,43,129.3787218530855,133.0940550039336,-3.7153331508480925,,,,,,,,,,,
x,44,135.5537998887799,132.93271551960413,2.621084369175785,,,,,,,,,,,
x,45,131.87945864297382,132.77137647231,-0.891917829336241,,,,,,,,,,,
