Realisation number,Variable,index,Skewness,Coefficient of variation,Standard deviation,Lag-3 AC,Smax/Var,Lag-1 AC,Kurtosis,Lag-2 AC,Smax/Mean,Variance,Smax
1,x,0,0.7581227436823105,0.9552137288756345,-0.9882802281169886,0.6452152984879402,0.7435897435897434,0.9520745042641134,0.871239470517449,0.8886098467011982,0.6410256410256409,-0.9882802281169886,-0.9743589743589742
2,x,0,0.5177627792601894,0.9633757128655889,-0.9895359179615968,0.5076649400931303,0.9230769230769229,0.9620677026107886,0.8234709360121383,0.9491445612933606,0.8974358974358972,-0.9895359179615968,-0.6666666666666665
3,x,0,0.7685345053105217,0.9541150002616021,-0.9817401768429865,0.7854339978025429,0.769230769230769,0.9618061005598285,0.874797258410506,0.8851566996285252,0.7435897435897434,-0.9817401768429865,-0.564102564102564
4,x,0,0.35384293412860357,0.8665306336001675,-0.989902160832941,0.8281274525192278,0.846153846153846,0.9348610893109403,0.7990373044524669,0.7494375555904359,0.6666666666666665,-0.989902160832941,-0.8717948717948716
5,x,0,0.6108931094019777,0.9697064824988229,-0.9901637628839011,0.7989849840422749,0.6923076923076922,0.9667242191178779,0.6485638047402291,0.9264898236802177,0.6153846153846153,-0.9901637628839011,-0.8974358974358972
6,x,0,0.42766703290953806,0.7071103437450951,-0.9943493956992623,0.8977135980746089,0.9743589743589742,0.9001726573536337,0.04698372835243028,0.8778318422016429,0.0,-0.9943493956992623,-0.9487179487179485
7,x,0,-0.013394025009156074,0.8940511693611679,-0.9873384607335322,0.7856955998535029,0.9230769230769229,0.9330821953644117,0.19787579134620417,0.8863600690629414,0.769230769230769,-0.9873384607335322,-0.2051282051282051
8,x,0,0.7886255428242557,0.9711714539841994,-0.9809553706901062,0.5860932349709622,0.6923076923076922,0.9313033014178832,0.7084183539998953,0.8370219222518704,0.5897435897435896,-0.9809553706901062,-0.9230769230769229
9,x,0,0.30654528331502123,0.9377910322816931,-0.9859258096583478,0.6059749908439283,0.9743589743589742,0.9424998691989745,0.8242034217548266,0.9235598807094648,0.7948717948717947,-0.9859258096583478,-0.769230769230769
10,x,0,0.15481609375817507,0.8959347041280804,-0.9887511118087167,0.7244283995186523,0.8974358974358972,0.9576204677444672,0.7234343117250039,0.8515146758750588,0.7179487179487178,-0.9887511118087167,-0.7948717948717947
