rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Params fold,Params hopf,Params null,Smax,Smax/Var
0.2,-2.220446049250313e-16,55.65259145024213,50.69652954062221,4.956061909619919,2.423154385289226,5.871677174946408,0.7335921945680481,0.48018893487198416,0.25833353424214256,0.04680568701943625,0.056991378551483445,-0.13588790386534147,0.9999999999999671,3.288919557936809e-14,1.3616273858072037e-19,"{'sigma': 1.401634457124996, 'lam': -0.6185699338034656}","{'sigma': 0.6033481855329843, 'mu': -0.18144425851709967, 'w0': 0.5360785347581878, 'delta': 8.27873325448536e-11, 'psi': 0.2}",{'sigma': 1.1279685547269287},0.8712274178986568,0.14837794925375963
0.4,-0.20000000000000018,59.657098372070465,55.43722862704473,4.219869745025733,2.879387561805778,8.290872731081823,0.737587822587151,0.5009320106609295,0.2909881295664897,0.05069023356444495,0.0680412832761674,0.0074091818177075925,0.9999999999999996,5.217106906691327e-16,1.3479089278187111e-20,"{'sigma': 1.6100030636175082, 'lam': -0.5900004305452624}","{'sigma': 0.7025828605008408, 'mu': -0.17953899706975807, 'w0': 0.5304494243026636, 'delta': 3.9528824657963924e-11, 'psi': 0.2}",{'sigma': 1.334546859724284},1.2646695439401423,0.15253756570149687
0.4,-2.220446049250313e-16,116.75169674926781,109.1000225140995,7.651674235168301,3.8647650427050895,14.936408835315273,0.5964079979703797,0.28916350839647903,0.04906755288785858,0.035033175445095606,0.2096675775389015,0.014294061473785409,0.7415659840612849,0.258434015937904,8.110815645465458e-13,"{'sigma': 2.8666511826810854, 'lam': -0.9179013984657312}","{'sigma': 1.129860140303506, 'mu': -0.21180491178602656, 'w0': 0.625800462471475, 'delta': 2.1131258275186582e-05, 'psi': 0.2}",{'sigma': 1.8491258192518247},2.0224722640642967,0.13540552393574107
0.6000000000000001,-0.40000000000000013,63.27687490708882,59.829361064632415,3.4475138424564022,3.612274113988924,13.048524274594465,0.7434119585074686,0.5238542209447113,0.3289437946712007,0.05865582822306945,0.09779182652102376,0.12285997920720994,1.0,1.565693059615312e-17,2.3213034437886057e-21,"{'sigma': 1.940389536173503, 'lam': -0.5615156663776695}","{'sigma': 0.8502022743536854, 'mu': -0.17543822588583868, 'w0': 0.5183336625681586, 'delta': 5.62143664950554e-11, 'psi': 0.2}",{'sigma': 1.6584735057922728},2.0283236524946697,0.15544467786627986
0.6000000000000001,-0.20000000000000018,126.42015836770489,119.32389906304773,7.096259304657153,4.754021272299956,22.60071825748049,0.5954223575456592,0.307440052587562,0.08018134871304959,0.03932526725963464,0.25596879018701935,0.00011967588138078424,0.9899955933379637,0.01000440666194868,8.775522268798544e-14,"{'sigma': 3.4463056617852112, 'lam': -0.8911889403614337}","{'sigma': 1.2654583813647373, 'mu': -0.19399312832185545, 'w0': 0.5731542741478564, 'delta': 1.7679648856017138e-09, 'psi': 0.2}",{'sigma': 2.269014382333692},2.90396615086729,0.12848999389238974
0.6000000000000001,-2.220446049250313e-16,183.21201813565588,173.93739280089358,9.274625334762305,5.331871802248728,28.428856915615103,0.4731691146385936,0.17626521871077078,-0.026124484093972996,0.030396980357674495,0.2782685925836559,0.13812193208249832,0.0001865103723596299,0.9998134896272008,4.39673076390663e-13,"{'sigma': 4.565026266371544, 'lam': -1.1774083360235803}","{'sigma': 1.4522553380665584, 'mu': -0.20658208529027955, 'w0': 0.6103484484642975, 'delta': 5.294464866523185e-10, 'psi': 0.2}",{'sigma': 2.565024670287374},3.740549682037255,0.13157580317563472
0.8,-0.6000000000000001,66.35984889283922,63.71458549006959,2.6452634027696362,4.653025839317581,21.650649461357084,0.7488163843509896,0.5428067694062868,0.3610793338571502,0.07051562895134679,0.13181963126192453,0.20414593599674755,0.999999999999998,1.9626081856763856e-15,1.2455750472799837e-21,"{'sigma': 2.4152829145137535, 'lam': -0.539733171528527}","{'sigma': 0.8707807794320124, 'mu': -0.12343146708517105, 'w0': 0.3646792715395494, 'delta': 7.272848989714475e-11, 'psi': 0.2}",{'sigma': 2.1148656688511815},3.4003380432006325,0.15705478254911878
0.8,-0.40000000000000013,135.43302322177522,128.7697564385171,6.663266783258109,6.143396421935264,37.741319597046996,0.5942313266159925,0.32315661261215456,0.11225689250946086,0.04696224072129693,0.2889211024981005,-0.025606341858091096,0.9999924909981823,7.50900181251224e-06,5.135077645528908e-15,"{'sigma': 4.3382503677901765, 'lam': -0.8644550730351224}","{'sigma': 1.5921371786743856, 'mu': -0.19118988701958606, 'w0': 0.5648720733631205, 'delta': 1.6629386756505937e-10, 'psi': 0.2}",{'sigma': 2.9187850800597577},4.509175615457495,0.11947583347907918
0.8,-0.20000000000000018,198.85129924856196,189.7819409019254,9.069358346636562,6.85507805348672,46.99209511939528,0.4642746441811616,0.18896873664304142,0.003054554092883625,0.035758902885303034,0.3110697768838284,0.07557604403694454,0.9999364599987315,6.35396887776731e-05,3.124908997522727e-10,"{'sigma': 5.795369637339927, 'lam': -1.1643565508636038}","{'sigma': 2.1121774418290453, 'mu': -0.24579436957013567, 'w0': 0.7262356519429493, 'delta': 3.419179476638057e-05, 'psi': 0.2}",{'sigma': 3.2907195604636024},5.7935523875787425,0.1232878077229534
0.8,-2.220446049250313e-16,256.36251494508264,246.13134912410203,10.231165820980607,7.061289256755764,49.86180596757437,0.35043099133001143,0.10293677279805714,-0.04070521307724329,0.028480665711818374,0.29046080870812324,0.16760924440775005,0.8972562933934248,0.10274338156998723,3.250365881304751e-07,"{'sigma': 7.1062366044880925, 'lam': -1.5294090452183184}","{'sigma': 1.872473399088602, 'mu': -0.21534523817704065, 'w0': 0.6362392546647833, 'delta': 3.90481869061432e-10, 'psi': 0.2}",{'sigma': 3.4053938473918564},5.7812320355673785,0.11594509912711488
