Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.1,0.0,8.141016650149457,7.844534935023074,0.2964817151263821,0.23792415995336988,0.05660790588951673,0.8759824150789913,0.7773225872006456,0.6923804731614192,0.030246314267038322,-0.14184752446191098,0.7242218049285959,0.008251069591117058,0.1457582551670593
Breeding,0.1,0.0,8.069527199588551,7.805493036336592,0.26403416325195916,0.24702748802822813,0.061022579841536397,0.8760648940454409,0.7763060648256024,0.6921050870752309,0.03157937802173681,-0.12564392255124607,0.6429296992911137,0.008729669920503723,0.14305638901490159
Non-breeding,0.2,-0.1,8.83908001623588,8.491393049992853,0.3476869662430264,0.25889809266779884,0.06702822238702416,0.8776010453263972,0.7812606372020892,0.6974751701798546,0.030433603158620155,-0.1285995942434787,0.7400731487905279,0.009664953610636528,0.14419230089126672
Breeding,0.2,-0.1,7.922293803503926,7.642093429338998,0.28020037416492816,0.24525780504911152,0.06015139093750799,0.8783388953793428,0.7808595256810583,0.6977960838345225,0.03205534229556585,-0.11147575815104228,0.6235637086660877,0.00853009694595001,0.14181046876891062
Non-breeding,0.2,0.0,16.405926550364885,15.835148082903395,0.5707784674614906,0.33012864407820774,0.10898492164091596,0.7564949347382046,0.5821155913295188,0.44735642425360966,0.020810577566295656,-0.22996735675606764,0.5986733097821233,0.01507399832648475,0.1383126959172447
Breeding,0.2,0.0,16.18679274960249,15.669650471681393,0.5171422779210957,0.3546811358539504,0.12579870813064842,0.7600180747180628,0.5813856262216801,0.44823338360114584,0.022604097835778245,-0.211802161199588,0.47815196781739755,0.017116907730152977,0.13606584665699578
Non-breeding,0.3,-0.2,9.581910041113776,9.174313947067901,0.40759609404587493,0.28646952969503214,0.0820647914436929,0.8791071281668101,0.7849958088359089,0.7022826968362517,0.03119637608887065,-0.11634157648921546,0.6978708057998169,0.01173007911066989,0.14293680522807697
Breeding,0.3,-0.2,7.765153411998813,7.467986661201891,0.29716675079692134,0.2474788469463204,0.06124577968588028,0.8805982765081899,0.7853336964367312,0.7033000488775056,0.03313272593201064,-0.09949639815498688,0.5575594904277764,0.008629760838839078,0.14090376321600817
Non-breeding,0.3,-0.1,17.762139043419605,17.137123490154444,0.6250155532651611,0.3555836066625578,0.1264397013271526,0.7572127621058699,0.585567679921116,0.4510851318111114,0.020721266373852836,-0.22397764687529054,0.6010825654146149,0.017379597774095795,0.13745364463593185
Breeding,0.3,-0.1,15.840189255389065,15.33184694137638,0.508342314012685,0.3519260024684046,0.12385191121339154,0.7631263054547224,0.5870370784051654,0.4540848884269082,0.022934735799601154,-0.20087442785319237,0.43528941324644477,0.016822231213921034,0.13582536635173154
Non-breeding,0.3,0.0,24.674079021629474,23.89785942510475,0.7762195965247258,0.4071642233093479,0.1657827047431045,0.6492122601324137,0.4271694891928143,0.2763798094509929,0.017017003542092003,-0.16883156208692415,0.3594080312446577,0.0192731594412431,0.11625554952254294
