Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Variance,Lag-3 AC,Smax/Var,Standard deviation,Skewness,Smax,Lag-1 AC
1,x,0,0.9221156640511478,0.9264167393199649,0.8027317640220865,-0.9777971519907003,0.4219122348154606,0.6725146198830408,-0.9777971519907003,0.6487067712874163,-0.21637426900584794,0.9504795117698341
2,x,0,0.8972391746585293,0.7640220866027315,0.03655913978494623,-0.9804707933740189,0.42237721592560296,0.005847953216374269,-0.9804707933740189,-0.09072943911653587,-0.9181286549707602,0.8689915722173784
3,x,0,0.8938680616099969,0.8238884045335657,-0.3477477477477477,-0.9715199070037778,0.7648358035454809,0.6491228070175439,-0.9715199070037778,0.2816041848299912,-0.21637426900584794,0.9424585876198778
4,x,0,0.46120313862249335,0.7447253705318221,0.4757337983144434,-0.9875617553036905,0.7103167683812843,0.5672514619883041,-0.9875617553036905,-0.3062481836675384,-0.6257309941520467,0.8815460621912233
5,x,0,0.7508863702412087,0.8642255158384189,-0.16280151118860794,-0.971752397558849,0.8286544609125253,0.7192982456140351,-0.971752397558849,0.5381575123510607,-0.47368421052631576,0.9331589654170298
