Realisation number,Variable,index,Skewness,Coefficient of variation,Standard deviation,Lag-3 AC,Smax/Var,Lag-1 AC,Kurtosis,Lag-2 AC,Smax/Mean,Variance,Smax
1,x,0,0.7511073508186931,0.9503807296073259,-0.9891006818294927,0.5793559946249938,0.6923076923076924,0.953167769870104,0.8814512516796894,0.8767232369481909,0.5604395604395604,-0.9891006818294927,-0.9780219780219781
2,x,0,0.42218683123475836,0.9620763449957696,-0.9904942019608819,0.41536853630617626,0.9340659340659341,0.9645150052257004,0.8279998009256955,0.9453541034191011,0.8901098901098902,-0.9904942019608819,-0.6703296703296704
3,x,0,0.7330911262628775,0.9362464539889513,-0.9833772955755735,0.7402080326481858,0.7142857142857144,0.9651122281391529,0.8659732245060467,0.8648285472552629,0.6263736263736264,-0.9833772955755735,-0.5164835164835165
4,x,0,0.295824416463445,0.8425819937291594,-0.9908425819937292,0.8305877668839894,0.9120879120879122,0.9378390484248246,0.7203006021997711,0.702732294829045,0.6483516483516484,-0.9908425819937292,-0.8681318681318682
5,x,0,0.6525655700990394,0.9682974170108993,-0.9899467476235504,0.7388145125167969,0.5824175824175825,0.9700393171751356,0.6763051809087741,0.9038968795102772,0.4065934065934066,-0.9899467476235504,-0.9120879120879122
