Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
x,0,16.833114608624946,1.7201745989568107,15.31196092996292,,,,,,,,,,,
x,1,8.224706219311484,1.7125865182867002,9.50603849792217,,,,,,,,,,,
x,2,27.769217860606805,1.7050128452862083,27.522973823358054,,,,,,,,,,,
x,3,23.971408355715308,1.697453665520447,23.574781748993935,,,,,,,,,,,
x,4,15.913933301621396,1.6899090607860443,14.361972790866838,,,,,,,,,,,
x,5,23.054347840289125,1.6823791126146945,23.147215988534157,,,,,,,,,,,
x,6,24.511640029675164,1.6748638758288017,25.164249822965413,,,,,,,,,,,
x,7,14.978887744842531,1.6673633763102984,13.549274280449755,,,,,,,,,,,
x,8,14.361403613238885,1.659877639681065,15.002213778364963,,,,,,,,,,,
x,9,14.342980796889675,1.6524066849921604,14.087685411037345,,,,,,,,,,,
x,10,10.786427140894629,1.6449505485035638,9.652034966357753,,,,,,,,,,,
x,11,9.250993017374055,1.6375092510444234,10.849521578876923,,,,,,,,,,,
x,12,6.905160307114757,1.6300827980175314,5.962018894830971,,,,,,,,,,,
x,13,17.384053249871805,1.622671213576021,17.310286537872496,,,,,,,,,,,
x,14,22.902720392171958,1.6152745135526214,22.688702340924962,,,,,,,,,,,
x,15,11.902835191256525,1.6078926911282452,12.219082161604463,,,,,,,,,,,
x,16,14.50784658038059,1.600525726709587,13.924392188723798,,,,,,,,,,,
x,17,19.16273594762896,1.5931736023441185,19.734541713249442,,,,,,,,,,,
x,18,20.09379638905753,1.5858362931785965,19.552699739792736,,,,,,,,,,,
x,19,16.574104346226438,1.5785137798972124,16.190589204079142,,,,,,,,,,,
x,20,15.306180970282133,1.5712060342953191,13.985303991663402,,,,,,,,,,,
x,21,13.610457104267047,1.5639130022377805,15.096378138599674,,,,,,,,,,,
x,22,19.2264410979463,1.5566346116401069,18.25811695124244,,,,,,,,,,,
x,23,17.588371842714263,1.5493707994146508,17.925670018000712,,,,,,,,,,,
x,24,16.068543622927088,1.542121484816353,15.751647333966448,,,,,,,,,,,
x,25,13.140098800038826,1.534886575945262,14.237657297762869,,,,,,,,,,,
x,26,6.460478052804881,1.527665979385306,5.919848707015838,,,,,,,,,,,
x,27,17.40067229312916,1.5204596112151187,18.214073792686275,,,,,,,,,,,
x,28,17.362427286867334,1.5132673873446691,16.690720325507908,,,,,,,,,,,
x,29,22.291323614180598,1.5060892237620827,22.318692490005393,,,,,,,,,,,
x,30,29.4178961518514,1.4989250133232468,29.450186909307025,,,,,,,,,,,
x,31,17.444057585359005,1.4917746280300686,17.938545997727548,,,,,,,,,,,
x,32,16.346125597573042,1.4846379223111457,15.646585037354884,,,,,,,,,,,
x,33,17.343883698825028,1.4775147408668525,18.215404610723997,,,,,,,,,,,
x,34,8.771020708648146,1.4704049345305779,7.518614674201012,,,,,,,,,,,
x,35,8.277461394561062,1.4633083739354558,8.371417719922622,,,,,,,,,,,
x,36,14.45011171862223,1.4562249118434878,14.372496348590591,,,,,,,,,,,
x,37,16.451089130027068,1.4491543931111541,15.813292062999233,,,,,,,,,,,
x,38,18.67482311166902,1.4420966488827087,19.26040648947329,,,,,,,,,,,
x,39,15.65934820979768,1.4350514973020407,16.34132103424249,,,,,,,,,,,
x,40,18.0211072556476,1.4280187594135563,19.3878327074579,,,,,,,,,,,
x,41,15.702709387584582,1.4209982755191641,15.131297182525973,,,,,,,,,,,
x,42,12.590548334822794,1.413989906862239,12.78528361125009,,,,,,,,,,,
x,43,19.023724921432546,1.4069935155525553,20.006079796617975,,,,,,,,,,,
x,44,13.948468437261788,1.400008972506273,12.810865575577074,,,,,,,,,,,
x,45,7.482959069056807,1.393036162753927,8.437268189246774,,,,,,,,,,,
x,46,16.006682196282497,1.3860749609135656,16.378999155065603,,,,,,,,,,,
x,47,7.154785505447432,1.3791252432403323,6.232436517844033,,,,,,,,,,,
x,48,15.497066417565227,1.3721868982738656,16.125046067433924,,,,,,,,,,,
x,49,14.423602433976713,1.3652598075882365,13.852186283629353,,,,,,,,,,,
x,50,12.266083541165454,1.3583438547126878,12.545208766969992,,,,,,,,,,,
x,51,10.111560452890972,1.3514389293888138,9.986744687137318,,,,,,,,,,,
x,52,14.550333684759872,1.344544931837601,15.393432617336348,,,,,,,,,,,
x,53,13.506987579406578,1.337661767528676,13.958101938407479,,,,,,,,,,,
x,54,9.584424420721957,1.330789347574116,10.166894484589463,,,,,,,,,,,
x,55,7.07809173229097,1.3239275972071929,6.508316118994308,,,,,,,,,,,
x,56,13.768451923740205,1.3170764596122337,13.438428007015045,,,,,,,,,,,
x,57,13.475493625311207,1.3102358822569509,13.722883934099976,,,,,,,,,,,
x,58,14.705846271021015,1.3034058162474527,14.240354282668456,,,,,,,,,,,
x,59,7.8204543925076955,1.2965862203161511,7.759971880473435,,,,,,,,,,,
x,60,15.706431943685716,1.2897770567280447,15.282192819805996,,,,,,,,,,,
x,61,11.317698634269703,1.2829782875020759,10.578343827692484,,,,,,,,,,,
x,62,8.205845573418781,1.2761898779615652,7.640370165057361,,,,,,,,,,,
x,63,9.073936512521886,1.2694117786158277,9.719053527349269,,,,,,,,,,,
x,64,12.32460221611608,1.2626439273300996,12.229043660376002,,,,,,,,,,,
x,65,16.779104953019708,1.2558862757894256,17.69784328764317,,,,,,,,,,,
x,66,14.245385006147366,1.2491387937976657,13.563579906917985,,,,,,,,,,,
x,67,11.86276425303759,1.242401472342096,11.460999339299342,,,,,,,,,,,
x,68,4.731292924092358,1.2356742960438767,5.100143453638638,,,,,,,,,,,
x,69,14.210368587046485,1.2289572452863535,13.61483045819376,,,,,,,,,,,
x,70,22.63363709092383,1.2222502960438526,23.466826313685438,,,,,,,,,,,
x,71,21.423336718728258,1.2155534105224446,20.924225040946645,,,,,,,,,,,
x,72,13.105575894199463,1.2088665479023346,12.824203599802393,,,,,,,,,,,
x,73,15.584693811859955,1.202189664895669,16.560398597153185,,,,,,,,,,,
x,74,14.507623813529191,1.1955227232444123,14.87806422609697,,,,,,,,,,,
x,75,13.791104229614831,1.188865697755314,13.286463543899695,,,,,,,,,,,
x,76,22.487531346083887,1.1822185585978018,22.719278572990873,,,,,,,,,,,
x,77,16.686718926431517,1.1755812649035116,17.359517585370636,,,,,,,,,,,
x,78,12.729274073720537,1.168953775876651,12.144961794339501,,,,,,,,,,,
x,79,11.514107699960517,1.162336054360353,12.2826152270694,,,,,,,,,,,
x,80,12.65308963830673,1.1557280491802002,11.581467827419162,,,,,,,,,,,
x,81,5.587651238756766,1.149129714642446,6.152013863063739,,,,,,,,,,,
x,82,11.811099676854361,1.1425409946963605,11.147428122638699,,,,,,,,,,,
x,83,12.246795729224099,1.1359618308738475,12.54470637926346,,,,,,,,,,,
x,84,22.73266425005692,1.1293921546080559,22.51804881955879,,,,,,,,,,,
x,85,20.014440757425817,1.1228319008832501,20.2166652341544,,,,,,,,,,,
x,86,9.23523680013313,1.1162810086156134,9.602519670136314,,,,,,,,,,,
x,87,17.720780674307672,1.1097394217956087,17.15475810821783,,,,,,,,,,,
x,88,18.901499185873703,1.1032070949566586,19.441431949333406,,,,,,,,,,,
x,89,12.654350935043425,1.096683988492243,11.721339154339221,,,,,,,,,,,
x,90,13.44407645985227,1.0901700715629894,13.260815184617822,,,,,,,,,,,
x,91,11.278790524782538,1.0836652993559373,11.649663192504269,,,,,,,,,,,
x,92,17.549227481267646,1.0771696292265658,17.417793316647497,,,,,,,,,,,
x,93,10.425007068304902,1.0706830254292259,10.91913005072283,,,,,,,,,,,
x,94,11.458157310855277,1.0642054541241468,10.74379403820829,,,,,,,,,,,
x,95,11.662274711613396,1.0577368931786775,12.096887073395651,,,,,,,,,,,
x,96,16.282458147972076,1.051277312569271,15.655922096502795,,,,,,,,,,,
x,97,19.990274615700798,1.0448266853234554,20.442768636068262,,,,,,,,,,,
x,98,15.463201273227368,1.0383849745652551,14.92170479414549,,,,,,,,,,,
x,99,10.393695457256118,1.0319521481124858,10.647617217169529,,,,,,,,,,,
x,100,16.605598233299155,1.0255281601600823,16.256697028909173,,,,,,,,,,,
x,101,9.022515698714408,1.0191129590651085,9.600489775722027,,,,,,,,,,,
x,102,9.872552286736644,1.0127064840774604,9.886514433434535,,,,,,,,,,,
x,103,15.900781248930086,1.0063086894988427,16.17889638713431,,,,,,,,,,,
x,104,15.087264371531289,0.9999195430310441,14.630003706371046,,,,,,,,,,,
x,105,13.632897094545635,0.9935390211009683,14.200986523900866,,,,,,,,,,,
x,106,15.089453969768124,0.9871671066566163,14.893437597371214,,,,,,,,,,,
x,107,11.195354044935879,0.9808038035756385,10.718864422610432,,,,,,,,,,,
x,108,11.940107009828626,0.9744491123123128,11.851677775170216,,,,,,,,,,,
x,109,13.823430409337504,0.9681030235056395,13.528233947835119,,,,,,,,,,,
x,110,19.805693591211938,0.961765529067058,19.624394991264662,,,,,,,,,,,
x,111,15.875550455759035,0.9554366156551911,16.243309109785454,,,,,,,,,,,
x,112,11.549937266704747,0.9491162641595579,11.65390759544643,,,,,,,,,,,
x,113,11.9555657319601,0.942804468573271,11.712623440952367,,,,,,,,,,,
x,114,8.002543104059663,0.9365012346714274,8.471942756620638,,,,,,,,,,,
x,115,17.139216467066102,0.9302065618419597,16.901217406866706,,,,,,,,,,,
x,116,12.54998943297204,0.9239204414874969,11.904439924986166,,,,,,,,,,,
x,117,17.548855814190233,0.9176428513840293,17.850261141202907,,,,,,,,,,,
x,118,15.044827282439035,0.9113737540231592,15.7384632885475,,,,,,,,,,,
x,119,8.674889660770262,0.9051131321427831,8.012060694174773,,,,,,,,,,,
x,120,24.304789857101852,0.8988609908303136,24.221179787501548,,,,,,,,,,,
x,121,16.345531712174903,0.8926173312196497,16.134761395055786,,,,,,,,,,,
x,122,13.205506494519163,0.8863821565939314,13.417164867430134,,,,,,,,,,,
x,123,16.680959298846606,0.8801554672513512,15.836111774746529,,,,,,,,,,,
x,124,10.89366052075743,0.8739372620972045,11.295873845702529,,,,,,,,,,,
x,125,6.25449324068845,0.8677275300399943,6.133208201698746,,,,,,,,,,,
x,126,12.473037916498987,0.8615262749511965,12.453561021016233,,,,,,,,,,,
x,127,15.012811547369491,0.8553335131485593,14.394117512502518,,,,,,,,,,,
x,128,14.386408500497895,0.8491492715427086,14.479799249498837,,,,,,,,,,,
x,129,6.201264974718792,0.8429735654630017,6.4048626412270435,,,,,,,,,,,
x,130,11.71191459129492,0.8368064015280433,11.475715674047203,,,,,,,,,,,
x,131,12.433774034277809,0.8306477922084657,12.747943968305849,,,,,,,,,,,
x,132,6.529300943639522,0.8244977450012395,6.748761487162571,,,,,,,,,,,
x,133,7.072211628466862,0.8183562781461632,7.380671108057629,,,,,,,,,,,
x,134,17.74144196719868,0.8122234284504168,17.413129821761288,,,,,,,,,,,
x,135,3.9018469216096854,0.806099250219093,3.742357100116803,,,,,,,,,,,
x,136,8.572202944353391,0.7999838059883119,8.761195403312803,,,,,,,,,,,
x,137,16.945085298655385,0.7938771672544855,16.88754872513257,,,,,,,,,,,
x,138,12.026069811339084,0.7877794183430673,11.996110264877117,,,,,,,,,,,
x,139,15.769269275650412,0.7816906389480109,15.851505377865506,,,,,,,,,,,
x,140,4.183261928007058,0.7756109017912409,4.430438924116261,,,,,,,,,,,
x,141,12.809911550948273,0.7695402908398269,13.281528384665858,,,,,,,,,,,
x,142,14.21610688454132,0.7634789110681076,13.763413339995616,,,,,,,,,,,
x,143,13.389237155472234,0.757426897289634,13.253958703103406,,,,,,,,,,,
x,144,18.345999974963963,0.751384409194284,18.68249138679936,,,,,,,,,,,
x,145,14.305925204826572,0.7453516155383365,13.983433932127195,,,,,,,,,,,
x,146,5.451477308629195,0.739328707279693,5.959275650050729,,,,,,,,,,,
x,147,10.889056804687183,0.733315885051568,10.318105672787135,,,,,,,,,,,
x,148,7.074619371655532,0.7273133769670178,7.384879304383832,,,,,,,,,,,
x,149,9.731141991790299,0.7213214321016563,9.979761261956252,,,,,,,,,,,
x,150,13.676623685588021,0.7153403343580694,13.13135733705589,,,,,,,,,,,
x,151,9.843473762873213,0.7093704110688034,9.46235811805611,,,,,,,,,,,
x,152,18.861531175386034,0.7034120145505824,19.285740945377263,,,,,,,,,,,
x,153,9.414623238400093,0.6974655050086108,9.743847723030141,,,,,,,,,,,
x,154,14.038638227506578,0.6915312758223895,13.541687406381675,,,,,,,,,,,
x,155,22.37639896547767,0.6856097635425153,22.671065281634412,,,,,,,,,,,
x,156,11.862092185053369,0.6797014311202453,11.408924719634886,,,,,,,,,,,
