,rb,rnb,x_equi,y_equi
0,0.0,-1.0,4.287196454002106e-172,1.577171435690484e-172
1,0.0,-0.95,1.946170845424708e-163,7.526641045768635e-164
2,0.0,-0.8999999999999999,8.819901616566956e-155,3.585904399193188e-155
3,0.0,-0.8499999999999999,3.989487571454989e-146,1.705166558863725e-146
4,0.0,-0.7999999999999998,1.8005915593955286e-137,8.090579401814057e-138
5,0.0,-0.7499999999999998,8.105970538455772e-129,3.8289893598705806e-129
6,0.0,-0.6999999999999997,3.638299871253094e-120,1.806726246850464e-120
7,0.0,-0.6499999999999997,1.627277139419811e-111,8.495131582538597e-112
8,0.0,-0.5999999999999996,7.247670888503629e-103,3.977606118190724e-103
9,0.0,-0.5499999999999996,3.21166050606038e-94,1.8529669199780349e-94
10,0.0,-0.49999999999999956,1.4143530698382825e-85,8.578485005156021e-86
11,0.0,-0.4499999999999995,6.1804034887144505e-77,3.940799252785756e-77
12,0.0,-0.39999999999999947,2.674167725585284e-68,1.7925482329213492e-68
13,0.0,-0.3499999999999994,1.142258953352082e-59,8.049362798017762e-60
14,0.0,-0.2999999999999994,4.795089241566761e-51,3.552289479947538e-51
15,0.0,-0.24999999999999933,1.9643466423428313e-42,1.529834703280283e-42
16,0.0,-0.1999999999999993,7.759179472523822e-34,6.352678852806652e-34
17,0.0,-0.14999999999999925,2.888583119434598e-25,2.4862265314641354e-25
18,0.0,-0.0999999999999992,9.623129922860544e-17,8.707368032825724e-17
19,0.0,-0.049999999999999156,2.4271480592049283e-08,2.308774651423456e-08
20,0.0,8.881784197001252e-16,0.6215300916411071,0.6207579723262885
21,0.05,-1.0,2.012976907515855e-163,7.40532819827951e-164
22,0.05,-0.95,9.121103675483806e-155,3.52750497049122e-155
23,0.05,-0.8999999999999999,4.124965991101437e-146,1.6770860194436548e-146
24,0.05,-0.8499999999999999,1.8613634341143876e-137,7.955745255238492e-138
25,0.05,-0.7999999999999998,8.377723778837571e-129,3.764353947205302e-129
26,0.05,-0.7499999999999998,3.7593780821594646e-120,1.775804465119794e-120
27,0.05,-0.6999999999999997,1.6809932228117366e-111,8.34756530221267e-112
