Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
1,Non-breeding,0,0.8004255922825934,0.9715136898850901,-0.9904667328699107,-0.7948717948717947,0.4871794871794871,0.8022981983260038,-0.9904667328699107,-0.08327422329408428,0.16033479926230673,0.12820512820512817,0.407405305717123,-0.3029253444889269
1,Breeding,0,0.6627606752730885,0.8441764789331822,-0.9855866080295079,-0.8717948717948716,0.9230769230769229,0.5314512696836431,-0.9855866080295079,-0.7208114626188112,-0.27518796992481204,0.5897435897435896,0.625762519506313,-0.3029253444889269
2,Non-breeding,0,0.8894027521634275,0.9658391261171798,-0.9897290395800824,-0.564102564102564,0.12820512820512817,0.8861682508157186,-0.9897290395800824,0.23382040005674568,0.6826216484607747,-0.15384615384615383,0.24857426585331255,0.23114869626497533
2,Breeding,0,0.7812455667470564,0.9545467442190383,-0.9936444885799406,-0.9999999999999998,0.6923076923076922,0.700950489431125,-0.9936444885799406,0.034075755426301604,0.6210526315789474,-0.3589743589743589,0.608738828202582,0.23114869626497533
3,Non-breeding,0,0.890707901830047,0.9732728046531424,-0.9926798127393958,-0.9487179487179485,0.025641025641025637,0.738232373386296,-0.9926798127393958,-0.15545467442190383,0.6089658107532984,-0.3846153846153845,0.2324585047524472,0.31471068927773527
3,Breeding,0,0.8688040856859129,0.9602780536246277,-0.9935877429422614,-0.9230769230769229,0.3589743589743589,0.362916725776706,-0.9935877429422614,-0.10001418640941978,0.19313377784082852,-0.2051282051282051,0.7101432827351398,0.31471068927773527
4,Non-breeding,0,0.7989502057029366,0.9825790892325152,-0.98672152078309,-0.33333333333333326,0.8717948717948716,0.8032628741665485,-0.98672152078309,-0.12566321464037453,0.4173357923109661,0.7179487179487178,0.6044829053766492,-0.012789947970551632
4,Breeding,0,0.8312952191800257,0.9662363455809335,-0.993360760391545,-0.846153846153846,0.7179487179487178,0.2822811746347,-0.993360760391545,-0.18740246843523908,0.6826216484607747,0.46153846153846145,0.44712725209249543,-0.012789947970551632
5,Non-breeding,0,0.8370265285856151,0.9468293374946801,-0.981330685203575,-0.8205128205128204,0.769230769230769,0.4773726769754576,-0.981330685203575,0.4012200312101008,-0.6083983543765074,0.4102564102564102,0.13383458646616542,0.06774324141963924
5,Breeding,0,0.7160448290537665,0.9554546744219039,-0.9923960845510001,-0.9743589743589742,0.30769230769230765,0.27938714711306567,-0.9923960845510001,0.6734288551567599,0.6113491275358208,-0.07692307692307691,0.18405447581217196,0.06774324141963924
6,Non-breeding,0,0.9421761952049937,0.9787203858703363,-0.9859838274932615,-0.769230769230769,0.5897435897435896,0.553355085827777,-0.9859838274932615,-0.07181160448290538,0.4626188111788907,0.4358974358974358,0.6859128954461626,0.28805121976819154
6,Breeding,0,0.9443325294367997,0.9431976166832176,-0.9931905234785077,-0.9743589743589742,0.8717948717948716,0.2315505745495815,-0.9931905234785077,-0.04780819974464463,0.9144843240175913,0.4358974358974358,0.4983118172790468,0.28805121976819154
7,Non-breeding,0,0.9165271669740389,0.9639665200737695,-0.9890480919279332,-0.8717948717948716,0.6153846153846153,0.8762377642218756,-0.9890480919279332,0.3781813023123848,0.8624485742658534,0.5128205128205127,0.7732444318343028,0.17694510668286026
7,Breeding,0,0.9016030642644348,0.9529578663640234,-0.9876861966236347,-0.8717948717948716,0.8974358974358972,0.35502908213931056,-0.9876861966236347,-0.4067811037026529,0.19863810469570156,0.769230769230769,0.8277202440062421,0.17694510668286026
