Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.1,0.0,9.242948005959134,8.909651920583611,0.33329608537552247,0.26641068549377533,0.07097465334526326,0.8754335482799673,0.7763202554359331,0.6909445990509112,0.029819355678022547,-0.1532082895017132,0.7135453507278673,0.010352612955696847,0.1458635226485085
Breeding,0.1,0.0,9.156771546100236,8.858709018868138,0.2980625272320978,0.2763340117980361,0.07636048607639717,0.8743079886381456,0.7742425444218463,0.6898489684156281,0.031125420555419236,-0.13619607217419005,0.636203534871668,0.010922641052690812,0.1430404861719047
Non-breeding,0.2,-0.1,10.14602714991002,9.752513229201707,0.3935139207083136,0.2926983891986689,0.08567234703949547,0.8770893384896329,0.7803461017142247,0.6961455969189524,0.029957476730881588,-0.138909725889236,0.7334825822843186,0.012361476675504334,0.1442878256831883
Breeding,0.2,-0.1,9.087720615262166,8.769405967694517,0.3183146475676484,0.27703479080373034,0.07674827531566662,0.8762802700145027,0.7786129598247583,0.6953997896206827,0.03155287739078771,-0.1206596011208393,0.6191959288244845,0.010878644226954259,0.14174447806429863
Non-breeding,0.2,0.0,18.64562664430239,18.00579807866087,0.639828565641519,0.3700065436902017,0.13690484237356915,0.7565436561620158,0.5817737041525758,0.44661294071304314,0.02051216025310174,-0.23392736497293296,0.5877808145663569,0.01897680112368742,0.13861307456098487
Breeding,0.2,0.0,18.37141186882275,17.791366107386565,0.5800457614361854,0.3973600803682798,0.1578950334702858,0.7553139966667108,0.5777357879850936,0.4450207860972939,0.022303238703623704,-0.21300147326792215,0.4712959348663613,0.02142310204267355,0.13567939137683616
Non-breeding,0.3,-0.2,11.128114026616746,10.663171911108265,0.46494211550848163,0.3272485293483355,0.10709159996064839,0.8786233706548411,0.7841494135114606,0.7010263130007863,0.03066027913903986,-0.12515799262276803,0.6933061247984718,0.015322378423391644,0.1430773135243284
Breeding,0.3,-0.2,9.011124835614275,8.671061779472348,0.34006305614192733,0.28249341548428863,0.07980252979197894,0.8782090778788784,0.7828695396046399,0.7007089093094278,0.032571127520451,-0.1069207095527879,0.5531511220187064,0.011239217040556948,0.14083785401107193
Non-breeding,0.3,-0.1,20.4150581932563,19.70884116532546,0.7062170279308404,0.40184782432888383,0.16148167391785748,0.7573212081342551,0.5853118568757418,0.4504313790633323,0.020361004975149366,-0.227838678878832,0.5958095386649465,0.022243858640562313,0.13774850173944397
Breeding,0.3,-0.1,18.176470386102746,17.60188330989205,0.5745870762106975,0.397866249813509,0.15829755274066554,0.7571922086772547,0.5826184979562392,0.4502757933419972,0.022583584557012364,-0.20106390143491823,0.43150556961520026,0.021411082413467886,0.13525845499674316
Non-breeding,0.3,0.0,28.07368182641735,27.20761457342731,0.8660672529900388,0.455410822533831,0.2073990172809405,0.6502824829253678,0.4278386595274894,0.2766959805424289,0.0167176637807026,-0.16958730307813347,0.3557200705880617,0.02430584522338338,0.11719363737610647
