Realisation number,Variable,index,Lag-2 AC,Kurtosis,Standard deviation,Smax/Var,Variance,Lag-3 AC,Coefficient of variation,Smax,Lag-1 AC,Skewness,Cross correlation
1,Non-breeding,0,0.8499273467015401,0.3335658238884045,-0.7347282766637604,0.49707602339181284,-0.7347282766637604,0.8653879686137749,0.9667538506248182,0.12280701754385964,0.9294391165358906,0.19883754722464397,0.8891020052310372
1,Breeding,0,0.887474571345539,0.5900029061319382,-0.907817494914269,0.40350877192982454,-0.907817494914269,0.8914269107817493,0.9615228131357162,-0.4269005847953216,0.9424585876198778,0.01702993315896541,0.8891020052310372
1,Total,0,0.8701540249927345,0.43644289450741053,-0.8229584423132809,0.47368421052631576,-0.8229584423132809,0.8875908166230746,0.9718686428363845,-0.04093567251461988,0.958965417029933,0.22731764022086598,0.8891020052310372
2,Non-breeding,0,0.8645742516710258,-0.6531240918337692,-0.7270560883464108,0.04093567251461988,-0.7270560883464108,0.5021214763150247,0.9621040395233942,-0.7076023391812866,0.9557105492589362,-0.3467015402499273,0.81505376344086
2,Breeding,0,0.935716361522813,-0.6020924149956407,-0.9108398721301945,0.3333333333333333,-0.9108398721301945,0.49142691078174944,0.6983435047951175,-0.7309941520467835,0.945597210113339,-0.1325777390293519,0.81505376344086
2,Total,0,0.9321127579192094,-0.6461493751816332,-0.7768090671316477,0.08771929824561403,-0.7768090671316477,0.5714036617262422,0.8781749491426909,-0.6725146198830408,0.960127869805289,-0.6004649811101423,0.81505376344086
3,Non-breeding,0,0.8893344957861085,0.8364428945074105,-0.8394652717233361,0.5087719298245613,-0.8394652717233361,0.41040395233943616,0.9893054344667246,-0.20467836257309938,0.8941005521650681,0.37611159546643413,0.9144434757337981
3,Breeding,0,0.6490555071200231,0.7331008427782619,-0.9571054925893634,0.7660818713450293,-0.9571054925893634,0.17384481255448994,0.8799186283057249,-0.6023391812865496,0.9353676256902062,0.6490555071200231,0.9144434757337981
3,Total,0,0.7851787271142109,0.8815460621912233,-0.8858471374600405,0.7309941520467835,-0.8858471374600405,0.3657657657657657,0.9776809067131645,-0.15789473684210525,0.9139784946236558,0.8022667829119441,0.9144434757337981
