Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,0.1,0.0,9.56981713022702,9.402808257831868,0.1670088723951526,0.5159124429595742,0.26616564880051585,0.8572123613358478,0.7290692779484879,0.6060873020831838,0.055065065096713744,0.16179180364694254,-0.2900372478260349,0.04975454760953827,0.1869307622293063,0.005310469713155277
Breeding,0.1,0.0,9.561185514196252,9.34492942116827,0.21625609302798132,0.5382901839754222,0.2897563221642938,0.8615460544018279,0.7328417331608433,0.6255580252726128,0.057824904468798816,0.18614372319933958,-0.2553112685301936,0.05532880389295876,0.1909494277111474,0.005943602344473228
Non-breeding,0.2,-0.1,10.550240883531846,10.338329285116506,0.21191159841533924,0.5759300432880137,0.33169541476173325,0.8609953382451851,0.7374937221771516,0.6176735754328603,0.05597312649298477,0.15664103482703257,-0.3127366875903122,0.062185860352624314,0.1874788061128137,0.006043680249290042
Breeding,0.2,-0.1,9.536034333788212,9.294269045785004,0.24176528800320796,0.5484682291353259,0.3008173983708403,0.8653110936406302,0.7413687871979384,0.6366678321621383,0.059328378284658215,0.17887861662670979,-0.27068622978281864,0.0573610675644829,0.1906840092200039,0.006204806285028789
Non-breeding,0.2,0.0,18.788386746663438,18.946058303936248,-0.1576715572728098,0.767101322479953,0.5884444389504929,0.7606542689809354,0.5668370344818291,0.3974184935968848,0.04052986339754547,0.06756158450074815,-0.36892948379743895,0.10105048366816258,0.17172476614510782,0.005339010870279865
Breeding,0.2,0.0,18.646605302683255,18.71946765084876,-0.07286234816550419,0.8333894443595071,0.6945379659698481,0.7705441628229861,0.5779180639590623,0.4315323779306444,0.04460006806988474,0.09486232874684365,-0.28788377825962,0.12400715854412128,0.17854626330032014,0.006636426402630263
Non-breeding,0.3,-0.2,11.623876699427296,11.360470745378207,0.2634059540490892,0.6549523943052136,0.428962638806132,0.8648868033103361,0.7461071336933253,0.6299227145707711,0.05800580275675054,0.1447952535504767,-0.3381615057429206,0.08032252310135725,0.1872482958537065,0.007113757385198064
Breeding,0.3,-0.2,9.504893480600357,9.23758891639814,0.2673045642022167,0.5685688741315592,0.3232705646312288,0.8689227872611991,0.7496922161859698,0.6474744720399966,0.06198315454151577,0.16467641459524718,-0.2913197724020743,0.06128153833275501,0.18956733163337028,0.006680673589145635
Non-breeding,0.3,-0.1,20.702987727392124,20.83411060040928,-0.13112287301715497,0.8458999606585927,0.7155467434422088,0.7647488112222416,0.5764135947811446,0.4096429527389666,0.04066912251421553,0.06247971490989965,-0.36551835057908816,0.12399119732562962,0.1732817575678671,0.005961240606742994
Breeding,0.3,-0.1,18.57630073422881,18.60610691493573,-0.029806180706920316,0.8472749919701478,0.7178749120180139,0.7745701402504334,0.587732770175588,0.4437943011342572,0.04565768358358543,0.0902991163815261,-0.27408454875638394,0.12856084231858392,0.17908529768394787,0.006927845522942019
Non-breeding,0.3,0.0,27.94713972358041,28.592874870957058,-0.6457351473766479,0.9535613447250765,0.9092792381538961,0.6683049431361092,0.43030221873193286,0.24347091531179296,0.03335252961986629,0.07595870784568665,-0.39066313061534214,0.12346082370731326,0.13577877787903195,0.0043182652090185646
Breeding,0.3,0.0,27.560544104868466,28.06694025141324,-0.5063961465447733,1.0760545791673826,1.157893457347093,0.681952328585642,0.4460092587533693,0.287352446555444,0.03836996607886061,0.10737902392023604,-0.28161115691284605,0.1669419066424575,0.14417726050974186,0.005952816352464044
Non-breeding,0.4,-0.3,12.798464365939857,12.474684424931647,0.32377994100821006,0.7568520319625044,0.5728249982857717,0.8686063676103445,0.7542785589131666,0.6418596581827155,0.06113592264802118,0.127521846282564,-0.36081614919172544,0.10675693546469209,0.18636919789494424,0.008623460693876484
Breeding,0.4,-0.3,9.467565633039706,9.174376056700579,0.29318957633912746,0.5979318534169953,0.3575225013306831,0.8721786835131847,0.7572971461996456,0.6573227517145148,0.06575374678298206,0.1462945490001712,-0.31206596888527194,0.06715402283672893,0.18783159825405282,0.007384835893640585
Non-breeding,0.4,-0.2,22.79579284239462,22.89913131077329,-0.10333846837867,0.9512138886160324,0.9048078618960337,0.7690697228563457,0.5864807251707364,0.42320115569035244,0.04164160629519519,0.05710905161742071,-0.3663475254607296,0.1577109509544125,0.17430325000042293,0.006904164674928815
Breeding,0.4,-0.2,18.491214682363953,18.481663852749456,0.009550829614497047,0.876654126918642,0.7685224582434864,0.7782644745298916,0.5971039926195953,0.4554916813813508,0.0476047534386188,0.08531645252710905,-0.2697313286234403,0.13748092139378482,0.17888992041690935,0.007465595797135448
Non-breeding,0.4,-0.1,30.81818149673706,31.454104123997634,-0.6359226272605731,1.0389505105592935,1.0794181633914166,0.6722481389173599,0.4401337366339835,0.2548878209612622,0.033047135798797034,0.07524663787830901,-0.3741832254472881,0.14861029599874187,0.13767629732283196,0.00472702461094711
Breeding,0.4,-0.1,27.459421114564215,27.886264041483553,-0.42684292691933834,1.0933485094828954,1.1954109631884688,0.6858934243949288,0.45658084134160076,0.3001467304518943,0.03925877799280973,0.10855514260092868,-0.2513996225572133,0.1735342945926444,0.1451670596443116,0.006231082117424379
Non-breeding,0.4,0.0,37.15728725593395,38.36369319877951,-1.2064059428455565,1.1035022629281088,1.2177172442874569,0.577065301072979,0.3125669552451929,0.12861977249229628,0.02875932713631273,0.09560056032396094,-0.3589295376855591,0.13912047302457445,0.11424694335012092,0.0036257390034305404
