Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var
0.0,0.0471470309213084,0.1689579568129041,-0.1218109258915957,0.16479812103093722,0.027158420695327434,0.640848936602241,0.5361659394898712,0.4552671378120884,0.9750091825878382,1.050436221443456,0.7018576273858195,0.7719405240828643,0.2280594759171358,7.901635274052921e-19,0.0,"{'sigma': 0.06913308159692252, 'lam': -0.4203600467834523}","{'sigma': 0.024288003744887154, 'mu': -0.07577665155696667, 'w0': 0.22388273214883034, 'delta': 1.432187701766452e-12, 'psi': 0.2}",{'sigma': 0.07404862074254798},0.004753122412686626,0.17501468388050978
0.05,0.297695245420437,0.48219448291762446,-0.18449923749718744,0.3478047559994222,0.1209681482958176,0.8935167431456361,0.8488990588178247,0.8206358924908668,0.7217006951819382,0.47887225090668134,-0.6637578092325107,2.0323099738640528e-16,0.9999999999999998,6.313552198108832e-29,0.005641423776185164,"{'sigma': 0.0837908002766045, 'lam': -0.35398592256130623}","{'sigma': 0.03193436954251205, 'mu': -0.07031912899713899, 'w0': 0.2077584374425937, 'delta': 3.26405569239796e-14, 'psi': 0.2}",{'sigma': 0.09574485489601098},0.011282847552370329,0.09327122644532061
0.1,10.505795678864413,10.513055966686657,-0.007260287822244749,0.37779904935483816,0.14273212169341945,0.8900388865394573,0.8543463611945352,0.8103057096173606,0.035936557430723444,-0.5118647325461454,1.4149827549888554,2.3703290529884157e-26,1.0,2.6468340243525824e-37,0.00876688822746304,"{'sigma': 0.09885631795352154, 'lam': -0.34090485852391517}","{'sigma': 0.03901175035547233, 'mu': -0.069735939100394, 'w0': 0.206035398164938, 'delta': 6.395328711050752e-12, 'psi': 0.2}",{'sigma': 0.11215626037602666},0.01753377645492608,0.12284394183243239
0.15000000000000002,22.648119806701242,22.648673889442517,-0.000554082741274442,0.2613718552870133,0.06831524673617541,0.7724904313487359,0.6922732451993856,0.6102383059503973,0.011540430657484677,-0.01062391645592853,-0.15749679363299196,3.4833213182755887e-06,0.9999965166786816,1.3393945136781412e-21,0.0049596224882451,"{'sigma': 0.10025930522972024, 'lam': -0.43776518506112305}","{'sigma': 0.03463886356660861, 'mu': -0.07564028620596752, 'w0': 0.22347984264855592, 'delta': 3.0376401394249797e-09, 'psi': 0.2}",{'sigma': 0.1016358672590435},0.0099192449764902,0.14519811389684403
0.2,34.916975655089004,34.4917197948988,0.4252558601902052,0.23545981186365117,0.05544132300286601,0.6948812260811579,0.6112381678662737,0.5152364142996441,0.0068265064778413875,0.006360703445321163,0.24777259874952814,0.024902594917739808,0.9750974050822601,7.50385780383646e-18,0.003911637114715409,"{'sigma': 0.0927920936905643, 'lam': -0.453401530103795}","{'sigma': 0.030993614164048777, 'mu': -0.07580228233110287, 'w0': 0.22395845913078916, 'delta': 6.53145981743819e-10, 'psi': 0.2}",{'sigma': 0.09552521616675538},0.007823274229430818,0.14110908264267788
0.25,45.99099056970084,45.83772512766409,0.15326544203674786,0.21431313267830732,0.04593011883838976,0.6449363779901284,0.5485691393859734,0.4553878826819642,0.004675501786976751,-0.027959612544593358,0.034935614712227,0.9999997388666382,2.6113324998479247e-07,1.1194933989803619e-13,0.002879484032061467,"{'sigma': 0.09749638968241223, 'lam': -0.5570673853865431}","{'sigma': 0.03426941552147711, 'mu': -0.11953205376389353, 'w0': 0.35315842328863295, 'delta': 1.3329048975663227e-10, 'psi': 0.2}",{'sigma': 0.08868267734680353},0.005758968064122934,0.12538543791681675
0.30000000000000004,57.00999506871865,56.920222720701794,0.08977234801685796,0.20522645821537702,0.04211789915162789,0.5906273511245576,0.49617850689490683,0.4078950248486328,0.003605511366329707,-0.04395847479929849,-0.15384299426770676,0.9999999999902611,9.616125991566449e-12,1.2275502826402443e-13,0.0025855383961993477,"{'sigma': 0.10195987781903733, 'lam': -0.643902366489661}","{'sigma': 0.03229180587690217, 'mu': -0.1253219765298761, 'w0': 0.37026479764175746, 'delta': 6.742111313684518e-10, 'psi': 0.2}",{'sigma': 0.08669039401701104},0.005171076792398695,0.12277622807781544
0.35000000000000003,67.60810647260189,67.57860003868032,0.029506433921568487,0.2064018279069429,0.04260171456332727,0.5733190271350522,0.4386355125580161,0.372866424538467,0.0030542353358129614,-0.13118457430695674,0.008021255967401867,0.9999999997962039,1.9333010232608691e-10,1.0466031887027558e-11,0.0029927224249682496,"{'sigma': 0.10027202892270154, 'lam': -0.5984307930833563}","{'sigma': 0.03130349541727773, 'mu': -0.11791205311104158, 'w0': 0.3483721185301517, 'delta': 4.541305109739824e-10, 'psi': 0.2}",{'sigma': 0.09004061390839674},0.005985444849936499,0.14049774548484803
0.4,78.06693156052971,77.87936958380197,0.18756197672773567,0.18249580284105468,0.0333047180546011,0.4644007618260644,0.3587773001501481,0.2393905382011407,0.0023433188551658687,-0.12542634877615055,-0.012902570565577072,0.9999999999999718,2.744176311788012e-14,7.216928530073679e-16,0.0017540086043775769,"{'sigma': 0.1143726876325176, 'lam': -0.8156714680845303}","{'sigma': 0.030803413979699545, 'mu': -0.12582035320477747, 'w0': 0.37173725515673417, 'delta': 2.5758373212170227e-10, 'psi': 0.2}",{'sigma': 0.0841853499673167},0.0035080172087551538,0.1053309384875731
0.45,87.8029541430419,87.7675069881994,0.03544715484250105,0.1783076602602411,0.03179362170748157,0.4280995323277929,0.24642126973332754,0.19036555232328034,0.0020315940418141327,-0.09991646068546499,0.024242609172941666,0.9999999999992635,8.781261573859407e-14,6.488535554099051e-13,0.001267225695121431,"{'sigma': 0.1544114029600461, 'lam': -1.3839191776604174}","{'sigma': 1284.7293582065706, 'mu': -1033.0491570094318, 'w0': 16041.155191280963, 'delta': 12989.00307104684, 'psi': 0.2}",{'sigma': 0.07992467627769352},0.002534451390242862,0.07971571825195566
0.5,97.38188658218814,97.27051948381092,0.11136709837722947,0.1718691704202061,0.02953901174092985,0.40616007851661245,0.2312783181155586,0.1907879736337403,0.0017669196290575474,0.007497660985918274,-0.058572907097636136,0.9999999999589084,4.898222206573989e-12,3.619331099077161e-11,0.0012293915465229402,"{'sigma': 0.14709513578982153, 'lam': -1.3358276778547165}","{'sigma': 1162.2739083990461, 'mu': -381.547103659821, 'w0': 14861.806438935713, 'delta': 13734.522423937115, 'psi': 0.2}",{'sigma': 0.07817975095820694},0.0024587830930458804,0.08323850217503861
0.55,106.49336655906016,106.35297865278976,0.14038790627040498,0.17065753334747402,0.029123993688244205,0.3652574614974247,0.18485551541052997,0.11891664100229093,0.001604634461016752,-0.0792641385030947,-0.17051425383711907,0.9999999999928066,8.574457641892329e-13,6.335728868900549e-12,0.0013414050949542683,"{'sigma': 0.15474292248618882, 'lam': -1.4058280970058403}","{'sigma': 1165.4067661550785, 'mu': -124.99048408048351, 'w0': 14652.137751378203, 'delta': 14282.8523515433, 'psi': 0.2}",{'sigma': 0.07953553248382168},0.0026828101899085367,0.09211683736188431
0.6000000000000001,115.13071639271747,115.03347963384795,0.09723675886952776,0.16180109352700828,0.026179593866535678,0.33223676917385014,0.2621060771558573,0.1609856611465476,0.0014065583626735676,0.05707085036909327,0.24368438940837633,0.9999998300247908,2.026151130367274e-08,1.4971369788342071e-07,0.0010391044503396223,"{'sigma': 0.15371338163704787, 'lam': -1.554886222182032}","{'sigma': 1196.7445185498948, 'mu': -860.1890977605135, 'w0': 16077.782579247689, 'delta': 13536.34690726828, 'psi': 0.2}",{'sigma': 0.07432954745909075},0.0020782089006792445,0.07938277848289066
0.65,123.40304181091881,123.27590311607784,0.12713869484096563,0.1632663058941398,0.026655886640318822,0.29119179662043715,0.1566303922507846,0.08773498350387993,0.0013243994838261738,-0.06068074504299112,0.2574676784587447,0.9999999999820346,2.1415112670538992e-12,1.5823776815163312e-11,0.0008063732148427923,"{'sigma': 0.2046417522428104, 'lam': -2.2031675931808703}","{'sigma': 1548.2262266543232, 'mu': -609.7965330097502, 'w0': 20361.749354412605, 'delta': 18560.100547568716, 'psi': 0.2}",{'sigma': 0.07600224193899303},0.0016127464296855846,0.060502449288113234
0.7000000000000001,131.14826875883267,131.12187700840485,0.026391750427819716,0.16241634002122887,0.026379067505891435,0.29499107826199794,0.16304301181360872,0.048861471271841046,0.0012386671454361767,-0.013891948369099008,-0.20915600769731554,0.9999999999890024,1.310949758829076e-12,9.686704613291458e-12,0.0009271688428985962,"{'sigma': 0.1647002017643687, 'lam': -1.627322063849725}","{'sigma': 1147.726846902482, 'mu': -1162.2464046725852, 'w0': 14940.530577304227, 'delta': 11506.664140081502, 'psi': 0.2}",{'sigma': 0.07658835556399149},0.0018543376857971924,0.0702958012212922
0.75,138.29245777398947,138.52767212130408,-0.23521434731461,0.15802905536787545,0.024973182340463047,0.1938068662794967,0.1014698558742945,-0.03093195354407387,0.001140775783208622,-0.03189198111408996,0.29817915446698395,0.999980035094157,2.379871484792257e-06,1.7585034358154734e-05,0.000751575059483631,"{'sigma': 0.24164040901345696, 'lam': -2.761582636680984}","{'sigma': 1461.0999099565797, 'mu': -920.9925227361119, 'w0': 19326.73657680785, 'delta': 16605.656692161923, 'psi': 0.2}",{'sigma': 0.07551451814369375},0.001503150118967262,0.06019057156891727
0.8,145.48305244441337,145.54776178391396,-0.06470933950058111,0.14910579670346844,0.02223253861057606,0.21081608252033407,0.1480316395183939,0.036746637703659026,0.0010244456778076103,0.07449563233964862,0.07151914521502836,0.999976555791812,2.7946130877984192e-06,2.0649595100264008e-05,0.0007036933813659472,"{'sigma': 0.20758007028046555, 'lam': -2.518952789011623}","{'sigma': 1162.6946443098805, 'mu': -1073.4160245704734, 'w0': 16621.418146513148, 'delta': 13450.001788389021, 'psi': 0.2}",{'sigma': 0.06980620016695467},0.0014073867627318944,0.06330301669024867
0.8500000000000001,152.25917685440422,152.18407741256792,0.07509944183630068,0.1490088925549741,0.022203650060459816,0.18413834545654453,0.06848820007620036,0.004493804555502857,0.0009791359453018712,0.10034845935939606,0.017084916456227502,0.999987875151402,1.4453151464192341e-06,1.0679533451594735e-05,0.000543861360361225,"{'sigma': 0.2509265746581532, 'lam': -3.1415926535897882}","{'sigma': 1731.8740915142737, 'mu': -1221.8016947334256, 'w0': 24429.325213321492, 'delta': 20819.502188169725, 'psi': 0.2}",{'sigma': 0.07080495744386517},0.00108772272072245,0.048988464408357024
0.9,158.30637751523878,158.41931193566475,-0.11293442042597235,0.14177373317576358,0.02009979141859261,0.1658180332619611,0.08389381897919321,0.016629366824163126,0.000894927041357232,-0.05542016946725717,0.15237902086541055,0.9999987905101408,1.4417447157548733e-07,1.0653153875831204e-06,0.000533497434800352,"{'sigma': 0.24100882895819165, 'lam': -3.1415926535599468}","{'sigma': 1586.3576223826196, 'mu': -694.4115400040866, 'w0': 23329.571597626153, 'delta': 21277.927065749183, 'psi': 0.2}",{'sigma': 0.06796776635124858},0.001066994869600704,0.0530848727421976
0.9500000000000001,164.30381133128142,164.30740072036556,-0.0035893890841407483,0.14151495646170797,0.020026482902359106,0.1586850458291526,0.027344881466593342,0.00898331690827267,0.0008612812585447031,0.05358779740718156,0.0721806642100175,0.9998777108538361,1.4577193408269314e-05,0.00010771195275549605,0.00047990181177562103,"{'sigma': 0.23508220130085897, 'lam': -3.1415926535892575}","{'sigma': 1438.577739799581, 'mu': -1587.8751071017755, 'w0': 21600.35945679876, 'delta': 16908.969563177834, 'psi': 0.2}",{'sigma': 0.06642065197675649},0.0009598036235512421,0.047926719246252567
1.0,169.73019339016983,169.8210132141123,-0.09081982394246779,0.13074730801955636,0.017094858554360746,0.05893460132742999,0.009523994073736056,0.026336983909799497,0.0007699125237943248,0.004995128980440859,-0.0618894290416267,1.706123788403414e-06,0.11920248215785495,0.8807958117183566,0.00038431937198905934,"{'sigma': 0.21826694889166104, 'lam': -3.141592653589792}","{'sigma': 1221.4083831368077, 'mu': -1168.361299829961, 'w0': 19566.72111629338, 'delta': 16114.788171690097, 'psi': 0.2}",{'sigma': 0.062311810069904855},0.0007686387439781187,0.04496315319216524
1.05,175.03604851938107,175.01667444512074,0.01937407426032678,0.12892712694858532,0.01662220406321664,0.09010512827280577,0.022154125184964832,0.027033792462872314,0.0007366563133229434,0.027708653027027113,-0.1624660315390716,0.0001066962302506025,0.11919002406967656,0.8807032797000728,0.0003767368608361636,"{'sigma': 0.21346492198683403, 'lam': -3.141592546803905}","{'sigma': 1149.5644052933844, 'mu': -3339.8637401636074, 'w0': 18591.272102271403, 'delta': 8723.61757037738, 'psi': 0.2}",{'sigma': 0.06085940208447947},0.0007534737216723272,0.04532935095771644
