Realisation number,Variable,index,Lag-1 AC,Smax/Var,Coefficient of variation,Kurtosis,Lag-2 AC,Skewness,Lag-3 AC,Standard deviation,Variance,Smax,Smax/Mean,Cross correlation
1,Non-breeding,0,0.9262485481997678,-0.1619047619047619,0.037359659310878826,0.38453348819202476,-0.14092140921409216,0.13003290747193186,0.650648470770422,-0.9656407278358498,-0.9656407278358498,-0.9428571428571428,-0.580952380952381,0.3837108013937282
1,Breeding,0,0.9433313975996903,-0.1619047619047619,0.180458768873403,0.5798974061169183,-0.037698412698412696,0.2121564072783585,0.38729190863337204,-0.9668505613627565,-0.9668505613627565,-0.961904761904762,-0.7714285714285715,0.3837108013937282
2,Non-breeding,0,0.9210704607046071,-0.5238095238095238,-0.2622435152922958,-0.41129500580720096,-0.6225803329461866,0.1518583042973287,0.6628919860627178,-0.9424603174603174,-0.9424603174603174,-0.9238095238095239,-0.7142857142857143,-0.08754355400696866
2,Breeding,0,0.89847077042199,-0.29523809523809524,-0.5215834301200155,0.005274874177313202,-0.32631629887727454,-0.018002322880371662,0.3605303910181959,-0.9755129694154085,-0.9755129694154085,-0.961904761904762,-0.8476190476190477,-0.08754355400696866
3,Non-breeding,0,0.9149728997289973,-0.04761904761904762,0.2559039876113047,-0.07612272551296942,-0.049216027874564465,0.38525938830816886,0.523664343786295,-0.9402342237708091,-0.9402342237708091,-0.7333333333333334,-0.3142857142857143,-0.1337591947348045
3,Breeding,0,0.877903600464576,-0.10476190476190476,0.4264905149051491,-0.0013550135501355016,0.02424506387921022,0.6394696089818042,0.5048393341076268,-0.9240224545102593,-0.9240224545102593,-0.9047619047619049,-0.5238095238095238,-0.1337591947348045
4,Non-breeding,0,0.8825009678668215,-0.48571428571428577,-0.0300038714672861,0.03324622531939605,-0.13487224157955865,0.19192799070847852,0.461527293844367,-0.9793360433604336,-0.9793360433604336,-0.9238095238095239,-0.7714285714285715,-0.21351142082849403
4,Breeding,0,0.8917924893534649,-0.21904761904761905,0.11445025164537359,0.5299554781262098,-0.3729674796747967,-0.15466511807975222,0.42702284165698806,-0.9754645760743322,-0.9754645760743322,-0.9047619047619049,-0.7333333333333334,-0.21351142082849403
5,Non-breeding,0,0.9278939217963609,-0.2571428571428572,-0.07776809910956252,0.02961672473867596,-0.2667440960123887,-0.3221544715447155,0.7522260936895083,-0.9579945799457995,-0.9579945799457995,-0.980952380952381,-0.4476190476190477,0.3617886178861789
5,Breeding,0,0.9184572202864887,-0.2761904761904762,0.2645663956639567,0.2707123499806427,-0.14063104916763455,0.007307394502516454,0.872096399535424,-0.9679636082075107,-0.9679636082075107,-0.9428571428571428,-0.7904761904761906,0.3617886178861789
6,Non-breeding,0,0.8851626016260163,-0.580952380952381,-0.21109175377468062,0.11691831204026326,-0.20078397212543556,-0.29786101432442896,0.6651180797522261,-0.9725609756097561,-0.9725609756097561,-0.980952380952381,-0.9047619047619049,-0.3808555942702284
6,Breeding,0,0.9003581107239644,-0.3142857142857143,-0.36536972512582266,-0.16937669376693767,-0.3454316686024003,-0.16013356562137052,0.43689508323654663,-0.9730449090205188,-0.9730449090205188,-0.980952380952381,-0.7333333333333334,-0.3808555942702284
7,Non-breeding,0,0.9045199380565234,0.028571428571428574,0.006726674409601239,0.10748161053039101,-0.1395180023228804,-0.0027584204413472705,0.030342624854819977,-0.9567847464188928,-0.9567847464188928,-0.7904761904761906,-0.37142857142857144,-0.28944057297715836
7,Breeding,0,0.8259775454897407,-0.4476190476190477,-0.01664730933023616,0.35022260936895083,-0.3536101432442896,0.1344850948509485,0.49046651180797524,-0.9711575687185443,-0.9711575687185443,-0.961904761904762,-0.8476190476190477,-0.28944057297715836
8,Non-breeding,0,0.9119725125822686,-0.14285714285714288,0.13511420828494,0.5859465737514519,-0.150648470770422,0.2611304684475416,0.2267711962833914,-0.9446864111498258,-0.9446864111498258,-0.9428571428571428,-0.6190476190476191,-0.02376113046844754
8,Breeding,0,0.8625629113433991,-0.48571428571428577,0.6784262485481998,0.32452574525745254,-0.15505226480836237,0.06721835075493612,0.4482191250483934,-0.9450735578784359,-0.9450735578784359,-0.9047619047619049,-0.8476190476190477,-0.02376113046844754
9,Non-breeding,0,0.9466221447928765,-0.2761904761904762,0.0026132404181184667,0.4329268292682927,-0.010017421602787457,-0.37016066589237323,0.6362272551296941,-0.9550425861401471,-0.9550425861401471,-0.8857142857142857,-0.6952380952380953,0.3504161827332559
9,Breeding,0,0.9266356949283778,-0.4476190476190477,0.1361788617886179,0.6605207123499807,-0.16898954703832755,-0.35240030971738295,0.8487708091366628,-0.9556716995741386,-0.9556716995741386,-0.8857142857142857,-0.7142857142857143,0.3504161827332559
10,Non-breeding,0,0.931523422377081,-0.1619047619047619,0.11788617886178863,-0.3989547038327526,-0.11624080526519552,0.4720770421989934,-0.052603561749903216,-0.9450251645373596,-0.9450251645373596,-0.9238095238095239,-0.5238095238095238,-0.07650987224157955
10,Breeding,0,0.9200058072009292,-0.10476190476190476,-0.1358885017421603,-0.27240611691831207,-0.03566589237320945,0.2560491676345335,0.3669183120402633,-0.9684475416182734,-0.9684475416182734,-0.961904761904762,-0.6190476190476191,-0.07650987224157955
