Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Standard deviation,Smax/Var,Skewness,Lag-1 AC,Lag-3 AC,Variance,Smax,Cross correlation
1,Non-breeding,0,0.9888311688311688,0.8603896103896104,-0.6159740259740258,0.7664935064935064,0.542483660130719,0.6406493506493506,0.9397402597402597,0.42857142857142855,0.7664935064935064,0.8954248366013072,0.850828729281768
1,Breeding,0,0.9766174055829228,0.8360591133004925,0.2592446633825944,-0.8865024630541871,0.3725490196078432,0.10371100164203612,0.9133004926108375,0.25057471264367814,-0.8865024630541871,-0.5294117647058824,0.8487895716945996
1,Total,0,0.9837662337662337,0.8751948051948051,-0.545974025974026,0.4966233766233766,0.47712418300653603,0.21844155844155844,0.9566233766233765,0.36623376623376624,0.4966233766233766,0.5686274509803922,0.850828729281768
2,Non-breeding,0,0.9900943396226415,0.8833333333333333,-0.2248427672955975,0.7605345911949686,0.7999999999999999,0.3427672955974843,0.8498427672955975,0.8636792452830189,0.7605345911949686,0.8499999999999999,0.6938654841093866
2,Breeding,0,0.969269962582597,0.9286680996735929,0.8812196481171882,-0.9646524958203966,0.6833333333333333,0.29750816017832976,0.8772390733221879,0.8355226494705836,-0.9646524958203966,-0.31666666666666665,0.6896603321861441
2,Total,0,0.980503144654088,0.9168238993710691,0.5231132075471698,-0.225,0.75,-0.03663522012578617,0.9294025157232705,0.8548742138364781,-0.225,0.6,0.6938654841093866
3,Non-breeding,0,0.9961290322580644,0.2988387096774193,-0.2521290322580645,0.880258064516129,0.46153846153846145,0.17729032258064514,0.784516129032258,0.22219354838709676,0.880258064516129,0.7179487179487178,0.5601669648181276
3,Breeding,0,0.9889850511408339,0.8570679255179647,0.7778651980068187,-0.6810910044584316,0.7435897435897434,0.7686860739575136,0.9606608969315499,0.7492787831104117,-0.6810910044584316,0.25641025641025633,0.5552325581395349
3,Total,0,0.992774193548387,0.8534193548387096,0.3556129032258064,0.5050322580645161,0.5897435897435896,0.027096774193548383,0.952516129032258,0.7029677419354838,0.5050322580645161,0.4358974358974358,0.5601669648181276
4,Non-breeding,0,0.9888174447861338,0.4965986394557823,-0.7957319914267077,0.7405647190383003,0.5428571428571429,0.5746901500326158,0.9146398285341534,0.44348150218991705,0.7405647190383003,0.7333333333333334,0.6985012199372604
4,Breeding,0,0.9667453944260745,0.7702409069437883,0.4811525743977326,-0.9605101558809636,0.8095238095238096,0.6338214454416627,0.9076051015588096,-0.34983467170524324,-0.9605101558809636,0.14285714285714288,0.6932450331125828
4,Total,0,0.9761438822104185,0.8333799273133912,-0.6617277047805424,0.22542167551952288,0.7523809523809525,0.41496598639455784,0.9425962165688193,0.07669369117510018,0.22542167551952288,0.6380952380952382,0.6985012199372604
5,Non-breeding,0,0.9926506614404702,0.7793565245794545,-0.7697207251347378,0.9059284664380205,0.7999999999999999,0.4109096847950351,0.9454515760248243,0.5386248570961946,0.9059284664380205,0.9333333333333332,0.7705697415842344
5,Breeding,0,0.9743589743589743,0.569727047146402,-0.19867659222497933,-0.9472291149710504,0.5166666666666667,-0.47311827956989244,0.8885028949545078,0.4600496277915633,-0.9472291149710504,-0.7999999999999999,0.7690993788819875
5,Total,0,0.9790952147640045,0.772823779193206,-0.43442756818552997,0.5028580761064837,0.7333333333333334,-0.1615221296749959,0.9671729544341009,0.6109750122488976,0.5028580761064837,0.8666666666666667,0.7705697415842344
6,Non-breeding,0,0.9617773530817009,0.5327281414237935,-0.38700430004777825,0.8776875298614428,0.4222222222222222,-0.8346870520783564,0.826086956521739,0.18107978977544192,0.8776875298614428,0.6,0.3019759450171822
6,Breeding,0,0.8827838827838828,0.4769230769230769,0.04615384615384615,-0.8695970695970695,0.7333333333333333,-0.40463980463980465,0.684981684981685,0.023199023199023196,-0.8695970695970695,-0.3333333333333333,0.2978070175438596
6,Total,0,0.8905876731963688,0.5580506450071666,-0.7247969421882464,-0.23793597706641184,0.6,-0.8026755852842808,0.8213091256569517,0.24940277114190154,-0.23793597706641184,0.4666666666666666,0.3019759450171822
7,Non-breeding,0,0.9870875179340026,0.9051171688187469,-0.1894787183165949,0.5638450502152079,0.7142857142857143,0.5611669057867048,0.9428024868483976,0.8668579626972739,0.5638450502152079,0.7142857142857143,0.806516290726817
7,Breeding,0,0.9527673138220807,0.9147107118709553,0.03477252970153579,-0.9722785665990534,0.8380952380952382,0.2448565633149812,0.9485173379696707,0.603399980681928,-0.9722785665990534,-0.380952380952381,0.8046558704453443
7,Total,0,0.9477761836441893,0.946341463414634,-0.3501673840267814,0.0582496413199426,0.7809523809523811,0.4073648971783835,0.9686274509803919,0.8137733142037301,0.0582496413199426,0.6666666666666667,0.806516290726817
8,Non-breeding,0,0.9725766520662732,0.9518821811718403,-0.5332952453500921,0.5591950739541675,0.33333333333333337,0.26261664444867644,0.9277597917856917,0.9360121881546373,0.5591950739541675,0.7647058823529412,0.8359454752897377
8,Breeding,0,0.9514637904468413,0.8909861325115562,0.4060092449922958,-0.973035439137134,0.39869281045751637,0.4888289676425269,0.8398818695428865,0.886748844375963,-0.973035439137134,-0.7516339869281047,0.834375569182199
8,Total,0,0.9638164159207772,0.9579762584904463,-0.5325334856852663,-0.1790770012061195,0.32026143790849676,0.11940582746143592,0.9584840982669969,0.9217926744112234,-0.1790770012061195,0.30718954248366015,0.8359454752897377
9,Non-breeding,0,0.997713539114813,0.8332516740160052,-0.7886656867548587,0.7853993140617345,0.41666666666666663,0.6305732484076433,0.9314061734443899,0.7284011105667155,0.7853993140617345,0.8333333333333333,0.8955601564297218
9,Breeding,0,0.9818031430934656,0.8980976013234078,0.7017369727047146,-0.8800661703887511,0.8499999999999999,0.01240694789081886,0.9645988420181968,0.56575682382134,-0.8800661703887511,0.5166666666666667,0.8945652173913043
