Realisation number,Variable,index,Smax,Lag-3 AC,Kurtosis,Smax/Var,Skewness,Lag-2 AC,Lag-1 AC,Standard deviation,Smax/Mean,Coefficient of variation,Variance,Cross correlation
1,Non-breeding,0,0.9340659340659341,0.6956629491945476,-0.8922759190417183,0.7362637362637363,0.6011014732204323,0.8305934186975079,0.8975629904997934,0.9329753545366928,1.0,0.9998347790169352,0.9329753545366928,0.31494168020079727
1,Breeding,0,-0.14285714285714285,0.6750653999724632,0.6520446096654275,0.6483516483516484,0.4354399008674102,0.8839047225664326,0.937381247418422,-0.962935426132452,0.7142857142857144,0.995539033457249,-0.962935426132452,0.31494168020079727
2,Non-breeding,0,1.0,0.8774611042269034,-0.9540134930469503,0.9340659340659341,0.7891229519482307,0.923612832163018,0.9755472945064023,0.9703703703703703,1.0,0.999559410711827,0.9703703703703703,0.313996751808652
2,Breeding,0,0.7582417582417583,0.7185735921795401,0.2399284042406719,1.0,0.3662123089632383,0.9147459727385379,0.9668456560649868,-0.983477901693515,1.0,0.9910780669144981,-0.983477901693515,0.313996751808652
3,Non-breeding,0,0.9340659340659341,0.6263802836293542,-0.9686080132176785,-0.05494505494505495,-0.14812061131763732,0.8279498829684703,0.9233925375189316,0.969984854743219,1.0,0.9999449263389782,0.969984854743219,0.39691421821940054
3,Breeding,0,0.05494505494505495,0.6649318463444858,0.7903345724907063,0.8901098901098902,0.4379732892744045,0.8842902381935839,0.9714167699297811,-0.968828307861765,0.9120879120879122,0.9926201294231034,-0.968828307861765,0.39691421821940054
4,Non-breeding,0,0.9120879120879122,0.520308412501721,-0.7900592041855982,-0.7582417582417583,0.6353022167148561,0.5745559686080132,0.5298912295194823,0.9546743769792096,1.0,1.0,0.9546743769792096,0.19709139229292783
4,Breeding,0,-0.5824175824175825,0.4647941621919317,0.8370921106980587,0.8901098901098902,0.3842213961173069,0.7627977419798981,0.9748864105741428,-0.9824865757951259,0.9780219780219781,0.9940520446096655,-0.9824865757951259,0.19709139229292783
5,Non-breeding,0,1.0,0.8926614346688696,-0.5766487677268346,0.6483516483516484,0.6183946027812198,0.9038964615172793,0.902794988296847,0.9739501583367755,1.0,0.9998347790169352,0.9739501583367755,0.27267089915842313
5,Breeding,0,0.7582417582417583,0.8908440038551563,0.6135481206113176,0.9780219780219781,-0.5498278948093074,0.9298912295194823,0.9719675065399972,-0.9611179953187386,1.0,0.995814401762357,-0.9611179953187386,0.27267089915842313
6,Non-breeding,0,0.9780219780219781,0.28503373261737575,-0.6205424755610629,0.7802197802197802,0.18072421864243426,0.7760704942861075,0.896186148974253,0.9244940107393639,1.0,0.9998347790169352,0.9244940107393639,0.4110586150893253
6,Breeding,0,-0.4065934065934066,0.504226903483409,0.9182706870439211,1.0,-0.12790857772270411,0.7849924273716095,0.9347377116893846,-0.932644912570563,1.0,0.9947680022029465,-0.932644912570563,0.4110586150893253
7,Non-breeding,0,1.0,0.15313231447060444,-0.8712377805314608,0.09890109890109891,0.6541374087842489,0.7674790031667356,0.9033457249070631,0.9704254440313919,1.0,0.9998898526779567,0.9704254440313919,0.15393474088291748
7,Breeding,0,-0.07692307692307693,0.818091697645601,0.3749690210656753,0.9560439560439562,-0.22885859837532696,0.9084675753820736,0.9453669282665564,-0.8989949056863554,1.0,0.9961999173895083,-0.8989949056863554,0.15393474088291748
8,Non-breeding,0,1.0,0.6745697370232686,-0.3875258157786039,0.6923076923076924,0.23745008949469912,0.8764697783285144,0.9141952361283215,0.9735095690486024,1.0,1.0,0.9735095690486024,0.09676657315812785
8,Breeding,0,-0.16483516483516486,0.8055349029326724,0.9532975354536692,0.9560439560439562,0.8247005369681949,0.8990499793473771,0.9715269172518242,-0.9708109596585432,1.0,0.9958694754233788,-0.9708109596585432,0.09676657315812785
9,Non-breeding,0,1.0,0.04981412639405204,-0.9135894258570838,0.05494505494505495,0.8687043921244665,0.18474459589701223,0.5737849373537105,0.9229519482307585,1.0,1.0,0.9229519482307585,0.35694670013288055
9,Breeding,0,-0.09890109890109891,0.7893983202533389,0.7564642709624121,0.9340659340659341,-0.049759052733030426,0.8302079030703565,0.9809445132865208,-0.9594107118270686,0.9780219780219781,0.9969709486438111,-0.9594107118270686,0.35694670013288055
10,Non-breeding,0,1.0,0.8459038964615173,-0.911551700399284,0.8901098901098902,-0.364394878149525,0.8988296847032906,0.89574555968608,0.9738950846757537,1.0,0.9998898526779567,0.9738950846757537,0.11668389192381515
10,Breeding,0,0.8021978021978022,0.8741566845656065,0.8050943136444995,0.8681318681318682,0.4883106154481619,0.9368305108082059,0.9682775712515489,-0.8963513699573178,1.0,0.995814401762357,-0.8963513699573178,0.11668389192381515
11,Non-breeding,0,0.9780219780219781,0.824094726696957,-0.9389233099270273,0.6923076923076924,-0.004488503373261737,0.9447060443342971,0.9705906650144568,0.9720225802010188,1.0,0.9998898526779567,0.9720225802010188,0.08641665436291156
11,Breeding,0,-0.38461538461538464,0.44937353710587913,0.7788241773371885,0.8681318681318682,0.507971912432879,0.8001927578135757,0.9654688145394466,-0.9760429574555968,0.9340659340659341,0.9937216026435357,-0.9760429574555968,0.08641665436291156
12,Non-breeding,0,1.0,0.8677130662260774,-0.9026297673137821,0.8021978021978022,0.13110285006195785,0.8618201844967643,0.9139198678232135,0.9431639818256918,1.0,0.9999449263389782,0.9431639818256918,0.19853831389340024
12,Breeding,0,0.6263736263736264,0.8672724769379044,0.4168250034421038,0.9780219780219781,0.8600578273440725,0.8929918766349993,0.9757675891504888,-0.9438799394189729,1.0,0.9925650557620816,-0.9438799394189729,0.19853831389340024
13,Non-breeding,0,1.0,0.7026022304832713,-0.7089357015007572,0.6483516483516484,0.7663224562852815,0.7462756436734131,0.8707421175822663,0.9813851025746936,1.0,1.0,0.9813851025746936,0.35706481618189867
13,Breeding,0,0.38461538461538464,0.8280600302905136,0.8832989122951949,0.8901098901098902,0.5810546606085639,0.8824177337188489,0.9499380421313506,-0.9385928679608976,1.0,0.9970810959658543,-0.9385928679608976,0.35706481618189867
14,Non-breeding,0,0.9780219780219781,0.8692551287346827,-0.8738262425994767,0.7802197802197802,0.09723254853366377,0.9124328789756299,0.9423378769103675,0.9863968057276606,1.0,0.9996695580338703,0.9863968057276606,0.210881441015798
14,Breeding,0,0.09890109890109891,0.9464684014869889,0.2977557483133691,0.9340659340659341,0.7883519206939281,0.8270687043921244,0.9616136582679333,-0.9186562026710725,0.9780219780219781,0.9948781495249895,-0.9186562026710725,0.210881441015798
15,Non-breeding,0,0.8901098901098902,0.8046537243563265,-0.9633209417596035,-0.5824175824175825,0.8730552113451742,0.8329065124604157,0.9006471155170039,0.9725733168112349,1.0,0.9999449263389782,0.9725733168112349,0.09777055957478223
15,Breeding,0,-0.14285714285714285,0.32099683326449124,0.5656891091835329,0.9560439560439562,-0.7831199228968746,0.7009500206526229,0.9567671760980311,-0.9626049841663225,1.0,0.9947129285419247,-0.9626049841663225,0.09777055957478223
16,Non-breeding,0,1.0,0.6391022993253477,-0.9391436045711138,0.8241758241758242,-0.3591078066914498,0.6765523888200468,0.860443342971224,0.9679471292854191,1.0,0.9997246316948919,0.9679471292854191,-0.36133175845267973
16,Breeding,0,-0.5824175824175825,0.5102299325347652,0.9067602918904033,0.16483516483516486,0.4450227178851714,0.3397769516728624,0.8768002202946441,-0.9800082610491532,0.5824175824175825,0.989646151727936,-0.9800082610491532,-0.36133175845267973
17,Non-breeding,0,1.0,0.9188764973151591,-0.948451053283767,0.7142857142857144,0.4855569323970811,0.8354949745284318,0.8421038138510257,0.9477901693515075,1.0,0.9997246316948919,0.9477901693515075,0.12978000885870367
17,Breeding,0,0.23076923076923078,0.7292028087567121,0.8285006195786865,0.9340659340659341,0.5150764147046675,0.8826380283629354,0.9668456560649868,-0.9660195511496626,0.9560439560439562,0.9916288035247143,-0.9660195511496626,0.12978000885870367
18,Non-breeding,0,1.0,0.7374638579099546,-0.8509155996144844,0.4945054945054945,0.17604295745559687,0.8915048877874155,0.9124879526366515,0.9183808343659645,1.0,0.9996695580338703,0.9183808343659645,0.0109404990403071
18,Breeding,0,-0.3406593406593407,0.9108908164670245,0.7741979898113727,0.8461538461538461,-0.2848685116343109,0.8886410574142916,0.9469089907751617,-0.9483409059617237,0.9340659340659341,0.9958694754233788,-0.9483409059617237,0.0109404990403071
19,Non-breeding,0,1.0,0.8597824590389646,-0.8779016935150764,0.6923076923076924,-0.1687732342007435,0.8923860663637615,0.9177750240947266,0.9037312405342144,1.0,0.9998898526779567,0.9037312405342144,0.3227963974605049
19,Breeding,0,0.27472527472527475,0.8506953049703978,0.9107255954839597,0.9560439560439562,0.5834228280324933,0.8653999724631695,0.9655238882004681,-0.9677268346413327,1.0,0.9966955803387029,-0.9677268346413327,0.3227963974605049
20,Non-breeding,0,0.9560439560439562,0.8638028362935425,-0.8924962136858048,0.7142857142857144,-0.17273853779429987,0.860443342971224,0.8949745284317775,0.922180916976456,1.0,0.9998347790169352,0.922180916976456,0.10534475121807176
20,Breeding,0,-0.4945054945054945,0.8105466060856394,0.9167836981963375,0.9560439560439562,-0.32281426407820457,0.8332920280875671,0.9596310064711551,-0.9750516315572078,0.9560439560439562,0.9943274129147734,-0.9750516315572078,0.10534475121807176
21,Non-breeding,0,0.9560439560439562,0.8282803249346,-0.828996282527881,0.5384615384615384,0.23849648905410986,0.8052044609665426,0.9455872229106429,0.9758226628115103,1.0,0.9998347790169352,0.9758226628115103,0.21116196663221612
21,Breeding,0,0.07692307692307693,0.6613520583780806,0.8692551287346827,0.9560439560439562,0.7137271100096378,0.849373537105879,0.9641470466749277,-0.8834641332782597,0.9780219780219781,0.9946027812198815,-0.8834641332782597,0.21116196663221612
22,Non-breeding,0,1.0,0.2731928954977282,-0.9818256918628666,0.07692307692307693,0.9618339529120197,0.5252650419936665,0.9263114415530772,0.9839735646427095,1.0,0.9999449263389782,0.9839735646427095,0.2645061272700428
22,Breeding,0,0.3406593406593407,0.7496902106567535,0.7479278535040617,0.9780219780219781,-0.896902106567534,0.8669420349717747,0.9799531873881315,-0.9776951672862454,1.0,0.9927302767451466,-0.9776951672862454,0.2645061272700428
23,Non-breeding,0,1.0,0.9050530083987333,-0.9320941759603469,0.7582417582417583,-0.21448437284868513,0.931212997384001,0.9444306760291891,0.974005231997797,1.0,1.0,0.974005231997797,0.1564742359368079
23,Breeding,0,-0.42857142857142855,0.7107531323144706,0.9069805865344898,0.8461538461538461,0.796392675203084,0.9209142227729588,0.968552939556657,-0.9608977006746523,0.9780219780219781,0.9951535178300978,-0.9608977006746523,0.1564742359368079
24,Non-breeding,0,0.9780219780219781,0.7695718022855569,-0.957923722979485,0.6043956043956044,-0.049979347377116894,0.8963513699573178,0.942558171554454,0.9670108770480517,1.0,0.9997797053559134,0.9670108770480517,0.1997490033958364
24,Breeding,0,-0.23076923076923078,0.5238882004681261,0.8418284455459176,0.9780219780219781,0.44122263527467986,0.7429161503510945,0.9756023681674239,-0.936665289825141,0.9780219780219781,0.994382486575795,-0.936665289825141,0.1997490033958364
