Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.11,12.496633907784608,12.434785924470825,0.061847983313782606,0.24049673798310867,0.05783868098051602,0.722438180382495,0.6054564628210017,0.5256164836020871,0.02022171089999118,-0.28855424576346966,0.4332735312061963,4.474256666011561e-15,0.9999999999999956,1.661898041472552e-25,0.005615675266779638,"{'sigma': 0.09815248907290203, 'lam': -0.42625532345220796}","{'sigma': 0.03510285368814681, 'mu': -0.07421181334915938, 'w0': 0.21925940498595284, 'delta': 2.620637040706697e-11, 'psi': 0.2}",{'sigma': 0.10160816323786907},0.011231350533559276,0.19418407099122392,0.8964111037504487
0.12,14.392944702137228,14.21491231555279,0.1780323865844391,0.2481750482419216,0.06159085456988011,0.7527161147896391,0.6863339491507257,0.5986354108114176,0.017306315631523614,0.05685353183474372,0.007645583526549769,1.6235965979651258e-19,1.0,6.74275030585874e-31,0.00645578725541486,"{'sigma': 0.09248972709996452, 'lam': -0.37012495702508597}","{'sigma': 0.03525436915838487, 'mu': -0.07159427019702447, 'w0': 0.21152585253050496, 'delta': 6.183320522268332e-11, 'psi': 0.2}",{'sigma': 0.10251635688998914},0.01291157451082972,0.20963460567315934,0.9205298952638896
0.13,17.417552960746875,17.410234204717977,0.007318756028897866,0.23436555922274635,0.05492721534979062,0.6984062379845275,0.5970683067332383,0.5140065454069528,0.014096231011322308,-0.3198376879764683,0.3899253640093935,7.170522179159676e-05,0.9999282947782084,5.568656178836179e-20,0.004839291738700447,"{'sigma': 0.08802150763320579, 'lam': -0.39020209407579776}","{'sigma': 0.0315424980510457, 'mu': -0.07242071467920796, 'w0': 0.21396758945276506, 'delta': 5.276046266544654e-11, 'psi': 0.2}",{'sigma': 0.09868304050068068},0.009678583477400894,0.1762074304288901,0.8883979738764533
0.14,19.304002873385684,19.23621751839477,0.06778535499091376,0.24321407537685824,0.05915308646142008,0.7139450480828935,0.6001934416677841,0.48266706000081583,0.012768654729850087,0.18138885896305768,0.37616091879005487,2.3141835853886625e-10,0.9999999997685816,1.1531361963403526e-25,0.0065194919006036755,"{'sigma': 0.09987505502290726, 'lam': -0.38125842626712103}","{'sigma': 0.03719287039580754, 'mu': -0.07309298135422759, 'w0': 0.2159538067485238, 'delta': 1.3322676295501878e-15, 'psi': 0.2}",{'sigma': 0.10899003126707806},0.013038983801207351,0.22042778460446755,0.8630872260437428
0.15,20.965507455136805,21.154237648170756,-0.1887301930339511,0.215947491161321,0.046633318938868816,0.613028634814856,0.5032672397649404,0.37148001121579344,0.010157981737063901,0.07576978286318614,0.2118297984335568,0.9999999999658726,3.411910143603701e-11,8.131281762381928e-15,0.004277500961268825,"{'sigma': 0.09841004851736558, 'lam': -0.47065329287292323}","{'sigma': 0.03591402503965169, 'mu': -0.1147458778318391, 'w0': 0.33901762811827824, 'delta': 6.063129998068462e-10, 'psi': 0.2}",{'sigma': 0.09891120769510561},0.00855500192253765,0.18345256390076636,0.8353689868003737
0.16,23.5797040196439,23.92265671733943,-0.34295269769553016,0.23707939751460846,0.05620664072588974,0.7118714382502943,0.6271379306683617,0.5146106801871387,0.010054534895901319,-0.5594267206561514,2.5128455313123244,2.763518972957611e-06,0.9999972364810271,4.1594385065677835e-23,0.0,"{'sigma': 0.09230591867265031, 'lam': -0.36963932544544686}","{'sigma': 0.03469818187318352, 'mu': -0.07280079046226651, 'w0': 0.21509052638692427, 'delta': 5.810907310888069e-13, 'psi': 0.2}",{'sigma': 0.10337422288794616},0.011438262562831387,0.20350375712033486,0.8760218727567092
0.17,25.709203771812902,25.819213120216475,-0.11000934840357246,0.22120655335091532,0.04893233924539135,0.6513691192654718,0.5238001230092167,0.4125182806863303,0.008533944830199034,-0.01264223789094006,0.2330950644656851,0.9998832906996006,0.00011670930039930048,1.1859678069333152e-20,0.0,"{'sigma': 0.08873503076927024, 'lam': -0.3805819123257179}","{'sigma': 0.03219280008113934, 'mu': -0.07332398309940946, 'w0': 0.21663630330246392, 'delta': 2.262856568790994e-11, 'psi': 0.2}",{'sigma': 0.10112777120718816},0.009426601387825083,0.19264563135948826,0.8359129474092093
0.18,28.059873508763612,28.10781558693977,-0.047942078176156144,0.2223867622598896,0.04945587202843666,0.6778753864990087,0.5753507413568079,0.47200086696286453,0.007896664908338175,-0.19469649991568033,0.5910431752295279,2.139912224248587e-09,0.9999999978600878,1.1498370995456702e-21,0.004854475631369592,"{'sigma': 0.09290259674595096, 'lam': -0.42801719813695094}","{'sigma': 0.031980008354498324, 'mu': -0.07320282893485675, 'w0': 0.2162783523172017, 'delta': 1.4876988529977098e-14, 'psi': 0.2}",{'sigma': 0.09758429315862448},0.009708951262739183,0.19631543969453472,0.8556191511211965
0.19,30.31529836957478,30.314782810178063,0.0005155593967174354,0.2248105019943422,0.05053976180694813,0.672099880487831,0.5437257899571784,0.45482682981556055,0.007380859585748021,0.2476016006602042,-0.06661702854476698,0.9999999999995282,4.701445912503183e-13,1.8655734075603114e-15,0.00471943209666135,"{'sigma': 0.09306228764142645, 'lam': -0.4259044871268878}","{'sigma': 0.03654557479805143, 'mu': -0.11819316251356615, 'w0': 0.3492026582055173, 'delta': 1.1781176034730834e-10, 'psi': 0.2}",{'sigma': 0.09840770665945159},0.0094388641933227,0.18676115311697133,0.836063068851846
0.2,32.42426764302323,32.566574323248844,-0.14230668022561588,0.20241526316010108,0.04097193876017297,0.6112031549037912,0.5012613845626108,0.4239755307705494,0.006206101778949867,0.2190343207876359,0.3327039774980893,6.926675070880012e-07,0.9999993073324929,3.680587506976024e-18,0.003806247131034243,"{'sigma': 0.08777621047261222, 'lam': -0.46069806371510724}","{'sigma': 0.028744511442208243, 'mu': -0.07380164178510618, 'w0': 0.2180475497772367, 'delta': 3.308220364317549e-11, 'psi': 0.2}",{'sigma': 0.09037329428381473},0.007612494262068486,0.18579775554746894,0.8056012309146818
0.21,34.85639033971904,34.7280871320571,0.12830320766194347,0.21678387890991377,0.04699525015522815,0.6692909271116573,0.5532041909973688,0.45861537511344114,0.006215556777526721,-0.08431414366391095,-0.23045728442885402,0.9999999999999909,9.13818164857627e-15,1.1899695165419077e-18,0.0,"{'sigma': 0.0906840557635622, 'lam': -0.414404297607752}","{'sigma': 0.03586266736110599, 'mu': -0.11474166767588856, 'w0': 0.33900518860185525, 'delta': 2.982214475366618e-11, 'psi': 0.2}",{'sigma': 0.09663598388051871},0.00863443344831582,0.18372991780649672,0.8422314050977571
0.22,36.98089876271116,37.129887859635026,-0.14898909692386297,0.20745777618144326,0.04303872889814981,0.5587644633378119,0.4666264352468928,0.3695405706085933,0.005591285136655862,0.13722190479604018,-0.09190236560721927,0.999999999999257,7.394391071204351e-13,3.6454278339929545e-15,0.0037296775844278614,"{'sigma': 0.09387263475844523, 'lam': -0.47737563031525143}","{'sigma': 0.03385705394164762, 'mu': -0.11622373456160284, 'w0': 0.3433839672193222, 'delta': 2.6632029914708255e-12, 'psi': 0.2}",{'sigma': 0.09558474648011556},0.007459355168855723,0.17331727399543143,0.8012591508709738
0.23,39.30865673185434,39.42379246462227,-0.11513573276792499,0.22406985672567928,0.05020730069306644,0.634296671618781,0.5333756480865186,0.4709769664626329,0.005701898880390665,0.060193222182214706,0.055398912114441146,4.4393765525441523e-10,0.9999999995560624,4.3839435804888064e-24,0.00545439891654335,"{'sigma': 0.09698177899677535, 'lam': -0.4046904752792062}","{'sigma': 0.035446776286890413, 'mu': -0.07470804228977701, 'w0': 0.2207255174085364, 'delta': 1.556155204696097e-11, 'psi': 0.2}",{'sigma': 0.10482580662864292},0.0109087978330867,0.21727513095706397,0.7832307455069588
0.24,41.72102712155458,41.674953067327955,0.04607405422662225,0.19433278221299277,0.03776523024264248,0.5607808345918387,0.458240744314614,0.3394298623110201,0.004683502150422397,-0.12097439182410491,0.21737969570578183,0.0001300787620726258,0.9998699212379273,6.217065912931421e-17,0.002999012919908811,"{'sigma': 0.09859757244342, 'lam': -0.5365242469442295}","{'sigma': 0.03061586226619517, 'mu': -0.08106431726019503, 'w0': 0.23950518339305263, 'delta': 2.4651392038776976e-12, 'psi': 0.2}",{'sigma': 0.09148270037586859},0.005998025839817622,0.15882402414284694,0.7656901946800279
0.25,43.58136839645569,43.646737382457886,-0.06536898600219843,0.19862971836472215,0.03945376501764884,0.5442224383634632,0.4018323604725534,0.3005800218365747,0.004549361451174142,-0.23189026413485178,0.17199114451626724,0.999952834078026,4.716588561431981e-05,3.635965873624574e-11,0.003071166077012713,"{'sigma': 0.1074456160007955, 'lam': -0.6084883009050754}","{'sigma': 0.03460009011272458, 'mu': -0.1160725338857107, 'w0': 0.3429372437065814, 'delta': 1.1422796042381833e-10, 'psi': 0.2}",{'sigma': 0.09321610169494386},0.006142332154025426,0.15568430924850335,0.7530538047949659
0.26,45.950289726878154,46.02356159701814,-0.07327187013998326,0.19999429908597993,0.039997719666892396,0.5875550500049866,0.4604199402195807,0.3618298542515323,0.004365920146417466,0.20952228070427525,0.12263816219757576,0.0004996472742012472,0.9995003527257987,7.805322402730247e-18,0.003735830741381469,"{'sigma': 0.09388331949985418, 'lam': -0.47882424375031407}","{'sigma': 0.030411868117019125, 'mu': -0.07616035915455166, 'w0': 0.22501639939128387, 'delta': 3.204725373961992e-11, 'psi': 0.2}",{'sigma': 0.09331260549182513},0.007471661482762938,0.18680218634932608,0.8123016348239331
0.27,47.6181012782396,47.70657508510869,-0.08847380686908934,0.1907675910860214,0.036392273808763476,0.5471781564365514,0.3733819096807611,0.275774846616492,0.003979717179152362,-0.08332209886665233,-0.1586878409525012,0.9999999995806572,4.19337915376959e-10,4.791540138626821e-15,0.002649044413125738,"{'sigma': 0.10278070038192012, 'lam': -0.6092507564033527}","{'sigma': 0.034009113830498316, 'mu': -0.12190945140319931, 'w0': 0.3601824643093887, 'delta': 5.300235805805187e-10, 'psi': 0.2}",{'sigma': 0.08933119711305941},0.005298088826251476,0.14558279194348295,0.7395564707164675
0.28,50.2902853459783,50.143947240178996,0.14633810579930184,0.1867413739565557,0.03487234074718218,0.48867096114916886,0.36784911330879533,0.2653251421238296,0.0037272274652803213,-0.18589381992139842,0.10882199418586545,0.9999999999997684,2.316634826648434e-13,3.597987317185766e-17,0.0,"{'sigma': 0.10676044097093564, 'lam': -0.6794689257934077}","{'sigma': 0.0335286080121564, 'mu': -0.12658023879988511, 'w0': 0.3739823431042739, 'delta': 4.5952797123050004e-11, 'psi': 0.2}",{'sigma': 0.08797216994951271},0.004290118920344029,0.12302354325585924,0.7457981577080993
0.29,52.091841015320114,52.18246246852324,-0.09062145320312709,0.19857712251351084,0.039432873585745896,0.5663260230572433,0.43829068882088024,0.3117412359606391,0.0038051690213612103,0.14722903236126714,0.23505814535523484,0.9999999928899286,7.1100348598650346e-09,3.648695321766075e-14,0.003270930791035052,"{'sigma': 0.10096938930382353, 'lam': -0.5482438249457053}","{'sigma': 0.03565383163900426, 'mu': -0.12019900044409537, 'w0': 0.35512892286545344, 'delta': 3.2946778638631713e-10, 'psi': 0.2}",{'sigma': 0.09275120380761746},0.006541861582070104,0.16589867760575383,0.7488663686717896
0.3,54.49955653745556,54.44713615346498,0.05242038399057947,0.19770691383753666,0.03908802377916314,0.5626820628392486,0.4588806318398282,0.34992589886631226,0.0036431103653761575,-0.015989274093204837,0.46411245356868314,0.9999999999995783,3.3526163838145895e-13,8.628157215458289e-14,0.003149427637583951,"{'sigma': 0.0906422558570242, 'lam': -0.5182205866120224}","{'sigma': 0.030989093712012528, 'mu': -0.11956946099653099, 'w0': 0.3532689432350052, 'delta': 1.0717959852968306e-10, 'psi': 0.2}",{'sigma': 0.08858975857708765},0.006298855275167902,0.16114540122966425,0.7732468689166564
0.31,56.154707518964024,56.30615336553541,-0.15144584657138438,0.18579293481126963,0.03451901462578469,0.48280060022898086,0.3258058969957611,0.23346793538851698,0.0032963063486089843,0.1405191157431483,-0.15758457259242123,0.9999999999896303,1.034052701764167e-11,2.91979786130317e-14,0.002459598938434825,"{'sigma': 0.10432000483283453, 'lam': -0.6538641082561898}","{'sigma': 0.03189564894412644, 'mu': -0.1208771933341779, 'w0': 0.35713264900957, 'delta': 7.455658312949254e-11, 'psi': 0.2}",{'sigma': 0.08828611730234835},0.00491919787686965,0.14250690322994197,0.712829946811487
0.32,58.257080552693125,58.37330490949685,-0.11622435680372689,0.18389396701963281,0.0338169911062178,0.47068348119288295,0.3308176099806556,0.2137225847382385,0.003148315199461003,0.06767483837026278,-0.07231783167489121,0.9999999999999809,1.7816414261493574e-14,1.424007885985598e-15,0.0022670800924656474,"{'sigma': 0.10880483073913277, 'lam': -0.709590052907155}","{'sigma': 0.03132596590806691, 'mu': -0.12281994913805794, 'w0': 0.3628725370172891, 'delta': 2.892541761667644e-10, 'psi': 0.2}",{'sigma': 0.08766567154636166},0.004534160184931295,0.13407934995427834,0.6995085799320051
0.33,60.712404683461706,60.60674478855128,0.10565989491042416,0.18531611534262035,0.034342062605679374,0.5477598140438908,0.3665192723912874,0.27270628603537816,0.0030673023794733733,0.13906735545458537,0.06769542366049279,0.9999999994224167,5.773644772082278e-10,2.190166608488059e-13,0.0027526491892184146,"{'sigma': 0.09848556158282236, 'lam': -0.5947631158006095}","{'sigma': 0.03120708108728243, 'mu': -0.11671587332481903, 'w0': 0.34483799673422394, 'delta': 1.546671457575144e-09, 'psi': 0.2}",{'sigma': 0.08697384697555993},0.005505298378436829,0.16030773811257282,0.7314190360048951
0.34,62.21069734877492,62.470859565234605,-0.2601622164596833,0.18703917951760732,0.03498365467461974,0.5132740543332843,0.36023389036762493,0.2810032881609805,0.0029948287802090186,-0.0009846004333377398,0.05559882881779383,0.9999999999999967,3.4179408335767505e-15,3.467295190620851e-17,0.0,"{'sigma': 0.09948851003315723, 'lam': -0.6261576937295259}","{'sigma': 0.031509783253220736, 'mu': -0.12300492290993637, 'w0': 0.3634190433114842, 'delta': 7.289679970767793e-11, 'psi': 0.2}",{'sigma': 0.08634937267973151},0.004740215361329784,0.1354980034366952,0.7124087367451817
0.35000000000000003,64.52627778485356,64.57169199838671,-0.04541421353314945,0.18955056111238608,0.035929415218020413,0.44696632582239837,0.3288543916744347,0.2530436571207022,0.002940302960192618,-0.06502913109926103,-0.03179341001331623,0.999999999983259,1.4143410417792781e-11,2.5977385119320615e-12,0.002561466983934963,"{'sigma': 0.10420946642665718, 'lam': -0.6620553775411033}","{'sigma': 0.03160758633691185, 'mu': -0.1229685071885287, 'w0': 0.36331145270234644, 'delta': 8.26516632912444e-12, 'psi': 0.2}",{'sigma': 0.08862322476258218},0.005122933967869926,0.14258328271651124,0.7018811058958226
0.36,66.6572459222669,66.37122769444514,0.28601822782175645,0.17943173955281866,0.03219574915895055,0.4609622449660558,0.341891263668532,0.2231109700278736,0.0027000358723050055,-0.10824068210354057,0.35464156429035826,0.9999999999999927,7.26768989874121e-15,9.821340604770161e-17,0.0,"{'sigma': 0.10048798668965132, 'lam': -0.6539790142071622}","{'sigma': 0.0308638662236691, 'mu': -0.12281968293201406, 'w0': 0.3628717505067063, 'delta': 2.8658897477384926e-10, 'psi': 0.2}",{'sigma': 0.08514692866482651},0.004407757649693358,0.1369049568603681,0.7064630518045572
