Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.1,8.78024394506624,8.802399147648194,-0.022155202581952693,0.20906262728058708,0.04370718212546167,0.8820162037398243,0.7619559099027746,0.6714326787007124,0.023476336043899794,0.1499239644585001,0.5034473162786511,1.4025767710828682e-08,0.9999999859742323,1.837294570031761e-26,0.0,"{'sigma': 0.07269123299333782, 'lam': -0.3178373294452035}","{'sigma': 0.02968024142465775, 'mu': -0.07092734171671466, 'w0': 0.20955540687303686, 'delta': 1.3279599642146422e-11, 'psi': 0.2}",{'sigma': 0.08338710159947467},0.009234106065638202,0.2112720522483389,0.9425111235322856
0.11,11.768551533469463,11.63133705241611,0.137214481053352,0.21177879688970228,0.044850258812049765,0.8813245267271803,0.7634609827602687,0.6583022341981173,0.0190323156946309,-0.31885618185170644,0.5186813373770442,1.7164527128728797e-28,1.0,7.008649344873022e-40,0.0051956108733652905,"{'sigma': 0.08424761320205916, 'lam': -0.37499080583227906}","{'sigma': 0.03303550972146185, 'mu': -0.0733177140542669, 'w0': 0.21661778179001495, 'delta': 4.5494275013879815e-10, 'psi': 0.2}",{'sigma': 0.08659926757927186},0.010391221746730581,0.23168699628415093,0.8964111037504487
0.12,13.26328177703279,13.276197811343689,-0.012916034310899605,0.22204308598788128,0.049303132035021645,0.8964649506526198,0.8027350400844606,0.7086240616253621,0.016581816554033364,-0.04286358893033974,-0.12774318202491136,1.5330053561033394e-32,1.0,3.4714728602957926e-44,0.0059615924072920455,"{'sigma': 0.08417713448631771, 'lam': -0.34969273138887313}","{'sigma': 0.03361828678332457, 'mu': -0.07133971231351333, 'w0': 0.21077375914810098, 'delta': 1.265454407928246e-11, 'psi': 0.2}",{'sigma': 0.08930002065056723},0.011923184814584091,0.241834226801548,0.9205298952638896
0.13,16.334808931569533,16.289324056434147,0.04548487513538646,0.20184425683146498,0.040741104015846394,0.8839764896596234,0.7657971726324263,0.6724297266834174,0.013025702128179422,-0.3831259563753918,0.6872567024432442,4.506266264144126e-17,1.0,2.0893043295612836e-32,0.00423532052852517,"{'sigma': 0.0739838019730692, 'lam': -0.34936322090140326}","{'sigma': 0.02918094437268004, 'mu': -0.07211231889607483, 'w0': 0.21305643155606807, 'delta': 7.549516567451064e-13, 'psi': 0.2}",{'sigma': 0.0800497806997027},0.00847064105705034,0.2079138811200515,0.8883979738764533
0.14,17.975180556894852,17.911669638371812,0.0635109185230398,0.2156337049091265,0.046497894692836245,0.8818173725986935,0.757468039771737,0.6365487106535567,0.012164629459928503,0.07976136726030593,0.3205634658247747,9.361175833857253e-20,1.0,3.5186225552199297e-35,0.0064258082388959125,"{'sigma': 0.08762433398418294, 'lam': -0.3321016819092715}","{'sigma': 0.03595170653599844, 'mu': -0.07208267300907045, 'w0': 0.2129688425481874, 'delta': 6.681322162194192e-12, 'psi': 0.2}",{'sigma': 0.09588402485542502},0.012851616477791825,0.276391362720597,0.8630872260437428
0.15,19.3209187764459,19.651673935645267,-0.3307551591993665,0.18210839052198508,0.03316346589850782,0.8384016405490301,0.6853150094271155,0.5487155859993115,0.009223358228963438,-0.00020015123792926795,0.04240871244972127,2.239827639788763e-16,0.9999999999999998,7.4682186344105985e-31,0.004046074143480031,"{'sigma': 0.07982256414621708, 'lam': -0.389792306070488}","{'sigma': 0.03004920074702322, 'mu': -0.07419742917345662, 'w0': 0.21921690679774503, 'delta': 1.8769430454312896e-12, 'psi': 0.2}",{'sigma': 0.08156996650903758},0.008092148286960062,0.24400791858501633,0.8353689868003737
0.16,21.934709274466286,22.181060732375254,-0.24635145790896829,0.21685796473435323,0.04702737686872599,0.8888212617823299,0.7727071865155585,0.6642912525562195,0.00991684797872898,-0.7591795302879379,3.9786854502860884,3.029188029966303e-15,0.9999999999999969,1.3994228756610932e-31,0.0,"{'sigma': 0.08177537592304472, 'lam': -0.3260841449542946}","{'sigma': 0.03353051310212685, 'mu': -0.07161416610162474, 'w0': 0.2115846350803197, 'delta': 0.0, 'psi': 0.2}",{'sigma': 0.09080539203658952},0.011422826543198388,0.24289737816090617,0.8760218727567092
0.17,23.75153685233737,23.87212605829583,-0.1205892059584599,0.19435526416420684,0.03777396870833863,0.8526155577781228,0.7035730682040112,0.5671162204533136,0.008098916808417452,0.059814196624799566,0.25342559409428433,4.161817834628746e-05,0.9999583818216538,2.9885816831867215e-25,0.0,"{'sigma': 0.07817877604195873, 'lam': -0.33327690236508545}","{'sigma': 0.03173858025959775, 'mu': -0.07305182770261331, 'w0': 0.2158322181213746, 'delta': 1.706141894430857e-10, 'psi': 0.2}",{'sigma': 0.08726598280537384},0.009342486737414744,0.24732605698782145,0.8359129474092093
0.18,25.985786004281614,26.006305760435804,-0.020519756154190105,0.20082986144321316,0.0403326332473002,0.8668197736388644,0.7422854973479055,0.6239623006818148,0.007713888742099951,-0.3815337917029274,1.199527098531279,5.725482583643533e-23,1.0,5.085673264979433e-35,0.004826803731108363,"{'sigma': 0.08169575077277602, 'lam': -0.377467552876539}","{'sigma': 0.03124926166029951, 'mu': -0.07255028610486747, 'w0': 0.21435040929306995, 'delta': 6.41491304520514e-11, 'psi': 0.2}",{'sigma': 0.08426748545425222},0.009653607462216727,0.23934979407432871,0.8556191511211965
0.19,27.83695222451185,27.98868159321272,-0.15172936870087028,0.2006139352623532,0.04024595102144763,0.8699757128148792,0.7313499696209285,0.5957796410699042,0.007137064795379296,0.28016673432196904,-0.21243342720385272,2.345242052919322e-11,0.9999999999765476,3.469824100757382e-27,0.004702297747458638,"{'sigma': 0.08179398874983972, 'lam': -0.3686462166715452}","{'sigma': 0.03082853830206478, 'mu': -0.07220186734229972, 'w0': 0.21332100316716573, 'delta': 5.653255641391297e-13, 'psi': 0.2}",{'sigma': 0.085895559740666},0.009404595494917276,0.23367805347438392,0.836063068851846
