Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.1,0.0,6.734994959596704,6.249171155213,0.48582380438370354,0.39136333081179275,0.15316525670410075,0.8779744539203664,0.7811038083961965,0.697645779726725,0.0622537737408078,-0.037166815421600115,0.6576414671365595,0.022103643049133787,0.14431238209482267
Breeding,0.1,0.0,6.655559275354188,6.226327573857646,0.42923170149654144,0.4066696333054026,0.16538019065275064,0.8797150436010931,0.7817542836342337,0.6984579337934922,0.06500392172213193,-0.017206819455568234,0.5667986257102722,0.023436805599525084,0.14171470904115369
Non-breeding,0.2,-0.1,7.234559879065803,6.666254730213883,0.5683051488519206,0.4204438517344987,0.17677303246134116,0.8796244032571163,0.7850115626843945,0.7027599881604648,0.06281892646747889,-0.02675240328696403,0.6616962446478205,0.025244527110865635,0.14280756945427414
Breeding,0.2,-0.1,6.463458675090166,6.00867437146409,0.45478430362607636,0.39843847186506054,0.15875321586216465,0.8824136858109534,0.7865192767973505,0.7043659041744993,0.06613496365315648,-0.005650539565683441,0.5407507772427279,0.022324938968541447,0.14062668807871442
Non-breeding,0.2,0.0,13.629713205449052,12.682630266487417,0.9470829389616355,0.5429401168741417,0.29478397051130667,0.7575553237443016,0.5848306097243421,0.45116633918335974,0.042648740580098925,-0.17225573126544128,0.5682540651126271,0.04069563390406833,0.13805239760317095
Breeding,0.2,0.0,13.434334987887448,12.578234117936569,0.856100869950879,0.5833797575585769,0.34033194152910395,0.7672227667470376,0.5886305199625088,0.45537865420205564,0.046246069401094596,-0.15151174706954904,0.4334839489753421,0.04648755255011595,0.13659473848163764
Non-breeding,0.3,-0.2,7.754672825185452,7.09182055699893,0.6628522681865219,0.4588760830110548,0.21056725955956845,0.881168459960583,0.7887355852845028,0.7076395913184509,0.06457171950518506,-0.018477023136609566,0.6126337903550545,0.029809929191597865,0.14156963078661705
Breeding,0.3,-0.2,6.263207892809625,5.782909049284886,0.4802988435247393,0.3963839676419871,0.15712024980360384,0.8850905704456615,0.7912166717428353,0.7101555046769048,0.0685063590570951,0.00318890317047281,0.473007211945459,0.021967303473640433,0.13981204523986554
Non-breeding,0.3,-0.1,14.54484911005238,13.517375788247238,1.027473321805143,0.5782350385535431,0.3343557598110175,0.7584440224533884,0.5885313204572536,0.45534661540110866,0.042656623500203175,-0.16918315651932117,0.564533599429461,0.045896767654245864,0.13726925978540747
Breeding,0.3,-0.1,12.95909798893977,12.124862272827713,0.8342357161120582,0.5716023441497223,0.32672923983745766,0.7718893824615475,0.595322499223507,0.46227077619964835,0.0470588619551008,-0.14298901014586993,0.386528639724065,0.044646615497812285,0.13664713791769365
Non-breeding,0.3,0.0,20.457720642376145,19.156054861557628,1.3016657808185172,0.6721900134604317,0.4518394141959353,0.648926401868984,0.4287191291846365,0.2787202040537225,0.03500043611603947,-0.1279046101324186,0.3440841444435078,0.051915643507731875,0.11489843930529534
Breeding,0.3,0.0,20.090004349438814,18.911690565605717,1.1783137838330973,0.7460928090125326,0.5566544796602114,0.6701737182757916,0.43589639436708183,0.28438313637761825,0.03937502087092326,-0.12131407628174004,0.20495231129336067,0.062220984717823086,0.11177667115120231
Non-breeding,0.4,-0.3,8.294973195398905,7.523823383648677,0.7711498117502273,0.5079572865752098,0.25802060498484974,0.8825594541910545,0.7921246548031168,0.7120938256104921,0.06750455543458435,-0.013299312542013435,0.5248246213642591,0.03628063635982055,0.1406113917218001
Breeding,0.4,-0.3,6.056225817446586,5.550247137263964,0.505978680182622,0.3995092571555639,0.15960764655299048,0.8875940522054732,0.7955724748664305,0.7154978651197054,0.07209188296154709,0.00889543185082142,0.37986239782980263,0.022229504292750498,0.13927593553840292
Non-breeding,0.4,-0.2,15.492670382801757,14.370729297989534,1.1219410848122227,0.6269207462324664,0.3930296220566726,0.7595089837571347,0.5925725139168945,0.45998498438000723,0.04354360503218213,-0.16489984630256257,0.5198109921609096,0.053767414529416774,0.13680244824310933
Breeding,0.4,-0.2,12.476811609017656,11.658467969020787,0.8183436399968684,0.5692843521744105,0.32408467363063825,0.776766717325569,0.6023181195206335,0.4694779951978264,0.0487989812591591,-0.13500334738390707,0.3128613897768697,0.044432379109474125,0.13710114277145374
Non-breeding,0.4,-0.1,21.79127013046469,20.411736358646028,1.3795337718186609,0.7112099319039988,0.5058195672388907,0.6486761075620623,0.4314157584364444,0.2806920528506646,0.0347755607859976,-0.13761456632806954,0.334747407809842,0.056167460307946816,0.11104248223244358
Breeding,0.4,-0.1,19.339460094716205,18.220667507376685,1.1187925873395201,0.7319959977434778,0.5358181407124696,0.6771854158159027,0.4435247418167022,0.2903248705309965,0.040128226814186714,-0.12444649055337581,0.15929115139649153,0.05868538534205907,0.1095248198652363
Non-breeding,0.4,0.0,27.176320795651073,25.670590686357723,1.5057301092933493,0.7871347783844712,0.6195811593423707,0.5467706297808987,0.3024905945495346,0.16046455693741257,0.030610548756097485,-0.08145677196600135,0.24194818722122058,0.06358735858773164,0.10262958714758832
Breeding,0.4,0.0,26.58141503350832,25.226351444452824,1.3550635890554972,0.9015422623766727,0.8127784508512492,0.5827574303877185,0.31273419662042656,0.16569653157185918,0.035689971420024696,-0.08784933524295763,0.11524754280798451,0.08126377048704427,0.09998268335231339
Non-breeding,0.5,-0.4,8.855065612510232,7.9597511710111535,0.895314441499079,0.5688875525396672,0.3236330474345726,0.883772840342182,0.7950886930818793,0.7160101392605939,0.07159986250620355,-0.010961322613958803,0.41724168754264207,0.045280576660250774,0.139913327823559
Breeding,0.5,-0.4,5.843916391868239,5.312052571302222,0.5318638205660173,0.406782679864662,0.1654721486378761,0.8898192498225428,0.7993996118185973,0.7201726096146546,0.07685862818124767,0.012597927787252937,0.27656995285699093,0.023000231454429795,0.13899759955836524
Non-breeding,0.5,-0.3,16.471382301036996,15.239519380834878,1.2318629202021185,0.6909297614013583,0.47738393519013794,0.760624362069134,0.5965686122352277,0.4646250584448782,0.045300375871361626,-0.160603122160579,0.44092037270828044,0.06525810343893512,0.136699412419363
Breeding,0.5,-0.3,11.989302044052454,11.181363312119947,0.8079387319325075,0.574930587218695,0.33054518011963346,0.7815579783867498,0.6091543439816417,0.47653571189092325,0.05144758836786429,-0.12858533076300918,0.2271178487479822,0.04557073437550579,0.1378653724704516
Non-breeding,0.5,-0.2,23.16919362687392,21.695510348505653,1.4736832783682665,0.7668061062747795,0.5879916046202884,0.6486501047625033,0.43460108765070976,0.28323188623513657,0.03529734982567997,-0.14643808991992754,0.30331056418730096,0.0632407012390787,0.10755374862863577
Breeding,0.5,-0.2,18.58172561674304,17.51118557154344,1.0705400451995999,0.7302171443359002,0.533217077882077,0.6845431583561609,0.45166555881766474,0.2968100265719569,0.04168721921578813,-0.12780344201675775,0.10425386744384638,0.05882709607437467,0.1103248536375358
Non-breeding,0.5,-0.1,28.92864697489954,27.35058536207532,1.578061612824218,0.8280663856644915,0.6856939390674543,0.5457552853361156,0.3048403581580477,0.16110653262011815,0.030237946030680862,-0.09842520199592238,0.23798205668647943,0.06794252242722668,0.09908578529894649
Breeding,0.5,-0.1,25.565102174375756,24.296444690575203,1.2686574838005527,0.8861355958560316,0.7852362942431242,0.5928690186447562,0.32127102302274146,0.170476855389579,0.03644744240988679,-0.09789747979928587,0.07171182541225786,0.07736505401809396,0.09852455189003305
Non-breeding,0.5,0.0,33.83862820265864,32.221563965283515,1.617064237375125,0.8922377450930008,0.7960881937686427,0.4477198129153421,0.19923022103336493,0.08099899149531603,0.027658240427014764,-0.044611165532012276,0.2034181218526189,0.07011402040675818,0.0880731820363292
Breeding,0.5,0.0,32.96159503283596,31.52005374056735,1.4415412922686102,1.0526263181498743,1.1080221656617604,0.5011107140933008,0.21169081886172256,0.08455910576086355,0.033362653282016215,-0.060787197239626466,0.10156401980770023,0.09562182967390129,0.0862995638871463
Non-breeding,0.6,-0.5,9.43455761538138,8.397954930150792,1.0366026852305872,0.6427193711658878,0.4130881900718743,0.8847775648563767,0.7975532666793694,0.7192900770288029,0.07683050645925255,-0.009401780080079976,0.3032202334953144,0.05761343629963666,0.1394700639822512
Breeding,0.6,-0.5,5.6276657499464156,5.069748570428387,0.5579171795180287,0.41730447713461316,0.17414302663659287,0.8917597665089174,0.8026919106476046,0.7241937042532097,0.08279524545241464,0.015747110087886863,0.17614118631162945,0.024186386300336333,0.13888805522376296
