,Time,Non-breeding,Breeding,rb
0,991,3.175788039622158e-25,3.000430573902397e-25,0.0
1,992,3.000430573902397e-25,2.834755820126887e-25,0.0
2,993,2.834755820126887e-25,2.678229128058692e-25,0.0
3,994,2.678229128058692e-25,2.5303453692392297e-25,0.0
4,995,2.5303453692392297e-25,2.3906273068844404e-25,0.0
5,996,2.3906273068844404e-25,2.2586240557903943e-25,0.0
6,997,2.2586240557903943e-25,2.1339096272782784e-25,0.0
7,998,2.1339096272782784e-25,2.0160815544831436e-25,0.0
8,999,2.0160815544831436e-25,1.9047595935500766e-25,0.0
9,1000,1.9047595935500766e-25,1.7995844965464105e-25,0.0
0,991,1.038936690714354e-20,9.815697308121373e-21,0.01
1,992,9.91434670611561e-21,9.366906294173528e-21,0.01
2,993,9.461045267491717e-21,8.938634797879686e-21,0.01
3,994,9.028469571102735e-21,8.529944630658375e-21,0.01
4,995,8.615671999415193e-21,8.139940499566764e-21,0.01
5,996,8.221748261642594e-21,7.76776804603632e-21,0.01
6,997,7.845835412770046e-21,7.412611974280934e-21,0.01
7,998,7.487109963152561e-21,7.07369426527752e-21,0.01
8,999,7.14478607454588e-21,6.750272472406593e-21,0.01
9,1000,6.818113838617939e-21,6.4416380950191566e-21,0.01
0,991,2.4355124550945476e-16,2.3010307810892806e-16,0.02
1,992,2.3475146863100965e-16,2.2178919844813453e-16,0.02
2,993,2.2626963746024693e-16,2.1377570848913125e-16,0.02
3,994,2.180942642657808e-16,2.0605175481851517e-16,0.02
4,995,2.1021427638071372e-16,1.9860687616875843e-16,0.02
5,996,2.026190012058953e-16,1.9143098924954248e-16,0.02
6,997,1.9529815175503072e-16,1.8451437509102202e-16,0.02
7,998,1.882418127220601e-16,1.7784766588052163e-16,0.02
8,999,1.814404270519389e-16,1.7142183227483767e-16,0.02
9,1000,1.7488478299663117e-16,1.6522817117096026e-16,0.02
0,991,4.706917142914855e-12,4.4470153323290665e-12,0.03
1,992,4.582447111759088e-12,4.329418162003185e-12,0.03
2,993,4.461268574416691e-12,4.214930739100062e-12,0.03
3,994,4.343294490405524e-12,4.1034708292512464e-12,0.03
