,Time,Non-breeding,Breeding,rb
0,991,0.0,0.0,0.0
1,992,0.0,0.0,0.0
2,993,0.0,0.0,0.0
3,994,0.0,0.0,0.0
4,995,0.0,0.0,0.0
5,996,0.0,0.0,0.0
6,997,0.0,0.0,0.0
7,998,0.0,0.0,0.0
8,999,0.0,0.0,0.0
9,1000,0.0,0.0,0.0
0,991,5.651988254942413e-21,5.3399024594488095e-21,0.01
1,992,5.393569371379429e-21,5.0957526895515865e-21,0.01
2,993,5.146965855501178e-21,4.862765878265226e-21,0.01
3,994,4.911637487832983e-21,4.640431635409961e-21,0.01
4,995,4.68706874868849e-21,4.428262906746314e-21,0.01
5,996,4.472767688851738e-21,4.225794907014702e-21,0.01
6,997,4.268264851893626e-21,4.032584101758347e-21,0.01
7,998,4.073112245761978e-21,3.848207235699052e-21,0.01
8,999,3.8868823613923316e-21,3.6722604055373394e-21,0.01
9,1000,3.709167236189564e-21,3.504358175145819e-21,0.01
0,991,1.626297623901807e-16,1.5364983595064984e-16,0.02
1,992,1.5675376853174417e-16,1.4809829680353052e-16,0.02
2,993,1.5109008085464204e-16,1.4274734092883263e-16,0.02
3,994,1.456310285008512e-16,1.3758972103024626e-16,0.02
4,995,1.4036921776896473e-16,1.3261845166432275e-16,0.02
5,996,1.352975221002156e-16,1.278267997794401e-16,0.02
6,997,1.304090724263166e-16,1.2320827559660616e-16,0.02
7,998,1.2569724786604344e-16,1.1875662381974832e-16,0.02
8,999,1.2115566675796057e-16,1.1446581516358542e-16,0.02
9,1000,1.167781780171448e-16,1.1033003818760694e-16,0.02
0,991,3.2823010682970195e-12,3.101062273426336e-12,0.03
1,992,3.195503679724217e-12,3.019057575644394e-12,0.03
2,993,3.1110015670893346e-12,2.9392214155651433e-12,0.03
3,994,3.0287340339622395e-12,2.861496448232805e-12,0.03
4,995,2.94864198897325e-12,2.7858268451254382e-12,0.03
5,996,2.8706679033688073e-12,2.7121582540542636e-12,0.03
6,997,2.7947557696895543e-12,2.640437760123411e-12,0.03
7,998,2.7208510615411275e-12,2.5706138477220483e-12,0.03
8,999,2.648900694428776e-12,2.5026363635215966e-12,0.03
9,1000,2.5788529876276723e-12,2.4364564804514444e-12,0.03
0,991,5.114483933439543e-08,4.8320775100982306e-08,0.04
1,992,5.029278330526672e-08,4.7515767043641826e-08,0.04
2,993,4.9454922247103006e-08,4.672417015365315e-08,0.04
3,994,4.863101967637296e-08,4.594576100539451e-08,0.04
4,995,4.782084304928357e-08,4.518031989544191e-08,0.04
5,996,4.702416369614531e-08,4.442763078055852e-08,0.04
6,997,4.624075675683085e-08,4.368748121671712e-08,0.04
7,998,4.547040111730897e-08,4.295966229913843e-08,0.04
8,999,4.471287934723575e-08,4.224396860332836e-08,0.04
9,1000,4.396797763858564e-08,4.1540198127097635e-08,0.04
0,991,0.0004874151320108388,0.00046050138328033064,0.05
1,992,0.0004841083849372141,0.0004573772268761294,0.05
2,993,0.0004808240957089358,0.00045427428823499106,0.05
3,994,0.0004775621114779789,0.0004511924229490727,0.05
4,995,0.00047432228044099747,0.0004481314875975212,0.05
5,996,0.00047110445183212485,0.00044509133973967134,0.05
6,997,0.00046790847591582466,0.00044207183790829146,0.05
7,998,0.0004647342039797918,0.0004390728416028765,0.05
8,999,0.00046158148832790266,0.00043609421128298773,0.05
9,1000,0.0004584501822732157,0.0004331358083616397,0.05
0,991,0.2205179171804129,0.20831070946415253,0.06
1,992,0.22048839517693689,0.20828282584194996,0.06
2,993,0.22045897551325913,0.20825503887889785,0.06
3,994,0.2204296578084485,0.20822734821521702,0.06
4,995,0.22040044168316625,0.20819975349263223,0.06
5,996,0.22037132675965795,0.20817225435436448,0.06
6,997,0.22034231266174586,0.20814485044512396,0.06
7,998,0.22031339901482122,0.2081175414111025,0.06
8,999,0.22028458544583646,0.20809032689996654,0.06
9,1000,0.2202558715832977,0.20806320656084992,0.06
0,991,0.8733473287599154,0.8246396011937321,0.07
1,992,0.873347309493294,0.8246395830123122,0.07
2,993,0.8733472904808995,0.8246395650707998,0.07
3,994,0.8733472717193775,0.8246395473660294,0.07
4,995,0.8733472532054177,0.8246395298948771,0.07
5,996,0.8733472349357532,0.8246395126542599,0.07
6,997,0.8733472169071607,0.8246394956411365,0.07
7,998,0.873347199116459,0.8246394788525044,0.07
8,999,0.8733471815605092,0.8246394622854017,0.07
9,1000,0.8733471642362137,0.8246394459369054,0.07
0,991,1.5353981804994226,1.4491221521702375,0.08
1,992,1.535398180497127,1.4491221521680733,0.08
2,993,1.5353981804948849,1.4491221521659592,0.08
3,994,1.5353981804926944,1.449122152163894,0.08
4,995,1.5353981804905548,1.4491221521618765,0.08
5,996,1.5353981804884649,1.4491221521599063,0.08
6,997,1.5353981804864232,1.4491221521579811,0.08
7,998,1.535398180484429,1.449122152156101,0.08
8,999,1.535398180482481,1.4491221521542643,0.08
9,1000,1.535398180480578,1.4491221521524702,0.08
0,991,2.197818704423797,2.0733972308508393,0.09
1,992,2.197818704423797,2.0733972308508393,0.09
2,993,2.197818704423797,2.0733972308508393,0.09
3,994,2.197818704423797,2.0733972308508393,0.09
4,995,2.197818704423797,2.0733972308508393,0.09
5,996,2.197818704423797,2.0733972308508393,0.09
6,997,2.197818704423797,2.0733972308508393,0.09
7,998,2.197818704423797,2.0733972308508393,0.09
8,999,2.197818704423797,2.0733972308508393,0.09
9,1000,2.197818704423797,2.0733972308508393,0.09
0,991,2.860607809304123,2.6974632505627087,0.1
1,992,2.860607809304123,2.6974632505627087,0.1
2,993,2.860607809304123,2.6974632505627087,0.1
3,994,2.860607809304123,2.6974632505627087,0.1
4,995,2.860607809304123,2.6974632505627087,0.1
5,996,2.860607809304123,2.6974632505627087,0.1
6,997,2.860607809304123,2.6974632505627087,0.1
7,998,2.860607809304123,2.6974632505627087,0.1
8,999,2.860607809304123,2.6974632505627087,0.1
9,1000,2.860607809304123,2.6974632505627087,0.1
0,991,3.523765864128157,3.321320001866519,0.11
1,992,3.523765864128157,3.321320001866519,0.11
2,993,3.523765864128157,3.321320001866519,0.11
3,994,3.523765864128157,3.321320001866519,0.11
4,995,3.523765864128157,3.321320001866519,0.11
5,996,3.523765864128157,3.321320001866519,0.11
6,997,3.523765864128157,3.321320001866519,0.11
7,998,3.523765864128157,3.321320001866519,0.11
8,999,3.523765864128157,3.321320001866519,0.11
9,1000,3.523765864128157,3.321320001866519,0.11
0,991,4.187293238470559,3.94496727513951,0.12
1,992,4.187293238470559,3.94496727513951,0.12
2,993,4.187293238470559,3.94496727513951,0.12
3,994,4.187293238470559,3.94496727513951,0.12
4,995,4.187293238470559,3.94496727513951,0.12
5,996,4.187293238470559,3.94496727513951,0.12
6,997,4.187293238470559,3.94496727513951,0.12
7,998,4.187293238470559,3.94496727513951,0.12
8,999,4.187293238470559,3.94496727513951,0.12
9,1000,4.187293238470559,3.94496727513951,0.12
0,991,4.851190302394639,4.568404860481776,0.13
1,992,4.851190302394639,4.568404860481776,0.13
2,993,4.851190302394639,4.568404860481776,0.13
3,994,4.851190302394639,4.568404860481776,0.13
4,995,4.851190302394639,4.568404860481776,0.13
5,996,4.851190302394639,4.568404860481776,0.13
6,997,4.851190302394639,4.568404860481776,0.13
7,998,4.851190302394639,4.568404860481776,0.13
8,999,4.851190302394639,4.568404860481776,0.13
9,1000,4.851190302394639,4.568404860481776,0.13
0,991,5.515457426453063,5.191632547715842,0.14
1,992,5.515457426453063,5.191632547715842,0.14
2,993,5.515457426453063,5.191632547715842,0.14
3,994,5.515457426453063,5.191632547715842,0.14
4,995,5.515457426453063,5.191632547715842,0.14
5,996,5.515457426453063,5.191632547715842,0.14
6,997,5.515457426453063,5.191632547715842,0.14
7,998,5.515457426453063,5.191632547715842,0.14
8,999,5.515457426453063,5.191632547715842,0.14
9,1000,5.515457426453063,5.191632547715842,0.14
0,991,6.180094981688566,5.814650126386258,0.15
1,992,6.180094981688566,5.814650126386258,0.15
2,993,6.180094981688566,5.814650126386258,0.15
3,994,6.180094981688566,5.814650126386258,0.15
4,995,6.180094981688566,5.814650126386258,0.15
5,996,6.180094981688566,5.814650126386258,0.15
6,997,6.180094981688566,5.814650126386258,0.15
7,998,6.180094981688566,5.814650126386258,0.15
8,999,6.180094981688566,5.814650126386258,0.15
9,1000,6.180094981688566,5.814650126386258,0.15
0,991,6.845103339634695,6.4374573857592114,0.16
1,992,6.845103339634695,6.4374573857592114,0.16
2,993,6.845103339634695,6.4374573857592114,0.16
3,994,6.845103339634695,6.4374573857592114,0.16
4,995,6.845103339634695,6.4374573857592114,0.16
5,996,6.845103339634695,6.4374573857592114,0.16
6,997,6.845103339634695,6.4374573857592114,0.16
7,998,6.845103339634695,6.4374573857592114,0.16
8,999,6.845103339634695,6.4374573857592114,0.16
9,1000,6.845103339634695,6.4374573857592114,0.16
0,991,7.510482872316501,7.060054114822092,0.17
1,992,7.510482872316501,7.060054114822092,0.17
2,993,7.510482872316501,7.060054114822092,0.17
3,994,7.510482872316501,7.060054114822092,0.17
4,995,7.510482872316501,7.060054114822092,0.17
5,996,7.510482872316501,7.060054114822092,0.17
6,997,7.510482872316501,7.060054114822092,0.17
7,998,7.510482872316501,7.060054114822092,0.17
8,999,7.510482872316501,7.060054114822092,0.17
9,1000,7.510482872316501,7.060054114822092,0.17
0,991,8.176233952251263,7.682440102283088,0.18
1,992,8.176233952251263,7.682440102283088,0.18
2,993,8.176233952251263,7.682440102283088,0.18
3,994,8.176233952251263,7.682440102283088,0.18
4,995,8.176233952251263,7.682440102283088,0.18
5,996,8.176233952251263,7.682440102283088,0.18
6,997,8.176233952251263,7.682440102283088,0.18
7,998,8.176233952251263,7.682440102283088,0.18
8,999,8.176233952251263,7.682440102283088,0.18
9,1000,8.176233952251263,7.682440102283088,0.18
0,991,8.84235695244924,8.304615136570808,0.19
1,992,8.84235695244924,8.304615136570808,0.19
2,993,8.84235695244924,8.304615136570808,0.19
3,994,8.84235695244924,8.304615136570808,0.19
4,995,8.84235695244924,8.304615136570808,0.19
5,996,8.84235695244924,8.304615136570808,0.19
6,997,8.84235695244924,8.304615136570808,0.19
7,998,8.84235695244924,8.304615136570808,0.19
8,999,8.84235695244924,8.304615136570808,0.19
9,1000,8.84235695244924,8.304615136570808,0.19
0,991,9.508852246414326,8.926579005833803,0.2
1,992,9.508852246414326,8.926579005833803,0.2
2,993,9.508852246414326,8.926579005833803,0.2
3,994,9.508852246414326,8.926579005833803,0.2
4,995,9.508852246414326,8.926579005833803,0.2
5,996,9.508852246414326,8.926579005833803,0.2
6,997,9.508852246414326,8.926579005833803,0.2
7,998,9.508852246414326,8.926579005833803,0.2
8,999,9.508852246414326,8.926579005833803,0.2
9,1000,9.508852246414326,8.926579005833803,0.2
0,991,10.17572020814486,9.548331497940238,0.21
1,992,10.17572020814486,9.548331497940238,0.21
2,993,10.17572020814486,9.548331497940238,0.21
3,994,10.17572020814486,9.548331497940238,0.21
4,995,10.17572020814486,9.548331497940238,0.21
5,996,10.17572020814486,9.548331497940238,0.21
6,997,10.17572020814486,9.548331497940238,0.21
7,998,10.17572020814486,9.548331497940238,0.21
8,999,10.17572020814486,9.548331497940238,0.21
9,1000,10.17572020814486,9.548331497940238,0.21
0,991,10.842961212134293,10.169872400477434,0.22
1,992,10.842961212134293,10.169872400477434,0.22
2,993,10.842961212134293,10.169872400477434,0.22
3,994,10.842961212134293,10.169872400477434,0.22
4,995,10.842961212134293,10.169872400477434,0.22
5,996,10.842961212134293,10.169872400477434,0.22
6,997,10.842961212134293,10.169872400477434,0.22
7,998,10.842961212134293,10.169872400477434,0.22
8,999,10.842961212134293,10.169872400477434,0.22
9,1000,10.842961212134293,10.169872400477434,0.22
0,991,11.510575633371916,10.79120150075146,0.23
1,992,11.510575633371916,10.79120150075146,0.23
2,993,11.510575633371916,10.79120150075146,0.23
3,994,11.510575633371916,10.79120150075146,0.23
4,995,11.510575633371916,10.79120150075146,0.23
5,996,11.510575633371916,10.79120150075146,0.23
6,997,11.510575633371916,10.79120150075146,0.23
7,998,11.510575633371916,10.79120150075146,0.23
8,999,11.510575633371916,10.79120150075146,0.23
9,1000,11.510575633371916,10.79120150075146,0.23
0,991,12.178563847343593,11.412318585786714,0.24
1,992,12.178563847343593,11.412318585786714,0.24
2,993,12.178563847343593,11.412318585786714,0.24
3,994,12.178563847343593,11.412318585786714,0.24
4,995,12.178563847343593,11.412318585786714,0.24
5,996,12.178563847343593,11.412318585786714,0.24
6,997,12.178563847343593,11.412318585786714,0.24
7,998,12.178563847343593,11.412318585786714,0.24
8,999,12.178563847343593,11.412318585786714,0.24
9,1000,12.178563847343593,11.412318585786714,0.24
0,991,12.84692623003252,12.033223442325557,0.25
1,992,12.84692623003252,12.033223442325557,0.25
2,993,12.84692623003252,12.033223442325557,0.25
3,994,12.84692623003252,12.033223442325557,0.25
4,995,12.84692623003252,12.033223442325557,0.25
5,996,12.84692623003252,12.033223442325557,0.25
6,997,12.84692623003252,12.033223442325557,0.25
7,998,12.84692623003252,12.033223442325557,0.25
8,999,12.84692623003252,12.033223442325557,0.25
9,1000,12.84692623003252,12.033223442325557,0.25
0,991,13.515663157919898,12.653915856827844,0.26
1,992,13.515663157919896,12.653915856827842,0.26
2,993,13.515663157919898,12.653915856827844,0.26
3,994,13.515663157919896,12.653915856827842,0.26
4,995,13.515663157919898,12.653915856827844,0.26
5,996,13.515663157919896,12.653915856827842,0.26
6,997,13.515663157919898,12.653915856827844,0.26
7,998,13.515663157919896,12.653915856827842,0.26
8,999,13.515663157919898,12.653915856827844,0.26
9,1000,13.515663157919896,12.653915856827842,0.26
0,991,14.184775007985683,13.274395615470526,0.27
1,992,14.184775007985683,13.274395615470526,0.27
2,993,14.184775007985683,13.274395615470526,0.27
3,994,14.184775007985683,13.274395615470526,0.27
4,995,14.184775007985683,13.274395615470526,0.27
5,996,14.184775007985683,13.274395615470526,0.27
6,997,14.184775007985683,13.274395615470526,0.27
7,998,14.184775007985683,13.274395615470526,0.27
8,999,14.184775007985683,13.274395615470526,0.27
9,1000,14.184775007985683,13.274395615470526,0.27
0,991,14.85426215770934,13.89466250414727,0.28
1,992,14.85426215770934,13.89466250414727,0.28
2,993,14.85426215770934,13.89466250414727,0.28
3,994,14.85426215770934,13.89466250414727,0.28
4,995,14.85426215770934,13.89466250414727,0.28
5,996,14.85426215770934,13.89466250414727,0.28
6,997,14.85426215770934,13.89466250414727,0.28
7,998,14.85426215770934,13.89466250414727,0.28
8,999,14.85426215770934,13.89466250414727,0.28
9,1000,14.85426215770934,13.89466250414727,0.28
0,991,15.524124985070529,14.514716308467992,0.29
1,992,15.524124985070527,14.51471630846799,0.29
2,993,15.524124985070529,14.514716308467992,0.29
3,994,15.524124985070527,14.51471630846799,0.29
4,995,15.524124985070529,14.514716308467992,0.29
5,996,15.524124985070527,14.51471630846799,0.29
6,997,15.524124985070529,14.514716308467992,0.29
7,998,15.524124985070527,14.51471630846799,0.29
