,Time,Non-breeding,Breeding,rnb
0,981,4.883403529115552e-110,4.008541719673927e-111,-2.5
1,982,3.76535603524328e-110,3.0907924497143367e-111,-2.5
2,983,2.9032837420893606e-110,2.3831604197419294e-111,-2.5
3,984,2.2385815333757145e-110,1.8375396208663077e-111,-2.5
4,985,1.726061841259924e-110,1.416837838645851e-111,-2.5
5,986,1.3308827198984884e-110,1.092455062314381e-111,-2.5
6,987,1.0261792316962932e-110,8.423392082166376e-112,-2.5
7,988,7.912371239181124e-111,6.49486982279959e-112,-2.5
8,989,6.100846391437136e-111,5.007879676457353e-112,-2.5
9,990,4.7040672848615696e-111,3.861333566045893e-112,-2.5
10,991,3.6270785397191905e-111,2.977287369416226e-112,-2.5
11,992,2.796664659884566e-111,2.29564214758131e-112,-2.5
12,993,2.1563727209647863e-111,1.770058518330074e-112,-2.5
13,994,1.66267460608345e-111,1.3648064275235148e-112,-2.5
14,995,1.2820078916959644e-111,1.0523361602569064e-112,-2.5
15,996,9.884942179048602e-112,8.114054651645237e-113,-2.5
16,997,7.621800342731986e-112,6.256354706447865e-113,-2.5
17,998,5.876801240941664e-112,4.823972217756233e-113,-2.5
18,999,4.531316916280438e-112,3.719531428373291e-113,-2.5
19,1000,3.493879094076558e-112,2.8679506062934304e-113,-2.5
0,981,8.598909215630777e-106,7.129352756508919e-107,-2.49
1,982,6.696837230693169e-106,5.552345509561424e-107,-2.49
2,983,5.215502079365577e-106,4.3241710307294355e-107,-2.49
3,984,4.061837103520452e-106,3.367667784866768e-107,-2.49
4,985,3.163361916930215e-106,2.6227423079785825e-107,-2.49
5,986,2.4636287380435117e-106,2.0425937632482237e-107,-2.49
6,987,1.9186759903855037e-106,1.5907736223144842e-107,-2.49
7,988,1.4942663637725336e-106,1.2388957427478556e-107,-2.49
8,989,1.16373581422331e-106,9.648529745958596e-108,-2.49
9,990,9.063183634053525e-107,7.514282521640297e-108,-2.49
10,991,7.058414511320827e-107,5.852129112073235e-108,-2.49
11,992,5.497098748659227e-107,4.5576427351176e-108,-2.49
12,993,4.281144810076646e-107,3.549495731069286e-108,-2.49
13,994,3.334158930529772e-107,2.764350054865368e-108,-2.49
14,995,2.596645585981104e-107,2.1528779874126296e-108,-2.49
15,996,2.0222696157209906e-107,1.6766630624541459e-108,-2.49
16,997,1.5749451603050164e-107,1.3057865059861886e-108,-2.49
17,998,1.2265685241400659e-107,1.0169475533861172e-108,-2.49
18,999,9.552525270910206e-108,7.919995509196573e-109,-2.49
19,1000,7.439514161294251e-108,6.1680987044843e-109,-2.49
0,981,1.5120964789223663e-101,1.2662783655156091e-102,-2.48
1,982,1.189457218940968e-101,9.960898421803952e-103,-2.48
2,983,9.356601879657052e-102,7.835520219844852e-103,-2.48
3,984,7.360163723445922e-102,6.163638510880288e-103,-2.48
4,985,5.789709846873906e-102,4.848489778201198e-103,-2.48
5,986,4.554347073042384e-102,3.813957143629457e-103,-2.48
6,987,3.582576296622049e-102,3.0001649500927423e-103,-2.48
7,988,2.8181543293195375e-102,2.3600133375382976e-103,-2.48
8,989,2.2168387122280757e-102,1.8564522437962893e-103,-2.48
9,990,1.7438270945295043e-102,1.4603370577096791e-103,-2.48
10,991,1.3717429774396469e-102,1.1487418161423894e-103,-2.48
11,992,1.0790512442764152e-102,9.03632317749796e-104,-2.48
12,993,8.488117722663598e-103,7.108223573021344e-104,-2.48
13,994,6.676989888659972e-103,5.591526705228635e-104,-2.48
14,995,5.2523062744796e-103,4.3984506922305145e-104,-2.48
15,996,4.1316104503603263e-103,3.459943860035992e-104,-2.48
16,997,3.250039891327164e-103,2.7216882380304673e-104,-2.48
17,998,2.556571928095661e-103,2.1409557971719035e-104,-2.48
18,999,2.0110707074606848e-103,1.6841354793673726e-104,-2.48
19,1000,1.5819642490633992e-103,1.3247878898810513e-104,-2.48
0,981,2.6550726072218943e-97,2.2457894212078068e-98,-2.47
1,982,2.1095444035239314e-97,1.7843551592961164e-98,-2.47
2,983,1.6761039145726162e-97,1.4177301328609538e-98,-2.47
3,984,1.3317208814153211e-97,1.1264342298395439e-98,-2.47
