,Time,Non-breeding,Breeding,rnb
18,999,4.790587121722237e-90,4.1339694417110814e-91,-2.45
19,1000,3.883174449815708e-90,3.350930502773172e-91,-2.45
0,981,3.6612016244238644e-84,3.1911345095877306e-85,-2.44
1,982,2.9975383631348816e-84,2.6126799602079e-85,-2.44
2,983,2.4541768414295636e-84,2.1390814313727663e-85,-2.44
3,984,2.00931005357017e-84,1.7513317512029528e-85,-2.44
4,985,1.6450839333266659e-84,1.4338691635517746e-85,-2.44
5,986,1.3468808076090299e-84,1.1739527800900406e-85,-2.44
6,987,1.1027327379200217e-84,9.611512437211096e-86,-2.44
7,988,9.028412049610043e-85,7.869240815936231e-86,-2.44
8,989,7.391838596475558e-85,6.442789459383464e-86,-2.44
9,990,6.051925580723327e-85,5.274909866003908e-86,-2.44
10,991,4.9548975882775133e-85,4.318730927011857e-86,-2.44
11,992,4.056727033874726e-85,3.5358778242135896e-86,-2.44
12,993,3.321367179476063e-85,2.8949319138101287e-86,-2.44
13,994,2.71930545210093e-85,2.3701697859032507e-86,-2.44
14,995,2.226379000647657e-85,1.940530893735248e-86,-2.44
15,996,1.8228049558372612e-85,1.588772319998949e-86,-2.44
16,997,1.4923864742069188e-85,1.3007767580221923e-86,-2.44
17,998,1.2218627019108252e-85,1.0649859346818456e-86,-2.44
18,999,1.0003765700933478e-85,8.71936736319526e-87,-2.44
19,1000,8.190390625940952e-86,7.138814207632433e-87,-2.44
0,981,6.371721691665094e-80,5.6094619583059145e-81,-2.43
1,982,5.269153451867501e-80,4.638795802928897e-81,-2.43
2,983,4.3573745751710274e-80,3.8360945597301843e-81,-2.43
3,984,3.603370704950259e-80,3.172293434839317e-81,-2.43
4,985,2.979840317442549e-80,2.6233570314889355e-81,-2.43
5,986,2.4642061682018045e-80,2.1694090587843204e-81,-2.43
6,987,2.037797798714056e-80,1.7940126364211666e-81,-2.43
7,988,1.6851755027762661e-80,1.4835751360982962e-81,-2.43
8,989,1.3935712743184313e-80,1.226856009687753e-81,-2.43
9,990,1.1524264940987178e-80,1.0145597832445936e-81,-2.43
10,991,9.53009615493261e-81,8.389994796857146e-82,-2.43
11,992,7.881000062680039e-81,6.938182830998302e-82,-2.43
12,993,6.51726498644147e-81,5.737593665063062e-82,-2.43
13,994,5.389511808867038e-81,4.744755488179472e-82,-2.43
14,995,4.45690601783821e-81,3.923718889277912e-82,-2.43
15,996,3.685679140578446e-81,3.244755174514474e-82,-2.43
16,997,3.047906030085868e-81,2.683279928974733e-82,-2.43
17,998,2.520493730980561e-81,2.2189628461925518e-82,-2.43
18,999,2.0843453128813588e-81,1.834991593539891e-82,-2.43
19,1000,1.7236683947792751e-81,1.5174630589870987e-82,-2.43
0,981,1.1061384388377852e-75,9.835961911545635e-77,-2.42
1,982,9.239244876581715e-76,8.215685985289944e-77,-2.42
2,983,7.717266021342924e-76,6.862317769821759e-77,-2.42
3,984,6.446002421164131e-76,5.7318896143703505e-77,-2.42
4,985,5.384153805083337e-76,4.787676649981199e-77,-2.42
5,986,4.4972232870427653e-76,3.999003687598608e-77,-2.42
6,987,3.7563966457319076e-76,3.340248655574947e-77,-2.42
7,988,3.1376062204250845e-76,2.790010200708304e-77,-2.42
8,989,2.6207490110597835e-76,2.3304124101852314e-77,-2.42
9,990,2.189033580523788e-76,1.946524066530871e-77,-2.42
10,991,1.8284345415904787e-76,1.6258735685683699e-77,-2.42
11,992,1.527236906105952e-76,1.358043759346102e-77,-2.42
12,993,1.2756554934382158e-76,1.1343334979747775e-77,-2.42
13,994,1.0655170336920893e-76,9.474749806642803e-78,-2.42
14,995,8.899946379943031e-77,7.913976274063445e-78,-2.42
15,996,7.433860094324004e-77,6.610308635540768e-78,-2.42
16,997,6.209281892587831e-77,5.521393891501896e-78,-2.42
17,998,5.186428199134023e-77,4.611855843039696e-78,-2.42
18,999,4.3320689783600595e-77,3.852145805014078e-78,-2.42
19,1000,3.618448171403021e-77,3.2175826409411546e-78,-2.42
