,Time,Non-breeding,Breeding,rnb
14,995,6.9394774067611545e-81,6.109296106681886e-82,-2.43
15,996,5.738664226314735e-81,5.052138217385208e-82,-2.43
16,997,4.745640798584989e-81,4.177911844811035e-82,-2.43
17,998,3.9244510048041296e-81,3.4549623608766487e-82,-2.43
18,999,3.245360604135981e-81,2.857112681757468e-82,-2.43
19,1000,2.6837805945301983e-81,2.3627154288847534e-82,-2.43
0,981,1.724032447407373e-75,1.5330375377592802e-76,-2.42
1,982,1.4400329468258495e-75,1.2805005882656103e-76,-2.42
2,983,1.2028166239344248e-75,1.0695639970728749e-76,-2.42
3,984,1.0046768957626997e-75,8.933749459529456e-77,-2.42
4,985,8.39176683123731e-76,7.462094799756508e-77,-2.42
5,986,7.00939285524169e-76,6.2328655009635735e-77,-2.42
6,987,5.854737052062388e-76,5.20612688468787e-77,-2.42
7,988,4.8902874552335603e-76,4.348522703607146e-77,-2.42
8,989,4.0847114365948284e-76,3.6321914779686576e-77,-2.42
9,990,3.411837785198604e-76,3.033861343689102e-77,-2.42
10,991,2.849806468143805e-76,2.5340940059356828e-77,-2.42
11,992,2.3803584511276868e-76,2.1166532360739355e-77,-2.42
12,993,1.9882425067080316e-76,1.76797739597983e-77,-2.42
13,994,1.6607197389148954e-76,1.476738853310423e-77,-2.42
14,995,1.3871497274183176e-76,1.2334759742038366e-77,-2.42
15,996,1.1586448460797867e-76,1.0302857377439638e-77,-2.42
16,997,9.677815255356445e-77,8.605669859794192e-78,-2.42
17,998,8.083590794340814e-77,7.188059683125908e-78,-2.42
18,999,6.751982591751266e-77,6.00397213116142e-78,-2.42
19,1000,5.63972992685731e-77,5.014939071302586e-78,-2.42
0,981,2.987673040585497e-71,2.6833873422574915e-72,-2.41
1,982,2.5205946278355234e-71,2.2638794899627243e-72,-2.41
2,983,2.1265370044066872e-71,1.9099554746957166e-72,-2.41
3,984,1.794084451808191e-71,1.6113622352664207e-72,-2.41
4,985,1.513605929993181e-71,1.3594496246863837e-72,-2.41
5,986,1.2769760693268958e-71,1.1469198182830604e-72,-2.41
6,987,1.0773397813266464e-71,9.67615898142536e-73,-2.41
7,988,9.089136690249334e-72,8.163434892421677e-73,-2.41
8,989,7.668184838798666e-72,6.887202801311453e-73,-2.41
9,990,6.469377755652246e-72,5.810490688230527e-73,-2.41
10,991,5.457986397715077e-72,4.9021065608210034e-73,-2.41
11,992,4.604711093213848e-72,4.135734832570981e-73,-2.41
12,993,3.8848327399355943e-72,3.489173969012273e-73,-2.41
13,994,3.27749670104539e-72,2.943693316639615e-73,-2.41
14,995,2.7651086531827113e-72,2.483490482098761e-73,-2.41
15,996,2.3328248847564656e-72,2.0952335420987157e-73,-2.41
16,997,1.9681222785495433e-72,1.7676748220213042e-73,-2.41
17,998,1.6604355211717573e-72,1.491325054522649e-73,-2.41
18,999,1.4008510294394916e-72,1.2581784786094426e-73,-2.41
19,1000,1.1818487268309238e-72,1.0614809154015524e-73,-2.41
0,981,5.161267859976414e-67,4.682196566354864e-68,-2.4
1,982,4.398142350069832e-67,3.98990472273822e-68,-2.4
2,983,3.7478496866012646e-67,3.3999725280483284e-68,-2.4
3,984,3.19370683241623e-67,2.8972654724321315e-68,-2.4
4,985,2.721497441022444e-67,2.4688867773192977e-68,-2.4
5,986,2.3191071410547145e-67,2.1038465329534457e-68,-2.4
6,987,1.976212746196963e-67,1.792779755994377e-68,-2.4
7,988,1.684017417347602e-67,1.5277061340549687e-68,-2.4
8,989,1.4350249827036797e-67,1.3018252935005242e-68,-2.4
9,990,1.222847626022286e-67,1.1093423381755871e-68,-2.4
10,991,1.0420420093669676e-67,9.453191833135811e-69,-2.4
11,992,8.879696261239322e-68,8.055478706512798e-69,-2.4
12,993,7.566778016921579e-68,6.864426146904452e-69,-2.4
13,994,6.447982889605791e-68,5.849478105901893e-69,-2.4
14,995,5.49460857073798e-68,4.984596436638138e-69,-2.4
15,996,4.682196566354883e-68,4.2475928939842996e-69,-2.4
16,997,3.989904722738236e-68,3.619559902665737e-69,-2.4
17,998,3.3999725280483424e-68,3.084385489847753e-69,-2.4
18,999,2.8972654724321434e-68,2.6283399379512684e-69,-2.4
19,1000,2.4688867773193076e-68,2.2397235534170114e-69,-2.4
0,981,8.884395353780368e-63,8.140743377096678e-64,-2.39
1,982,7.646869946712486e-63,7.006802758696573e-64,-2.39
2,983,6.581721957820493e-63,6.03081102364724e-64,-2.39
3,984,5.664940587708047e-63,5.190767152365348e-64,-2.39
4,985,4.875859549814371e-63,4.467734691806039e-64,-2.39
5,986,4.196691206453521e-63,3.845414885788405e-64,-2.39
6,987,3.6121255959874445e-63,3.309779264861733e-64,-2.39
7,988,3.1089853123155093e-63,2.8487534134727577e-64,-2.39
8,989,2.6759284568983084e-63,2.4519447858441133e-64,-2.39
9,990,2.3031929671951707e-63,2.1104084349298587e-64,-2.39
10,991,1.98237655811098e-63,1.816445373458852e-64,-2.39
11,992,1.7062473158441728e-63,1.563429021676427e-64,-2.39
12,993,1.4685806745009245e-63,1.3456558295313254e-64,-2.39
13,994,1.2640191005666373e-63,1.1582167060004897e-64,-2.39
14,995,1.087951322211332e-63,9.968863572833777e-65,-2.39
15,996,9.364083809894817e-64,8.580280393031231e-65,-2.39
16,997,8.059741627089214e-64,7.3851157742455115e-65,-2.39
17,998,6.93708390636076e-64,6.356428053715628e-65,-2.39
18,999,5.970803451334605e-64,5.471028327405047e-65,-2.39
19,1000,5.139118156229959e-64,4.708957720644966e-65,-2.39
0,981,1.523071775117479e-58,1.409611723768264e-59,-2.38
1,982,1.324094990801859e-58,1.2254575607726473e-59,-2.38
2,983,1.1511128847039026e-58,1.0653616225894339e-59,-2.38
3,984,1.000729466191014e-58,9.26180900275959e-60,-2.38
4,985,8.699924028394091e-59,8.051829931239854e-60,-2.38
5,986,7.5633506014283605e-59,6.99992466075397e-60,-2.38
6,987,6.575261132560258e-59,6.085442150997658e-60,-2.38
7,988,5.716257415488941e-59,5.290429250012838e-60,-2.38
8,989,4.969475459814806e-59,4.5992782372933907e-60,-2.38
9,990,4.320254416602271e-59,3.998420412481514e-60,-2.38
10,991,3.7558487560912487e-59,3.4760597141774955e-60,-2.38
11,992,3.265178047020289e-59,3.021941139258226e-60,-2.38
12,993,2.8386094252204787e-59,2.627149416304589e-60,-2.38
13,994,2.4677684808960943e-59,2.283933980687561e-60,-2.38
14,995,2.145374851924621e-59,1.9855568152179088e-60,-2.38
15,996,1.8650992955381634e-59,1.7261601691619144e-60,-2.38
16,997,1.621439432412614e-59,1.5006515586783067e-60,-2.38
17,998,1.409611723768272e-59,1.3046037910010406e-60,-2.38
18,999,1.2254575607726542e-59,1.1341680496392576e-60,-2.38
19,1000,1.0653616225894399e-59,9.859983342800905e-61,-2.38
0,981,2.5986951736773175e-54,2.4292791221064092e-55,-2.37
1,982,2.2819023583613672e-54,2.1331388975523504e-55,-2.37
2,983,2.00372803468397e-54,1.8730995194596424e-55,-2.37
3,984,1.7594644320634303e-54,1.644760129697011e-55,-2.37
4,985,1.5449776786621385e-54,1.4442563548472554e-55,-2.37
5,986,1.3566378405074792e-54,1.26819490626936e-55,-2.37
6,987,1.1912574891635548e-54,1.1135961527118547e-55,-2.37
7,988,1.0460377582844177e-54,9.778436935869955e-56,-2.37
8,989,9.18520976119934e-55,8.586400794932263e-56,-2.37
9,990,8.065490723356082e-55,7.539679306082696e-56,-2.37
10,991,7.082270552311149e-55,6.6205579492775245e-56,-2.37
11,992,6.218909412527661e-55,5.813481685405396e-56,-2.37
12,993,5.460795940449412e-55,5.104791705694843e-56,-2.37
13,994,4.795099964498179e-55,4.482494272571821e-56,-2.37
