Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,0.7,-0.4,38.011039264714036,41.92303160457756,-3.9119923398635237,1.4910082054122844,2.223105468606761,0.6852057122101656,0.4748926031642676,0.3268848817546704,0.03581174054860242,-0.07087716525230654,-0.043019450231567294,0.2806474525510486,0.1262411777192617,0.0067407233038031915
Breeding,0.7,-0.4,24.793537459408306,27.365291578843134,-2.5717541194348286,1.2452130178063319,1.5505554597143523,0.6879902230477085,0.4802096454328747,0.34042248804986086,0.04589182424975058,-0.014545097159134575,-0.04574585991905841,0.19952495072590298,0.12867966087627722,0.007353411698413038
Non-breeding,0.7,-0.3,47.674799863795506,51.230853242099286,-3.5560533783037798,1.4434272669299355,2.0834822749168236,0.5866812386186937,0.3459057787665843,0.19886885273892235,0.028296394439591355,-0.041204836730320174,-0.015459063415829278,0.22878896892632822,0.10981085449141241,0.004485091182970593
Breeding,0.7,-0.3,34.18089155847037,36.727557443205185,-2.5466658847348143,1.409930919875092,1.987905198819823,0.5894210931830951,0.35235937075485263,0.21740973219882578,0.03861681214297009,0.004966667414225633,0.021690572210368228,0.21721606087127937,0.10926882277899164,0.00594936368786442
Non-breeding,0.7,-0.2,55.61992812991938,58.62593773721228,-3.006009607292903,1.404192444704983,1.9717564217665569,0.49074741631219126,0.23783891112395011,0.10698410192213743,0.024018423438548712,0.0029251759080257873,-0.016455990586365023,0.1875976310776456,0.0951423963967979,0.0032088189594540895
Breeding,0.7,-0.2,43.861309180195434,46.21634839781631,-2.3550392176208774,1.561905464681653,2.4395486806024107,0.4925410255053296,0.2441709031302621,0.1291080825700836,0.03394312696459067,0.027373297863617994,0.07125665928895968,0.22929961206518015,0.09399263637918387,0.004983109427078004
Non-breeding,0.7,-0.1,61.913748337961614,64.32359984147067,-2.409851503509053,1.4056322842985574,1.9758021186623806,0.39679602703206945,0.14992416678738218,0.04535831493082433,0.021893671366769046,0.04430610390385641,-0.025017827981139197,0.16073982529436787,0.08135421243661224,0.0025036312482698236
Breeding,0.7,-0.1,53.7483884906288,55.8205543842012,-2.0721658935724037,1.718552034505665,2.9534210953035607,0.397065086520983,0.15464144918199876,0.06883461922049473,0.030890701363134043,0.04602281943347444,0.09919687428717361,0.23489738738197266,0.07953399796442819,0.004222243434534196
Non-breeding,0.7,0.0,66.66303953948368,68.52725774221722,-1.8642182027335394,1.458800262093334,2.1280982046835804,0.3040026104659032,0.08147608546205275,0.008245466759882534,0.021316948365245773,0.0670696402160134,-0.020825237489755892,0.14727326444471978,0.06920416742074989,0.002152053749458689
Breeding,0.7,0.0,63.764221068694845,65.52833978738154,-1.7641187186866958,1.896211395679293,3.5956176571040124,0.3028524964462606,0.08331962417869354,0.030675637713567416,0.02901579887311913,0.05689921012831715,0.10926123602473507,0.24065058418533716,0.06692885816429167,0.0036824316979272857
