Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
1,Non-breeding,0,0.9334588063869832,0.9146378483395059,0.9975714892841966,0.12585756784651814,0.7076023391812866,0.9209519762005951,0.17588488859207094,0.17588488859207094,0.6827150749802684,0.5789473684210525,0.9536541889483067
1,Breeding,0,0.9231430325352977,0.8577041129527317,0.9864947820748926,0.6340085942295888,0.8011695906432749,0.8473910374462861,-0.9248618784530388,-0.9248618784530388,0.46040515653775327,-0.5906432748538012,0.9528044173205461
1,Total,0,0.9193734442353227,0.9105093801226399,0.9963572339262948,0.04826665047659524,0.6491228070175439,0.923016210309028,0.15244976018456682,0.15244976018456682,0.6883006496266165,0.5555555555555555,0.9536541889483067
2,Non-breeding,0,0.9254719639335025,0.9008171315863625,0.9978867286559595,0.6676528599605523,0.41176470588235287,0.8462947309101155,-0.28331924485770643,-0.28331924485770643,0.7810650887573966,0.2205882352941176,0.9400704272141386
2,Breeding,0,0.8977758768177931,0.8063872255489023,0.9595095523239237,0.5155403478756773,0.676470588235294,0.8160821214713431,-0.9736241802110066,-0.9736241802110066,0.34602224123182207,-0.588235294117647,0.9392391450463773
2,Total,0,0.8943364327979714,0.8934911242603552,0.9967596506058045,0.7196393350239505,0.3823529411764705,0.8509439278670049,-0.35841081994928153,-0.35841081994928153,0.7506339814032122,0.14705882352941174,0.9400704272141386
3,Non-breeding,0,0.8480823414409753,0.7334253349433615,0.9948249094359153,0.5563222356391236,0.6491228070175439,0.42004485078488873,-0.4245299292737623,-0.4245299292737623,0.36300385256741996,0.25146198830409355,0.8637652705061083
3,Breeding,0,0.7612321999418772,0.5889566986341178,0.9772159256030223,0.604882301656495,0.52046783625731,0.18349317058994474,-0.9789596047660561,-0.9789596047660561,0.5132810229584421,-0.7660818713450293,0.8658583631854505
3,Total,0,0.7369903973319533,0.6145132539819447,0.9940198953481687,0.6169282962451843,0.6023391812865496,0.3883042953251682,-0.5157265252141913,-0.5157265252141913,0.29193260882065436,0.005847953216374269,0.8637652705061083
4,Non-breeding,0,0.8719480519480519,0.8254545454545454,0.9866233766233765,-0.17805194805194804,0.15032679738562094,0.7127272727272727,-0.15233766233766233,-0.15233766233766233,0.49688311688311687,0.019607843137254905,0.8789441375076734
4,Breeding,0,0.8331691297208538,0.7923152709359605,0.910016420361248,0.6320525451559934,0.46405228758169936,0.6976026272577996,-0.981871921182266,-0.981871921182266,0.4770443349753694,-0.5816993464052289,0.8778398510242085
4,Total,0,0.8207792207792207,0.8022077922077921,0.9816883116883116,-0.08688311688311688,0.07189542483660132,0.7189610389610389,-0.2387012987012987,-0.2387012987012987,0.42090909090909084,-0.019607843137254905,0.8789441375076734
5,Non-breeding,0,0.9340010272213661,0.9333590138674884,0.9957627118644068,-0.500256805341551,0.411764705882353,0.9220595788392398,0.15292758089368258,0.15292758089368258,0.731638418079096,0.3725490196078432,0.9435371258575679
5,Breeding,0,0.9263636363636363,0.9589610389610389,0.9711688311688311,-0.10675324675324674,0.5032679738562092,0.9174025974025973,-0.9696103896103895,-0.9696103896103895,0.45090909090909087,-0.607843137254902,0.9431553100061388
5,Total,0,0.9264252696456087,0.9329738058551618,0.9952491011813045,-0.511171032357473,0.33333333333333337,0.9282229070364664,0.09527478171545967,0.09527478171545967,0.7632254750898819,0.22875816993464054,0.9435371258575679
6,Non-breeding,0,0.6291702309666383,0.634445394924437,0.9800399201596808,0.2741659538066724,-0.3676470588235294,0.7631879098944968,-0.21043627031650988,-0.21043627031650988,0.7187054462503566,-0.24999999999999997,0.6791235381099611
6,Breeding,0,0.5441887309717914,0.33727725272346876,0.9336267224586972,0.9355024889979079,-0.08823529411764705,0.49917033403073374,-0.9734506889834789,-0.9734506889834789,0.03210446576726066,-0.6470588235294118,0.6771385828913369
6,Total,0,0.3828058169375535,0.5915312232677502,0.9756201881950386,0.44382663244938697,-0.3823529411764705,0.7275449101796408,-0.28542914171656686,-0.28542914171656686,0.6621043627031652,-0.2941176470588235,0.6791235381099611
7,Non-breeding,0,0.898724610297591,0.8036844591402927,0.9956542276806802,0.2143599433160132,0.6952380952380953,0.7683514407179971,-0.04487482286254133,-0.04487482286254133,0.7271610769957487,0.48571428571428577,0.9484326710816777
7,Breeding,0,0.9122605363984674,0.7796934865900383,0.9507662835249041,0.29272030651340997,0.48571428571428577,0.5206896551724137,-0.9837164750957854,-0.9837164750957854,-0.5260536398467432,-0.7333333333333334,0.9491722595078299
7,Total,0,0.8091639111950873,0.7749645725082663,0.9947094945677845,0.5310344827586208,0.6380952380952382,0.7751535191308456,-0.14501653282947566,-0.14501653282947566,0.6769012753897024,0.4666666666666667,0.9484326710816777
8,Non-breeding,0,0.5781909547738693,0.6280402010050251,0.9726633165829144,0.5460301507537688,0.10526315789473685,0.6042211055276382,-0.6036180904522612,-0.6036180904522612,0.37336683417085426,-0.17894736842105263,0.600286944045911
8,Breeding,0,0.5540327902136948,0.611390284757119,0.9206131668443228,0.6782904421095377,0.25263157894736843,0.5997157504695194,-0.9700522816100707,-0.9700522816100707,-0.3029795441855744,-0.4736842105263158,0.5993431855500821
8,Total,0,0.4923618090452261,0.5955778894472361,0.9660301507537689,0.5576884422110552,0.09473684210526316,0.5980904522613065,-0.6424120603015075,-0.6424120603015075,0.10773869346733668,-0.22105263157894736,0.600286944045911
