Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.1,0.0,8.33718264063031,7.744295590154585,0.5928870504757251,0.47282074236842425,0.2235594544138278,0.876840693950565,0.7791215614776001,0.6948551909891281,0.06069710912293327,-0.06071564332840404,0.6425371210284967,0.0322928011508775,0.14444838056860143
Breeding,0.1,0.0,8.235774547603135,7.707677634712787,0.5280969128903488,0.49058169802842067,0.24067040244044852,0.8770013988129701,0.778284620421448,0.6945858173348846,0.0633472700009957,-0.039197683336366605,0.5584072181952265,0.03410560670659486,0.14171084753570376
Non-breeding,0.2,-0.1,9.089960569670657,8.390759935827386,0.6992006338432706,0.5148547659754095,0.2650754300475936,0.8785225391538186,0.7831309253727334,0.700080169665837,0.0611166492674444,-0.04833095252214981,0.6532402872682381,0.03789166807091372,0.14294673808172403
Breeding,0.2,-0.1,8.117466810989683,7.553809939803683,0.5636568711859997,0.4873309548243546,0.23749145953001718,0.8793848884849164,0.7828946505561182,0.7003969815123726,0.06434052276186512,-0.02529033893067409,0.5369236772873504,0.033379985874024944,0.14055236318847902
Non-breeding,0.2,0.0,16.884363159049805,15.733567859862108,1.1507952991876973,0.658271327649766,0.43332114080578565,0.7573039448164371,0.5838524783116075,0.44941081148014905,0.04167944155680875,-0.18157497285996935,0.5544604344354589,0.05997110243096368,0.13839874583419576
Breeding,0.2,0.0,16.61414188512142,15.571467682354621,1.0426742027667988,0.7067386389691458,0.49947950381196055,0.7606500360747563,0.583114265999581,0.4503097622472938,0.0452516956767247,-0.1561798184229565,0.4248006030503818,0.06796939729072687,0.1360804532958681
Non-breeding,0.3,-0.2,9.895146336007938,9.072188552093134,0.8229577839148039,0.5700587200539592,0.32496694430955825,0.8801132962266568,0.7869738916409859,0.7050857622324318,0.06270376651927816,-0.03751725445641436,0.6079754377774383,0.04607089924929203,0.14177103258048807
Breeding,0.3,-0.2,7.987760285180628,7.3873857756290064,0.6003745095516217,0.4919925951198908,0.2420567136528048,0.881760966225231,0.7874532002527468,0.7060872605764106,0.06655366990420447,-0.0139368974932338,0.47135838745362924,0.03382233671801746,0.139728975939625
Non-breeding,0.3,-0.1,18.29737653796809,17.03541030385061,1.2619662341174802,0.7093814979596674,0.5032221096475017,0.7581779668907529,0.5875469909784662,0.4535354293175032,0.041520905105134995,-0.17790814185321713,0.5576813729582338,0.06925338520380114,0.13761991748000088
Breeding,0.3,-0.1,16.270582956855456,15.243562313944416,1.0270206429110402,0.7014862473264014,0.49208295518807715,0.7639429455740318,0.5889398792643544,0.4564983330080685,0.0459300288741924,-0.14606642935893027,0.3819124783830498,0.06689067328706534,0.13593373349316543
Non-breeding,0.3,0.0,25.367847607646034,23.79836306018653,1.5694845474595027,0.812931598691406,0.6608577841509651,0.6499822613262545,0.42900460348038466,0.2782706111270115,0.03407010119899343,-0.13070325665774252,0.3402370223806502,0.07672752229651332,0.11610292582857105
Breeding,0.3,0.0,24.839750201327643,23.419590125099557,1.4201600762280862,0.903427833141263,0.8161818496943176,0.6582831734036587,0.4285915178925139,0.27891785895265825,0.038495935207663104,-0.11771318317823193,0.20713693228006072,0.09068822087857722,0.11111276354962125
Non-breeding,0.4,-0.3,10.754747805273288,9.787748844462886,0.9669989608104022,0.6408398162674351,0.41067567011368,0.8815845018795478,0.7905271196978241,0.7097223441442462,0.06545849384514889,-0.029727796414282998,0.5217374445883146,0.05786446419256748,0.14090063863912342
Breeding,0.4,-0.3,7.84723033451217,7.2088315661656805,0.6383987683464891,0.5035979584632878,0.2536109037683914,0.8839679569182216,0.7916424847424655,0.7112651730223598,0.06995302685684537,-0.00546380186580007,0.3764452075200384,0.035320309770908484,0.13926968141387383
Non-breeding,0.4,-0.2,19.80357597093967,18.409901138820274,1.3936748321193946,0.7789523130653528,0.6067667060298634,0.7593170893098009,0.5917491370621357,0.45832698492109675,0.042227618089296044,-0.17294799514650686,0.5208976126442216,0.08322416337223848,0.13716006917515744
Breeding,0.4,-0.2,15.91259123097979,14.893821278645095,1.0187699523346954,0.7084113707481349,0.5018466702052514,0.7675559234050776,0.5952065511308872,0.4631279300737481,0.04752446124037789,-0.13650790597108287,0.31152947996739766,0.06836429718871603,0.13622546735391422
Non-breeding,0.4,-0.1,27.44743251714434,25.76553151072947,1.6819010064148685,0.8686934305814948,0.7546282763354465,0.6498474061281918,0.4318094282412318,0.28031271861190654,0.03364711686250361,-0.14072821161236337,0.33994358159744975,0.08463501301966529,0.11215457421057919
Breeding,0.4,-0.1,24.2779185760913,22.91471655828205,1.3632020178092503,0.8974227952965912,0.8053676735179475,0.6626037461538244,0.4347794026818805,0.2838327941904946,0.03911161033015381,-0.11917295249807484,0.16515879629845603,0.08735481099006365,0.10846575280143395
