r,Frequency,0
0.05,-3.141592653589793,0.0008633878783749863
0.05,-2.9845130209103035,0.0008460546787135907
0.05,-2.827433388230814,0.0009650246594118766
0.05,-2.6703537555513246,0.0010667228888677552
0.05,-2.5132741228718345,0.0010402856538715304
0.05,-2.356194490192345,0.0011007356429762326
0.05,-2.199114857512855,0.001288058277873707
0.05,-2.0420352248333655,0.0013689081266631637
0.05,-1.884955592153876,0.0014898850374862832
0.05,-1.7278759594743864,0.0015830806556106126
0.05,-1.5707963267948966,0.0017885975897750795
0.05,-1.413716694115407,0.002337026276315261
0.05,-1.2566370614359172,0.002600341686890983
0.05,-1.0995574287564276,0.0031254580412052807
0.05,-0.942477796076938,0.004168416097035639
0.05,-0.7853981633974483,0.005681327160231376
0.05,-0.6283185307179586,0.009529898503548682
0.05,-0.471238898038469,0.01659041298187911
0.05,-0.3141592653589793,0.0474407805508736
0.05,-0.15707963267948966,0.10223661916540033
0.05,0.0,0.037902913351954066
0.05,0.15707963267948966,0.10223661916540033
0.05,0.3141592653589793,0.0474407805508736
0.05,0.471238898038469,0.01659041298187911
0.05,0.6283185307179586,0.009529898503548682
0.05,0.7853981633974483,0.005681327160231376
0.05,0.942477796076938,0.004168416097035639
0.05,1.0995574287564276,0.0031254580412052807
0.05,1.2566370614359172,0.002600341686890983
0.05,1.413716694115407,0.002337026276315261
0.05,1.5707963267948966,0.0017885975897750795
0.05,1.7278759594743864,0.0015830806556106126
0.05,1.884955592153876,0.0014898850374862832
0.05,2.0420352248333655,0.0013689081266631637
0.05,2.199114857512855,0.001288058277873707
0.05,2.356194490192345,0.0011007356429762326
0.05,2.5132741228718345,0.0010402856538715304
0.05,2.6703537555513246,0.0010667228888677552
0.05,2.827433388230814,0.0009650246594118766
0.05,2.9845130209103035,0.0008460546787135907
0.05,3.141592653589793,0.0008633878783749863
0.1,-3.141592653589793,0.0019685276007342734
0.1,-2.9845130209103035,0.0019008776500474835
0.1,-2.827433388230814,0.0021187864134011402
0.1,-2.6703537555513246,0.002274032807924033
0.1,-2.5132741228718345,0.002205302372149882
0.1,-2.356194490192345,0.0023472236338835744
0.1,-2.199114857512855,0.0027736308057893983
0.1,-2.0420352248333655,0.0029579038210831325
0.1,-1.884955592153876,0.0032388664997362346
0.1,-1.7278759594743864,0.0034689148086981167
0.1,-1.5707963267948966,0.00390325212151375
0.1,-1.413716694115407,0.005142380382327492
0.1,-1.2566370614359172,0.005728285636613577
0.1,-1.0995574287564276,0.006770381084152918
0.1,-0.942477796076938,0.008891578285196076
0.1,-0.7853981633974483,0.012104146792537783
0.1,-0.6283185307179586,0.0200261668021793
0.1,-0.471238898038469,0.03416764711743097
0.1,-0.3141592653589793,0.0850432114152714
0.1,-0.15707963267948966,0.14861965985437314
0.1,0.0,0.058140949968584925
0.1,0.15707963267948966,0.14861965985437314
0.1,0.3141592653589793,0.0850432114152714
0.1,0.471238898038469,0.03416764711743097
0.1,0.6283185307179586,0.0200261668021793
0.1,0.7853981633974483,0.012104146792537783
0.1,0.942477796076938,0.008891578285196076
0.1,1.0995574287564276,0.006770381084152918
0.1,1.2566370614359172,0.005728285636613577
0.1,1.413716694115407,0.005142380382327492
0.1,1.5707963267948966,0.00390325212151375
0.1,1.7278759594743864,0.0034689148086981167
0.1,1.884955592153876,0.0032388664997362346
0.1,2.0420352248333655,0.0029579038210831325
0.1,2.199114857512855,0.0027736308057893983
0.1,2.356194490192345,0.0023472236338835744
0.1,2.5132741228718345,0.002205302372149882
0.1,2.6703537555513246,0.002274032807924033
0.1,2.827433388230814,0.0021187864134011402
0.1,2.9845130209103035,0.0019008776500474835
0.1,3.141592653589793,0.0019685276007342734
0.15,-3.141592653589793,0.0031823476304264032
0.15,-2.9845130209103035,0.0030533078285967523
0.15,-2.827433388230814,0.0033618854095515955
0.15,-2.6703537555513246,0.003558324014149808
0.15,-2.5132741228718345,0.003447953549236338
0.15,-2.356194490192345,0.0036730707446541665
0.15,-2.199114857512855,0.004356483977844366
0.15,-2.0420352248333655,0.004649901209951517
0.15,-1.884955592153876,0.00509679017322137
0.15,-1.7278759594743864,0.005485485146517114
0.15,-1.5707963267948966,0.0061602585794508615
0.15,-1.413716694115407,0.008126563248308604
0.15,-1.2566370614359172,0.009047785971521886
0.15,-1.0995574287564276,0.01059713378173656
0.15,-0.942477796076938,0.013789592041388495
0.15,-0.7853981633974483,0.01866561767749829
0.15,-0.6283185307179586,0.03030350020307753
0.15,-0.471238898038469,0.049772166770588065
0.15,-0.3141592653589793,0.1085163343185102
0.15,-0.15707963267948966,0.16019415595406608
0.15,0.0,0.062127675036161574
0.15,0.15707963267948966,0.16019415595406608
0.15,0.3141592653589793,0.1085163343185102
0.15,0.471238898038469,0.049772166770588065
0.15,0.6283185307179586,0.03030350020307753
0.15,0.7853981633974483,0.01866561767749829
0.15,0.942477796076938,0.013789592041388495
0.15,1.0995574287564276,0.01059713378173656
0.15,1.2566370614359172,0.009047785971521886
0.15,1.413716694115407,0.008126563248308604
0.15,1.5707963267948966,0.0061602585794508615
0.15,1.7278759594743864,0.005485485146517114
0.15,1.884955592153876,0.00509679017322137
0.15,2.0420352248333655,0.004649901209951517
0.15,2.199114857512855,0.004356483977844366
0.15,2.356194490192345,0.0036730707446541665
0.15,2.5132741228718345,0.003447953549236338
0.15,2.6703537555513246,0.003558324014149808
0.15,2.827433388230814,0.0033618854095515955
0.15,2.9845130209103035,0.0030533078285967523
0.15,3.141592653589793,0.0031823476304264032
0.2,-3.141592653589793,0.004475204235341038
0.2,-2.9845130209103035,0.004278173262756848
0.2,-2.827433388230814,0.004674339987336303
0.2,-2.6703537555513246,0.004904599943743582
0.2,-2.5132741228718345,0.004752274326393181
0.2,-2.356194490192345,0.005060742082927048
0.2,-2.199114857512855,0.006013047515747539
0.2,-2.0420352248333655,0.006420349393118393
0.2,-1.884955592153876,0.007035015035210496
0.2,-1.7278759594743864,0.007591223618585873
0.2,-1.5707963267948966,0.008507952285659436
0.2,-1.413716694115407,0.011211956619102563
0.2,-1.2566370614359172,0.012460841003000496
0.2,-1.0995574287564276,0.014473285270695503
0.2,-0.942477796076938,0.018665234461914103
