r,Frequency,Empirical
0.05,-3.141592653589793,0.00010676179856603787
0.05,-2.9845130209103035,0.00010461847038515378
0.05,-2.827433388230814,0.0001193296441609794
0.05,-2.6703537555513246,0.0001319050881296004
0.05,-2.5132741228718345,0.00012863600498863454
0.05,-2.356194490192345,0.0001361109183175803
0.05,-2.199114857512855,0.0001592742055430441
0.05,-2.0420352248333655,0.00016927165337240278
0.05,-1.884955592153876,0.0001842309930943694
0.05,-1.7278759594743864,0.0001957550508888265
0.05,-1.5707963267948966,0.00022116814513850846
0.05,-1.413716694115407,0.000288983821530029
0.05,-1.2566370614359172,0.0003215439576256729
0.05,-1.0995574287564276,0.0003864769591736588
0.05,-0.942477796076938,0.0005154434186969955
0.05,-0.7853981633974483,0.0007025216835450475
0.05,-0.6283185307179586,0.001178414858343379
0.05,-0.471238898038469,0.002051479263563949
0.05,-0.3141592653589793,0.005866266117287559
0.05,-0.15707963267948966,0.012642018280303691
0.05,0.0,0.004686865893882514
0.05,0.15707963267948966,0.012642018280303691
0.05,0.3141592653589793,0.005866266117287559
0.05,0.471238898038469,0.002051479263563949
0.05,0.6283185307179586,0.001178414858343379
0.05,0.7853981633974483,0.0007025216835450475
0.05,0.942477796076938,0.0005154434186969955
0.05,1.0995574287564276,0.0003864769591736588
0.05,1.2566370614359172,0.0003215439576256729
0.05,1.413716694115407,0.000288983821530029
0.05,1.5707963267948966,0.00022116814513850846
0.05,1.7278759594743864,0.0001957550508888265
0.05,1.884955592153876,0.0001842309930943694
0.05,2.0420352248333655,0.00016927165337240278
0.05,2.199114857512855,0.0001592742055430441
0.05,2.356194490192345,0.0001361109183175803
0.05,2.5132741228718345,0.00012863600498863454
0.05,2.6703537555513246,0.0001319050881296004
0.05,2.827433388230814,0.0001193296441609794
0.05,2.9845130209103035,0.00010461847038515378
0.05,3.141592653589793,0.00010676179856603787
0.1,-3.141592653589793,0.00044394663684135414
0.1,-2.9845130209103035,0.00042869007245349325
0.1,-2.827433388230814,0.00047783333190945916
0.1,-2.6703537555513246,0.0005128448373130288
0.1,-2.5132741228718345,0.0004973445995722964
0.1,-2.356194490192345,0.0005293509919741367
0.1,-2.199114857512855,0.0006255152671522001
0.1,-2.0420352248333655,0.0006670729193638095
0.1,-1.884955592153876,0.0007304362352855455
0.1,-1.7278759594743864,0.0007823172315370451
0.1,-1.5707963267948966,0.0008802699293845569
