Realisation number,Variable,index,Lag-3 AC,Smax/Var,Kurtosis,Smax,Lag-2 AC,Standard deviation,Lag-1 AC,Coefficient of variation,Variance,Cross correlation
1,x,0,-0.1226832641770401,-0.14666666666666664,0.7894882434301522,-0.8866666666666665,-0.09854771784232365,-0.990871369294606,-0.6604426002766253,0.15470262793914247,-0.990871369294606,-0.7568464730290456
1,y,0,-0.22302904564315357,-0.16666666666666663,0.308298755186722,-0.94,-0.3071230982019364,-0.9964730290456433,-0.21881051175656985,-0.22330567081604427,-0.9964730290456433,-0.7568464730290456
