Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
1,Non-breeding,0,0.9611627162075592,0.9622037155669442,0.9962363869314542,0.2223734785393978,0.857707509881423,0.9176008968609866,-0.23030108904548366,-0.23030108904548366,0.6806534272901986,0.30434782608695654,0.9564084884700834
1,Breeding,0,0.9330182200137356,0.9266351553347068,0.9841635357330424,0.8036601624045568,0.8814229249011858,0.8948814285137154,-0.9751949258675715,-0.9751949258675715,0.49387952975396915,-0.28063241106719367,0.9559471365638765
1,Total,0,0.9565182575272261,0.9577194106342087,0.9955957719410633,0.2021941063420884,0.8498023715415021,0.9163196668802049,-0.2655349135169763,-0.2655349135169763,0.6994714926329275,0.2648221343873518,0.9564084884700834
2,Non-breeding,0,0.9468671679197994,0.9496012759170653,0.9976304397357029,0.7810890863522442,0.3238095238095238,0.824196855775803,-0.6781043517885623,-0.6781043517885623,0.6459330143540669,0.0,0.938622038687242
2,Breeding,0,0.9186602870813398,0.9283216783216786,0.9695436142804567,0.7548767022451235,0.6571428571428571,0.7551527419948474,-0.9769966875230036,-0.9769966875230036,0.6911115200588887,-0.6952380952380953,0.9381334737396342
2,Total,0,0.9335611756664388,0.9427660059239006,0.9980861244019138,0.755935292777398,0.3047619047619048,0.8361357940305308,-0.7300524037366142,-0.7300524037366142,0.5725677830940988,-0.08571428571428572,0.938622038687242
3,Non-breeding,0,0.9151948051948051,0.9444155844155844,0.992077922077922,-0.47077922077922074,0.7124183006535948,0.9064935064935065,0.03402597402597402,0.03402597402597402,0.9048051948051947,0.5163398692810458,0.9060773480662984
3,Breeding,0,0.8438095238095238,0.8716584564860427,0.9444334975369457,0.6369129720853858,0.6993464052287582,0.8181937602627257,-0.9542857142857142,-0.9542857142857142,0.3823316912972085,-0.47712418300653603,0.9046554934823091
3,Total,0,0.8829870129870129,0.928051948051948,0.99,-0.4962337662337662,0.6339869281045752,0.9112987012987013,-0.08012987012987013,-0.08012987012987013,0.8968831168831168,0.2679738562091504,0.9060773480662984
